Party and Electorate Candidate Votes Recorded at each polling place
"Taranaki-King Country 49","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
"Aria","Aria School, Barclay Road",12,0,0,0,0,2,0,0,9,0,3,71,4,0,0,0,0,0,0,101,1
"Arohena","Arohena School, 40 Pukewhau Road",8,0,0,0,0,3,0,0,5,0,2,63,0,0,0,0,0,2,0,83,0
"Benneydale","Benneydale Community Hall, Maniaiti Road",11,0,1,0,0,2,0,0,23,0,0,72,1,2,0,0,0,0,0,112,1
"Cardiff","Cardiff Hall, 50 Cardiff Road",10,0,1,2,1,4,0,0,14,0,1,81,2,0,0,0,0,1,0,117,0
"Deanwell","Deanwell School, Deanwell Avenue",7,0,1,0,0,2,0,0,6,0,1,32,1,0,0,0,0,0,0,50,0
"Egmont Village","Egmont Village Community Centre, 1299 Egmont Road",5,0,2,0,0,5,1,0,22,0,0,58,11,0,0,1,0,0,0,105,0
"Eltham","Eltham School Hall, 69 Conway Road",0,0,0,0,0,2,0,0,5,0,0,4,3,0,0,0,0,0,0,14,0
,"St Mark's Church Hall, 235 High Street",2,0,0,0,0,1,0,0,4,0,0,18,0,0,0,3,0,0,0,28,0
"Hamilton West","Waikato Hospital, Pembroke Street, Level B5, main entrance foyer",2,0,0,0,0,0,0,0,8,0,0,10,2,0,0,0,0,0,0,22,1
"Hangatiki","Hangatiki School Library, 591 Hangatiki East Road",6,0,0,0,0,1,0,0,15,0,1,80,1,0,0,0,0,0,0,104,1
"Hauturu","Hauturu Memorial Hall, 613 Harbour Road",3,0,0,0,0,0,0,0,0,0,0,26,1,0,0,0,0,0,0,30,0
"Hillsborough","Hillsborough Public Hall, 373 Egmont Road",0,0,1,0,0,1,0,0,1,0,0,6,0,0,0,1,0,0,0,10,0
"Honikiwi","Honikiwi Memorial Hall, corner Honikiwi & Turoto Roads",4,0,0,0,0,6,0,0,5,0,0,37,2,0,0,0,0,1,0,55,0
"Huiakama","Huiakama School, 3095 Ohura Road",8,1,0,0,0,0,0,0,7,0,0,57,3,0,0,0,0,1,0,77,0
"Inglewood","Inglewood High School, Kelly Street entrance",27,0,2,7,2,26,6,7,178,0,9,420,32,0,0,9,0,4,0,729,1
,"Inglewood Primary School Library, 33 Kelly Street",41,3,5,3,3,40,12,16,312,0,6,606,58,2,0,9,0,4,1,1121,6
"Kaimata","Kaimata School, 715 Tarata Road",8,0,0,0,0,12,0,0,21,0,2,164,6,0,0,2,0,3,0,218,0
"Kaipaki","Kaipaki School Library, 687 Kaipaki Road ",11,0,0,0,0,11,0,0,26,0,2,168,1,0,0,1,0,2,0,222,0
"Kaponga","Kaponga Primary School, 30 Egmont Street",0,0,0,0,1,3,0,0,9,0,0,21,0,0,0,1,0,0,0,35,0
"Kawhia","Kawhia Community Hall, 141 Jervois Street",12,0,0,0,3,16,1,0,65,0,4,117,15,0,0,0,0,3,0,236,2
"Kihikihi","Kihikihi Town Hall, Lyon Street",52,0,5,2,4,34,10,7,241,0,14,552,75,0,0,4,0,5,0,1005,11
"Kinohaku","Kinohaku School Library, 28 Kawhia Harbour Road",6,0,0,0,0,2,0,1,10,0,1,42,5,0,0,0,0,3,0,70,1
"Kiokio","Kiokio School, 1701 State Highway 3",15,0,1,0,1,3,0,0,23,0,1,159,5,0,0,0,0,1,0,209,2
"Korakonui","Korakonui School, 734 Wharepuhunga Road",9,0,1,0,0,4,1,0,15,0,2,144,5,0,0,0,0,3,0,184,1
"Koromatua","Koromatua School, 355 Koromatua Road",13,0,1,1,0,14,0,2,37,0,1,147,9,0,0,4,0,3,0,232,1
