Party and Electorate Candidate Votes Recorded at each polling place
"Te Atatu 52","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
"Glen Eden","Glen Eden Primary School, 3 Glenview Road",3,0,1,0,3,6,0,0,91,0,0,65,8,1,0,1,0,2,0,181,1
"Glendene","Glendene School, 60 Barrys Road",35,1,9,0,4,39,14,3,624,0,5,501,65,26,0,5,0,10,1,1342,9
,"Tirimoana School, 34 Kokiri Street",55,1,7,0,1,59,12,4,631,0,10,731,85,11,0,15,0,9,1,1632,5
"Henderson","Henderson High School, 31 Henderson Valley Road",7,0,0,0,0,12,1,2,96,0,1,83,4,0,0,2,0,0,0,208,0
,"Henderson North School, 14 Norval Road",19,0,1,0,7,30,6,0,279,0,6,288,24,10,1,4,1,10,0,686,0
,"Henderson Primary School, 13 Montel Avenue",15,0,0,0,2,9,9,3,208,0,3,157,28,0,0,1,0,2,0,437,3
,"Waitakere College, 42 Rathgar Road",43,1,3,0,9,44,8,3,623,0,4,497,65,24,1,6,0,10,0,1341,9
,"Western Heights School, 126 Sturges Road",3,1,1,0,0,3,1,1,40,0,0,34,2,1,0,0,0,0,0,87,1
"Kelston","Kelston Girls College, 1 Archibald Road",14,0,0,0,0,6,7,1,143,0,1,94,4,3,0,5,0,0,0,278,0
"Lincoln","Lincoln North Kindergarten, 47a Longburn Road",7,0,0,0,0,11,5,1,188,0,4,93,6,0,0,1,0,2,0,318,2
,"Pomaria Primary School, 33a Pomaria Road",35,1,5,0,6,37,6,8,494,0,7,368,36,16,1,1,0,20,1,1042,4
"Massey","Lincoln Heights School, 16 Keegan Drive",48,1,10,0,4,41,13,3,618,1,12,475,50,6,0,4,1,12,0,1299,5
,"Royal Road School, 112 Royal Road",66,1,1,0,6,63,18,12,677,0,9,738,72,28,0,9,0,13,0,1713,17
"Massey West","Don Buck School, 124 Don Buck Road",18,1,4,0,1,20,7,1,285,2,9,241,17,21,1,5,0,3,0,636,5
,"Massey High School, 274 Don Buck Road",37,1,3,1,5,33,8,3,480,1,7,469,42,15,0,10,0,6,0,1121,6
"Ranui","Birdwood School, 23 Karepo Crescent",2,0,0,0,1,1,0,0,39,0,1,14,3,7,0,0,0,0,0,68,1
"Royal Heights","Colwill School, Kintara Drive",40,0,4,0,6,37,6,5,317,1,8,502,46,4,0,9,0,5,0,990,3
"Sunnyvale","Kelston Community Centre, 126 Awaroa Road (corner Great North Road)",10,0,2,0,2,5,7,1,161,0,2,161,22,7,0,2,0,3,0,385,0
"Te Atatu Peninsula","Congregational Church of Samoa, 472-478 Te Atatu Road",25,0,0,0,6,36,4,2,174,0,8,258,18,7,0,1,0,0,0,539,2
,"Matipo Primary School, 63b Matipo Road",39,3,2,0,3,75,4,0,330,1,17,350,49,4,0,4,0,10,0,891,5
,"Peninsula Primary School, 22 Waipani Road",36,0,3,0,3,83,8,3,349,0,9,358,41,4,0,4,0,21,0,922,4
,"Rutherford Primary School, 7 Toru Street",19,2,3,1,6,44,4,8,351,0,6,360,38,4,0,6,0,6,1,859,4
