Party and Electorate Candidate Votes Recorded at each polling place
"Waitakere 57","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
"Bethells Beach","Fire Station, corner Bethells & Te Aute Ridge Roads",8,1,2,1,1,57,3,1,79,0,4,94,9,1,0,1,0,2,0,264,0
"Glen Eden","Catholic Church Hall, 7 Glendale Road",27,2,6,0,5,48,12,6,483,0,5,379,41,17,1,5,0,7,0,1044,12
,"Glen Eden Baptist Church Hall, 97 Glendale Road",20,0,3,0,2,47,3,3,266,0,2,286,26,2,0,3,0,7,0,670,7
,"Glen Eden Primary School, 3 Glenview Road",27,2,6,0,4,56,9,1,450,0,5,320,37,10,1,6,0,3,2,939,4
,"Prospect School Hall, 76 Rosier Road",50,1,10,0,10,75,13,3,772,2,5,553,54,36,0,10,1,8,0,1603,6
,"Te Kura Kaupapa Maori o Hoani Waititi Marae, 441 West Coast Road",13,0,0,0,0,17,1,1,171,0,8,108,5,10,0,1,0,1,0,336,3
"Henderson","Bruce McLaren Intermediate School, 61-69 Bruce McLaren Road",18,3,3,0,4,36,4,4,644,0,8,318,60,38,1,8,0,3,1,1153,6
,"Henderson High School, 31 Henderson Valley Road",20,0,3,0,4,36,3,4,273,0,2,223,25,15,1,2,0,4,0,615,13
,"Henderson North School, 14 Norval Road",2,0,0,0,0,4,1,0,33,0,0,31,1,0,0,1,0,0,0,73,0
,"Henderson Primary School, 13 Montel Avenue",10,1,1,0,0,16,2,4,215,0,0,174,29,1,0,4,0,5,0,462,5
,"Henderson South School, 24 Garelja Road",8,0,1,0,4,10,1,2,193,0,3,89,7,14,0,2,1,1,0,336,3
,"Henderson Valley Play Centre, 31 Farwood Drive",8,0,3,0,3,10,2,1,194,0,2,65,5,19,0,0,0,3,0,315,3
,"Henderson Valley Pony Club, 201a Henderson Valley Road",8,0,1,0,2,20,3,0,100,2,4,82,9,7,0,1,0,3,0,242,4
,"Henderson Valley Primary School, 389 Henderson Valley Road",44,0,3,1,1,75,6,3,194,0,7,364,26,0,1,4,0,9,0,738,0
,"Summerland Primary School, 62-68 Summerland Drive",82,3,4,0,7,77,10,14,756,0,7,1276,65,13,0,10,1,22,1,2348,2
,"Waitakere College, 42 Rathgar Road",2,0,1,0,0,13,4,0,144,0,0,110,7,3,0,0,0,0,0,284,2
,"Western Heights School, 126 Sturges Road",112,3,7,1,2,82,22,9,742,1,16,1370,66,10,0,7,0,13,1,2464,9
"Kelston","Kelston Girls College, 1 Archibald Road",6,0,2,0,0,10,2,0,122,0,1,69,9,3,0,3,0,2,0,229,2
"Lincoln","Pomaria Primary School, 33a Pomaria Road",6,0,0,0,1,1,1,1,45,0,0,48,6,1,0,0,0,1,0,111,0
"Massey West","Don Buck School, 124 Don Buck Road",6,0,0,1,0,18,5,2,70,0,1,111,3,7,0,2,0,2,0,228,1
,"Massey High School, 274 Don Buck Road",12,0,2,0,1,8,2,1,79,0,1,146,12,1,1,1,0,1,0,268,1
"Muriwai","Muriwai Fire Station, corner Coast & Motutara Roads",0,0,0,0,0,1,0,0,2,0,0,16,1,0,0,0,0,0,0,20,0
"New Lynn","Fruitvale School, 9 Croydon Road",1,0,1,0,0,16,0,0,58,0,3,45,4,1,0,2,0,0,0,131,0
"Oratia","Oratia District School, 1 Shaw Road",71,4,5,0,4,126,16,0,397,0,10,763,45,3,0,8,0,18,1,1471,2
"Piha","Barnett Hall, 2 North Piha Road",22,0,2,1,0,116,1,0,132,1,8,128,18,0,0,2,0,0,0,431,1
"Ranui","Birdwood School, 23 Karepo Crescent",16,1,6,0,6,27,2,9,350,0,11,204,17,41,0,4,0,9,1,704,4
,"Ranui Library & Community Centre, 474 Swanson Road",18,3,5,0,8,80,6,1,791,0,20,370,64,35,0,5,0,4,0,1410,8
"Sunnyvale","Kelston Community Centre, 126 Awaroa Road (corner Great North Road)",15,4,0,0,5,22,6,0,261,0,7,266,25,2,0,1,0,4,1,619,4
,"Sunnyvale Community Hall, 18 Sunnyside Road",14,1,8,0,7,34,9,3,303,0,4,176,26,7,0,3,0,4,1,600,5
,"Sunnyvale Primary School, 34 Ribblesdale Road",22,1,3,0,7,36,1,7,412,0,6,353,55,13,1,4,1,5,0,927,5
"Swanson","Swanson School, 703 Swanson Road",92,6,15,0,7,160,16,1,506,2,13,996,68,4,2,14,0,21,1,1924,5
"Titirangi","Kaurilands School, 109 Atkinson Road",12,0,2,0,0,34,1,0,111,0,2,137,5,0,0,0,0,3,0,307,0
"Waiatarua","Waiatarua Community Hall, 911 West Coast Road",37,0,2,0,3,62,2,0,97,0,3,200,12,0,0,1,0,3,1,423,0
"Waitakere","Waitakere Primary School, 10 Bethells Road",86,2,5,0,5,96,8,0,242,1,6,551,50,0,0,9,0,6,1,1068,2
"Westgate","Massey Presbyterian Church, 510 Don Buck Road",6,0,0,0,1,9,1,2,33,0,0,64,2,0,0,3,0,6,0,127,0
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",1,0,1,0,0,2,3,0,81,0,0,55,15,0,0,0,0,1,1,160,6
,"Ordinary Votes BEFORE polling day",70,2,6,2,12,174,23,6,899,0,11,1025,105,14,0,10,1,17,0,2377,5
,"Special Votes BEFORE polling day",6,0,1,0,1,24,1,0,136,0,2,117,9,2,1,7,0,2,0,309,1
,"Special Votes On polling day",74,1,29,0,15,211,17,12,1188,3,22,927,72,47,0,16,0,21,1,2656,9
,"Overseas Special Votes including defence force",6,0,1,0,1,51,1,1,85,2,0,144,4,0,0,0,0,0,0,296,0
,"Votes Allowed for Party Only",9,1,16,0,3,35,2,4,389,0,32,199,18,21,0,8,0,3,1,741,9
,"Waitakere Total",1067,42,166,7,136,2032,225,106,12498,14,241,12952,1117,398,10,168,5,224,15,31423,149
,,,,,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",31572
"Electorate Party Valid Votes for Waitakere",,"National Party - .4121821596"
"ACT New Zealand",1067,.0339560195
"Alliance",42,.0013366006
"Aotearoa Legalise Cannabis Party",166,.0052827547
"Democrats for Social Credit",7,.0002227668
"Family Party",136,.00432804
"Green Party",2032,.064666009
"Jim Anderton's Progressive",225,.0071603602
"Kiwi Party",106,.0033733253
"Labour Party",12498,.3977341438
"Libertarianz",14,.0004455335
"Maori Party",241,.0076695414
"National Party",12952,.4121821596
"New Zealand First Party",1117,.0355472106
"New Zealand Pacific Party",398,.0126658817
"RAM - Residents Action Movement",10,.0003182382
"The Bill and Ben Party",168,.0053464023
"The Republic of New Zealand Party",5,.0001591191
"United Future",224,.0071285364
"Workers Party",15,.0004773573
