Party and Electorate Candidate Votes Recorded at each polling place
"Waitaki 58","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
"Albury","Albury School, Station Street",15,0,0,0,0,5,3,2,15,0,1,122,4,0,0,1,0,0,0,168,0
"Alexandra","Central Otago Education Centre, 1 Ventry Street",55,0,4,0,1,83,13,2,386,0,10,691,52,1,0,7,0,10,0,1315,5
,"Dunstan High School Hall, 12 Enterprise Street",19,1,3,0,2,55,5,3,287,0,10,387,40,1,0,11,0,9,2,835,4
,"St Gerard's Parish Hall, Tarbert Street",34,2,2,0,4,85,14,3,365,1,8,568,46,0,0,15,0,4,1,1152,6
"Ardgowan","Ardgowan Primary Shool, Ardgowan Road",5,0,0,0,0,7,1,0,33,0,0,99,8,0,0,0,0,2,0,155,1
"Cave","Cave Hall, Elizabeth Street",14,0,0,1,0,11,0,0,35,0,0,123,4,0,0,2,0,0,0,190,0
"Clyde","Clyde Primary School, 25 Blyth Street",32,2,2,1,0,34,7,3,213,0,4,386,29,0,0,6,0,5,0,724,6
"Cromwell","Memorial Hall, 36 Melmore Terrace",99,3,13,4,3,156,30,5,736,1,13,1257,43,0,0,21,0,24,1,2409,8
"Dunback","Dunback Coronation Hall, State Highway 85",5,0,0,0,0,6,1,2,19,0,1,91,5,0,0,1,0,1,0,132,0
"Duntroon","Duntroon Primary School, Livingstone Street",11,0,0,0,0,13,4,2,38,0,0,151,9,0,0,0,0,2,0,230,0
"Ettrick","Community Hall, State Highway 8",15,0,0,0,0,4,3,0,26,0,1,72,3,0,0,1,0,1,0,126,1
"Fairlie","Fairlie Primary School, 21 School Road",38,1,2,0,2,38,7,11,148,2,2,443,26,1,0,2,0,11,0,734,4
"Fairview","Barton Rural School, 462 Fairview Road",12,1,1,0,0,17,0,7,75,0,0,253,6,0,0,0,0,3,0,375,1
"Five Forks","Five Forks Primary School, 1403 Kakanui Valley Road",6,0,0,0,0,4,0,0,8,0,0,99,5,0,0,0,0,0,0,122,1
"Geraldine","Geraldine High School, 85 McKenzie Street",27,2,1,1,2,61,3,5,231,0,2,489,42,0,0,3,0,11,0,880,6
,"Geraldine Primary School, 73 Wilson Street",48,0,4,1,2,101,14,10,333,0,7,623,39,0,0,7,0,8,0,1197,4
"Glenavy","Glenavy School, 15 Ruane Street",12,1,2,0,0,12,1,0,82,0,1,158,15,0,0,1,0,4,0,289,1
"Hampden","Hampden Primary School, 41-47 Norwich Street",8,1,1,0,0,29,7,0,87,0,2,124,24,0,0,2,0,5,0,290,1
"Herbert","Otepopo School, Ross Road",4,0,1,2,1,18,2,0,51,0,3,82,9,0,0,1,0,2,0,176,1
"Hunter","Hunter Hall, Pakihi Road",4,0,1,0,0,4,0,0,12,0,1,51,0,0,0,0,0,0,0,73,0
"Ikawai","Old Ikawai School, 2437 State Highway 82",5,0,0,0,0,4,1,1,8,0,0,63,0,0,0,0,1,0,0,83,0
"Kakanui","Kakanui Primary School, Fyfe Place",10,0,0,0,1,33,5,0,86,0,7,113,19,0,0,1,0,0,0,275,1
"Kingsdown","Kingsdown Hall, Daniels Road",4,0,1,0,0,8,0,0,46,0,0,94,11,0,0,3,0,3,0,170,0
"Kurow","Kurow Memorial Hall, Gordon Street",24,0,1,0,0,16,3,1,85,0,0,263,13,0,0,1,0,2,0,409,1
"Lake Hawea","Community Centre, Myra Street",25,0,5,0,0,84,3,1,98,0,3,238,10,0,0,2,0,1,0,470,1
"Lake Roxburgh","Coal Creek Community Hall, Tamblyn Drive",7,0,0,0,0,5,2,0,31,0,0,53,2,0,0,0,0,0,0,100,1
"Lake Tekapo","Lake Tekapo School, Aoraki Crescent",11,0,0,0,0,12,1,0,39,0,2,145,0,0,0,3,0,1,0,214,0
"Luggate","Luggate Hall, State Highway 6",9,0,1,0,0,20,3,2,46,0,1,93,2,0,0,1,0,0,0,178,3
"Macraes Flat","Macraes Moonlight Primary School, Hyde Street",2,0,0,0,0,1,0,0,14,0,1,34,0,0,0,0,0,0,0,52,0
"Maheno","Maheno Primary School, Short Street",12,0,1,0,0,6,1,0,64,0,1,122,6,0,0,0,0,3,0,216,1
"Makikihi","Makikihi School, 12 Station Road",6,0,2,0,0,7,1,0,35,0,0,86,7,0,0,3,0,0,1,148,2
"Maungati","St James Church Hall, Timaunga Road",10,0,0,0,0,7,1,1,10,0,1,58,2,0,0,1,0,0,0,91,0
"Millers Flat","Millers Flat Primary School Library, Main Road",5,0,0,0,0,10,3,0,37,0,1,110,12,0,0,1,0,0,0,179,1
"Moeraki","Coronation Hall, Haven Street",3,0,0,1,1,6,0,0,14,0,1,58,5,0,0,0,0,0,0,89,0
"Morven","Morven School, 41 Donald Street",1,0,2,0,0,4,1,1,21,0,0,79,1,0,0,2,0,0,0,112,1
"Naseby","Fire Brigade Rooms, corner Ness & Tay Streets",1,0,0,0,1,11,2,0,36,0,0,102,5,0,0,2,0,0,0,160,1
"Ngapara","Ngapara Rugby Club Rooms, Paradise Gully Road",8,0,1,0,2,8,0,5,24,0,1,91,5,0,0,1,0,1,0,147,0
"Oamaru","Aoraki Polytech, 44 Humber Street",5,0,0,0,1,13,4,0,87,0,0,66,7,0,0,2,0,4,0,189,2
,"Eveline Church Hall, Thames Highway",18,2,6,3,1,33,7,2,390,2,2,400,48,1,0,3,0,7,1,926,11
,"Fenwick School, 25a Arun Street",39,2,7,5,4,78,14,5,607,0,6,565,61,1,0,5,0,7,2,1408,10
,"Garrison Band Hall, 10 Severn Street",12,1,6,2,5,40,8,5,281,0,5,212,33,0,0,2,0,11,0,623,4
,"I D E A Services Centre, 14 Sandringham Street",6,0,1,0,0,11,5,0,110,0,0,77,6,0,0,0,0,2,0,218,2
,"North Otago Vintage Car Club, Stoke Street",7,1,0,1,0,14,0,0,60,0,1,84,7,0,0,2,0,1,0,178,3
,"North School, Torridge Street",17,3,2,3,3,31,7,7,309,0,2,207,28,0,0,4,0,2,0,625,4
,"Pembroke School, Harlech Street",18,6,2,1,2,34,13,0,436,0,4,225,21,1,0,9,0,3,0,775,11
,"St Luke's Hall, Wharfe Street",14,0,2,0,3,43,6,3,179,0,1,126,14,0,0,0,0,3,0,394,2
,"Waitaki Girls' High School, Thames Street",20,3,0,3,3,35,9,7,349,0,4,294,33,1,0,7,0,5,0,773,4
"Omakau","Omakau Primary School, Deaker Street",9,1,0,0,1,16,3,1,84,0,0,205,10,0,0,1,0,3,0,334,0
"Omarama","Omarama School, State Highway 8",14,0,1,0,1,6,2,2,45,0,1,158,5,0,0,5,0,2,0,242,0
"Otaio","Otaio Community Centre, 7 Woolshed Road",3,0,0,0,0,2,0,1,10,0,0,81,0,0,0,1,0,0,0,98,0
"Otematata","Otematata Fire Station, Tasman Road",3,0,0,0,0,9,1,1,40,0,0,115,4,0,0,1,0,3,0,177,0
"Oturehua","Community Hall, Main Road",0,1,0,0,0,3,1,0,12,0,0,70,2,0,0,1,0,0,0,90,0
"Palmerston","Community Centre, Ronaldsay Street",30,1,0,2,1,34,1,1,234,0,3,291,42,3,0,6,0,10,0,659,3
"Papakaio","Papakaio Primary School, 17 Papakaio Road",19,0,0,0,0,7,1,1,26,0,0,156,4,0,0,0,0,2,0,216,0
"Pareora","Pareora Campus School, corner Elworthy & Davidson Streets",1,0,3,0,0,13,4,3,118,0,1,81,9,0,0,0,0,1,0,234,1
"Patearoa","Bowling Club, 1615 Ranfurly-Patearoa Road",16,0,0,0,0,2,1,9,14,0,0,78,3,0,0,0,0,0,0,123,0
"Peel Forest","Peel Forest Hall, Coopers Creek Peel Forest Road",6,0,0,0,0,11,0,0,21,0,0,80,7,0,0,2,0,0,0,127,1
"Pleasant Point","Pleasant Point Primary School, Victor Wilson Hall, 33 Halstead Road",7,0,0,0,0,11,1,1,19,0,0,119,4,0,0,2,0,0,0,164,0
"Poolburn","Poolburn Primary School, Main Road",8,0,1,0,0,2,1,0,3,0,2,80,1,0,0,1,0,1,0,100,0
"Pukeuri","Pukeuri Public Hall, Works Road",2,0,0,0,0,3,1,0,38,0,0,53,12,0,0,0,0,1,0,110,0
"Ranfurly","Maniototo Community Library, 15 Caulfield Street",29,1,0,0,2,19,5,3,135,0,1,347,15,0,0,5,0,3,0,565,4
"Roxburgh","Roxburgh Area School Library, Scotland Street",15,1,1,0,6,23,6,4,152,1,5,266,28,0,0,3,0,1,0,512,3
"Southburn","Southburn Hall, corner Caird & Pareora River Roads",8,1,1,0,0,10,2,0,29,0,0,111,7,0,0,0,0,3,0,172,0
"St Andrews","St Andrews School, 21 Bluecliffs Road",9,0,1,1,0,12,5,0,69,1,1,155,11,0,0,0,0,1,0,266,0
"Studholme","Studholme Hall, Hannaton Road",5,0,0,0,0,1,3,1,12,0,0,52,5,0,0,0,0,0,0,79,0
"Tarras","Tarras Primary School, State Highway 8",6,0,0,0,0,9,0,0,15,0,0,98,4,0,0,0,0,1,1,134,0
"Timaru","St John's Church Hall, 125 Wai-iti Road",8,0,0,0,1,8,1,0,37,0,1,79,1,0,0,0,0,0,0,136,0
