Party and Electorate Candidate Votes Recorded at each polling place
"Clutha-Southland 6","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
"Arrowtown","Arrowtown Primary School, 9 Chalmers Place",88,2,9,0,4,192,12,3,317,0,6,876,26,0,0,4,0,5,0,1544,2
"Balclutha","Balclutha Information Centre, 4 Clyde Street",21,1,3,1,3,26,9,5,244,0,1,303,25,0,0,9,0,3,0,654,7
,"Balclutha Primary School Hall, 21 Lanark Street",15,0,1,0,0,9,1,1,122,1,0,136,18,0,0,5,0,2,0,311,2
,"Balmoral Church Hall, 34 Essex Street",18,1,3,1,5,17,8,5,277,0,0,305,25,0,0,6,1,2,1,675,2
,"Rosebank School Hall, 21 Frances Street",25,1,2,0,8,27,5,6,248,0,3,427,26,0,0,6,0,12,0,796,6
"Balfour","Balfour School, 131 Queen Street",13,0,0,0,0,3,1,0,19,2,2,227,4,0,0,2,0,3,0,276,1
"Blackmount","Blackmount School, 4288 Blackmount-Redcliff Road",3,0,0,0,0,4,0,0,7,0,0,50,5,0,0,0,0,1,0,70,0
"Browns","Hillside School, 24 McCaughan Street",7,0,1,0,0,4,0,0,16,0,0,95,3,0,0,0,0,0,0,126,0
"Clifden","Hauroko Valley School, 956 Clifden Highway",8,0,1,0,0,1,0,0,8,0,1,98,1,0,0,1,0,0,0,119,0
"Clinton","Clinton School, 34 Halsey Street",15,2,0,0,1,11,2,3,59,0,0,214,22,0,0,2,0,5,1,337,0
"Crookston","Crookston Public Hall, State Highway 90",7,0,0,0,1,2,0,0,11,0,0,53,1,0,0,0,0,1,0,76,0
"Dipton","Dipton School, James Street",3,0,1,0,0,6,0,4,23,0,0,147,1,0,0,2,0,0,0,187,0
"Drummond","Central Southland Rural Primary School, corner Boundary & Domain Roads",15,0,2,1,0,2,2,0,22,0,0,173,7,0,0,0,0,3,0,227,0
"Dunrobin","Dunrobin Memorial Hall, corner Moa Flat, Triangle & Dunrobin Roads",4,0,0,0,0,0,0,0,2,0,1,88,0,0,0,0,0,0,0,95,1
"Fairfax","Fairfax Public Hall, 1493 Riverton-Otautau Road",7,0,0,0,0,3,1,1,7,0,0,77,1,0,0,0,0,0,0,97,0
"Five Rivers","Five Rivers Hall, 1898 Five Rivers-Mossburn Road",5,0,0,0,1,1,0,0,6,0,0,62,0,0,0,1,0,1,0,77,0
"Frankton","Queenstown Events Centre, 35 Joe O'Connell Drive",36,1,4,0,7,53,9,1,170,0,4,432,8,0,0,3,0,2,0,730,3
