Party and Electorate Candidate Votes Recorded at each polling place
"Whangarei 62","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
"Glenbervie","Glenbervie School, Ngunguru Road",55,0,5,0,1,73,10,10,140,0,9,432,35,0,0,6,0,8,0,784,4
"Hikurangi","Hikurangi School, Swan Avenue",20,1,2,0,7,26,6,4,185,2,9,212,50,0,3,4,0,2,0,533,7
"Kamo","Kamo Intermediate School, Hailes Road",38,1,3,3,2,33,6,8,305,1,0,503,62,0,0,8,0,8,0,981,6
,"Kamo Primary School, 3 Mile Bush Road",59,0,5,6,4,84,28,7,633,1,12,1290,137,1,2,9,0,22,1,2301,15
"Kaurihohore","Kaurihohore Hall, corner Apotu & Crane Roads",15,0,1,3,0,15,4,0,101,0,3,298,32,1,0,1,0,2,0,476,3
"Kensington","Croquet Club, 41 Mill Road",18,0,3,1,0,38,27,0,248,0,1,462,63,0,0,6,0,6,0,873,3
,"St Johns Church Centre, 149 Kamo Road",18,1,3,2,2,41,10,3,280,0,3,395,71,0,0,4,1,9,0,843,7
,"Table Tennis Club, Western Hills Drive",21,2,1,0,3,35,14,1,171,0,9,313,40,1,2,1,0,7,0,621,7
,"Whau Valley School, 17 Moodys Avenue",22,0,1,1,5,35,11,4,242,0,9,287,23,0,0,1,0,3,0,644,4
"Kokopu","Kokopu School, Kokopu Road",6,0,0,0,2,6,2,0,35,0,1,95,4,0,0,1,0,2,0,154,1
"Mangapai","Mangapai Hall, corner McAlister and Mangapai Roads ",20,0,0,1,0,17,2,2,58,0,0,154,20,0,0,3,0,1,0,278,3
"Mangawhai","Mangawhai Hall, Mangawhai Road",0,0,0,0,0,2,0,0,4,0,0,11,0,0,0,0,0,0,0,17,0
"Mata","Mata Hall, State Highway 1",9,1,2,0,0,14,1,0,30,0,1,91,8,0,0,2,0,1,0,160,0
"Matapouri","Matapouri Public Hall, Matapouri Road",14,0,1,1,0,35,3,0,31,0,1,77,9,0,0,0,0,1,0,173,2
"Maungakaramea","Maungakaramea School, Tangihua Road",31,0,0,0,0,21,4,0,107,0,4,231,29,1,0,1,0,6,0,435,1
"Maungatapere","Maungatapere School, Maungakahia Road",51,0,1,2,0,27,13,1,160,0,3,553,50,0,0,6,0,4,0,871,3
"Maunu","Maunu Primary School, 13 Austins Road",61,1,1,1,0,60,14,4,241,0,7,697,32,1,0,3,0,9,0,1132,5
,"Selwyn Park Village, 15 Puriri Park Road",20,0,2,0,3,28,9,4,120,0,4,322,35,0,0,1,0,2,0,550,3
,"Whangarei Area Hospital, Maunu Road",8,0,2,2,0,30,16,4,147,0,6,151,32,0,0,6,0,4,0,408,3
"Morningside","Morningside School, 53a Morningside Road",10,0,3,1,1,41,11,5,180,0,5,171,35,0,0,2,0,2,0,467,2
"Ngararatunua","Regent Training Centre, Pipiwai Road",19,0,1,0,0,26,1,1,61,0,3,159,5,0,0,1,0,3,0,280,2
"Ngunguru","Ngunguru Community Hall, Ngunguru Road",45,1,2,2,1,119,8,2,226,0,8,453,51,0,0,5,0,4,0,927,4
"One Tree Point","One Tree Point School, One Tree Point Road",27,1,1,1,2,27,3,3,147,1,5,327,40,0,0,2,0,6,0,593,2
"Onerahi","Onerahi School, Church Road",43,1,2,3,2,69,28,9,377,0,8,516,89,1,0,5,0,10,1,1164,9
