Party and Electorate Candidate Votes Recorded at each polling place
"Ikaroa-Rawhiti 65","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
,East Coast
"Gisborne","Awapuni School, 129 Awapuni Road",0,0,0,0,2,3,0,1,48,0,16,6,5,0,0,0,0,0,0,81,2
,"Central School, 7 Central Street",0,0,0,0,2,8,0,0,35,0,18,11,3,0,0,1,0,0,0,78,1
,"Cobham School, Lytton Road",0,0,1,0,1,5,0,0,146,0,45,3,9,0,0,0,0,0,0,210,3
,"Elgin School, 2 Knox Street",0,0,0,0,5,6,0,0,122,0,52,3,9,0,0,1,0,0,0,198,6
,"Girls High School, 555 Gladstone Road",1,0,0,0,1,8,2,0,102,0,45,12,8,0,0,1,0,0,1,181,5
,"Gisborne  Hospital, 421 Ormond Road",0,0,0,0,1,2,0,0,33,0,17,7,7,0,0,0,0,1,0,68,2
,"Gisborne District Council, Fitzherbert Street",0,0,1,0,1,7,0,1,67,0,37,9,12,0,0,1,0,0,0,136,2
,"Ilminster Intermediate, De Lautour Road",0,0,2,0,0,17,0,0,221,0,74,14,22,0,0,1,0,2,0,353,6
,"Kaiti School, 517 Wainui Road",0,0,4,0,2,7,0,1,305,0,119,13,26,0,0,1,0,0,0,478,9
,"Mangapapa Residents Hall, 350 Ormond Road",0,0,0,0,0,4,0,0,72,0,33,5,9,0,0,0,0,0,0,123,1
,"Mangapapa School, 5 Rua Street",0,0,0,0,1,8,0,0,71,0,19,9,8,0,0,2,0,0,1,119,1
,"Riverdale School, 324 Stout Street",0,0,2,0,3,5,0,0,98,0,36,5,8,0,0,0,0,1,0,158,1
,"Rutene Road Kindergarten, 128 Rutene Road",0,0,0,0,2,1,0,0,32,0,17,6,2,0,0,0,0,0,0,60,0
,"Te Hapara School, 31 Mill Road",2,0,0,0,0,4,0,0,60,0,18,5,8,0,0,0,0,0,0,97,0
,"Waikirikiri School, 7 Pickering Street",1,0,3,1,3,6,1,0,202,0,58,11,7,0,0,1,0,0,0,294,1
,"Wesley Methodist Parish and Community Centre, 453 Gladstone Road",0,0,0,0,0,3,0,0,30,0,10,5,2,0,0,1,0,0,0,51,0
,"YMCA Hall, 150 Roebuck Road",0,0,1,0,1,6,1,0,74,0,21,4,5,0,0,0,0,0,0,113,4
"Hicks Bay","Te Kura Kaupapa o Kawakawa mai Tawhiti, 22 Wharf Road",0,0,0,0,0,6,0,0,42,0,19,1,2,0,0,0,0,0,0,70,1
"Makaraka","Makaraka School, 137 Main Road South",0,0,0,0,1,0,1,0,20,0,14,2,4,0,0,0,0,0,0,42,0
"Makauri","Makauri School, 120 King Road",0,0,0,0,0,0,0,0,6,0,1,2,1,0,0,0,0,0,0,10,0
"Manutuke","Manutuke School, 59 Waingake Road",0,0,0,0,0,7,0,0,71,0,36,4,4,0,0,0,0,0,0,122,1
"Matawai","Matawai School, 29 Raumati Street",0,0,0,0,0,1,0,0,15,0,4,0,1,0,0,0,0,0,0,21,1
"Muriwai","Muriwai School, 1684 Wharerata Road",0,0,0,0,0,10,0,0,47,0,20,3,5,0,0,0,0,0,0,85,0
"Ormond","Ormond School, 45 Whitmore Road",0,0,0,0,0,2,0,0,15,0,10,2,1,0,0,0,0,0,0,30,2
"Patutahi","Patutahi School, 29 Atkins Street",0,0,1,0,1,2,0,0,44,0,25,3,1,0,0,0,0,0,0,77,0
"Rere","Rere School, Wharekopae Road",0,0,0,0,0,1,0,0,5,0,0,2,0,0,0,0,0,0,0,8,0
"Ruatoria","Te Kura Kaupapa Maori o Te Waiu o Ngati Porou, 13 Tuparoa Road",1,0,2,0,0,12,0,2,137,0,111,20,44,0,0,0,0,0,0,329,3
"Te Araroa","Te Waha o Rerekohu Area School, 3 Arewhana Street",0,0,0,0,0,1,0,0,69,0,61,6,10,0,0,0,0,0,0,147,1
"Te Karaka","Waikohu College, Kanakanaia Road",0,0,1,0,0,1,0,0,98,0,39,4,12,0,0,1,0,0,0,156,0
"Te Puia Springs","Te Puia Springs School, 28 McKenzie Street",0,0,0,0,0,2,0,0,53,0,18,2,16,0,0,0,0,0,0,91,2
"Tikitiki","Tikitiki School, 33 Rangitukia Road",0,0,1,0,1,3,0,0,68,0,42,3,31,0,0,0,0,1,0,150,3
"Tiniroto","Tiniroto School, 14 School Road",0,0,0,0,0,1,0,0,6,0,2,1,1,0,0,0,0,0,0,11,0
"Tokomaru Bay","Hatea - A - Rangi School, 6 School Road",0,0,1,0,0,5,1,0,92,0,43,3,10,0,0,0,0,0,0,155,2
"Tolaga Bay","Tolaga Bay Area School, Resolution Street",1,0,1,0,1,5,1,0,173,0,33,6,25,0,0,0,0,1,0,247,4
"Waerenga o Kuri","Waerenga o Kuri School, 1763 Tiniroto Road",0,0,0,0,0,0,1,0,5,0,1,2,0,0,0,0,0,0,0,9,0
"Wainui","Wainui Beach School, 56 Wairere Road",0,0,0,0,0,6,0,0,18,0,8,6,5,0,0,0,0,0,0,43,1
