Party and Electorate Candidate Votes Recorded at each polling place
"Te Tai Tonga 69","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
,Christchurch Central
"Avonside","Avonside Early Childhood Centre, 43 Woodham Road",0,0,1,0,0,4,1,1,15,0,4,1,0,0,0,0,0,0,0,27,1
,"Avonside Scout Den, 11 Retreat Road",0,0,0,0,0,3,0,1,6,0,7,2,3,0,0,0,0,0,0,22,0
,"Christchurch Amateur Radio Club, 27 Galbraith Avenue",0,0,0,0,0,0,0,0,5,0,2,3,0,0,0,0,0,0,0,10,0
,"Holy Trinity Anglican Church Hall, 168 Stanmore Road",0,0,0,0,0,3,0,0,21,0,1,2,0,0,0,0,0,0,0,27,1
"Christchurch City","ANZ Building, ground floor, 9 Cathedral Square",0,0,0,0,0,8,1,0,16,0,8,2,0,0,0,0,0,0,0,35,0
,"Cathedral College, corner Barbadoes Street and Moorhouse Avenue",0,0,1,0,0,2,0,0,16,0,15,2,0,0,0,0,0,0,0,36,0
,"Christchurch East School, 311 Gloucester Street",1,0,1,0,0,8,1,0,15,0,8,4,2,0,0,0,0,0,0,40,1
,"Christchurch Public Hospital, Great Escape Cafe, Riccarton Avenue",1,0,0,0,0,0,0,0,9,0,3,2,0,0,0,0,0,1,0,16,0
,"Hagley Community College, 510 Hagley Avenue",0,0,1,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,6,0
,"HMNZS Pegasus, 419 Montreal Street",0,0,0,0,0,2,0,0,4,0,3,1,0,0,0,0,0,0,0,10,0
,"St Luke's Church, 250 Manchester Street",1,0,0,0,0,1,0,0,9,0,0,5,0,0,0,0,0,0,0,16,0
,"St Mary's Parish Hall, 375 Manchester Street",0,0,0,0,0,1,0,0,5,0,0,0,1,0,0,0,0,0,0,7,0
"Linwood","Linwood Bible Chapel, 78 Stanmore Road",0,0,0,0,0,1,0,0,23,0,13,2,3,0,0,0,0,0,0,42,0
,"Linwood College Student Centre, 85 Aldwins Road",0,0,0,0,0,4,1,0,12,0,8,1,2,0,0,0,0,0,0,28,0
,"Linwood Intermediate School,  7 McLean Street",0,0,0,0,0,1,0,0,11,0,9,3,0,0,0,0,0,0,0,24,0
,"Linwood North School Hall, 221 Woodham Road",0,0,1,0,0,1,0,0,43,0,19,6,5,0,0,1,0,0,0,76,2
,"St Chad's Anglican Church Hall, 1 Carnarvon Street (corner Buckleys Road)",0,0,0,0,0,0,0,0,7,0,7,3,1,0,0,0,0,1,0,19,2
"Mairehau","Aldred Methodist Hall, Knowles Street (corner Nancy Avenue)",1,0,0,0,0,1,0,0,3,0,4,3,2,0,0,0,0,0,0,14,0
,"Glenmoor School, 96 Philpotts Road",0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,7,0
,"Mairehau Primary School, 43 Mahars Road",2,0,0,0,0,2,0,0,17,0,2,5,4,0,0,1,0,0,0,33,1
"Papanui","Papanui Baptist Church, 144 Sawyers Arms Road",0,0,0,0,0,1,0,0,14,0,7,1,1,0,0,0,0,0,0,24,0
,"Papanui Methodist Church Hall, 68 Harewood Road (corner Chapel Street)",0,0,0,0,0,2,0,1,18,0,6,4,1,1,0,0,0,0,0,33,0
,"Papanui Primary School, 40 Winters Road",0,0,0,0,0,0,0,0,7,0,2,2,3,0,0,0,0,0,0,14,0
,"Paparoa Street School, 120 Paparoa Street",0,0,0,0,0,1,0,0,6,0,2,2,0,0,0,0,0,0,0,11,0
,"St Joseph's Church School, 4 Vagues Road",0,0,0,0,0,1,0,0,9,0,6,4,0,0,0,0,0,0,0,20,1
"Phillipstown","Phillipstown School, 39 Nursery Road",0,0,2,0,1,4,0,0,37,0,10,3,1,0,0,0,0,0,0,58,1
,"Te Waipounamu Maori Cultural Centre, 290 Ferry Road",0,0,1,0,0,2,0,0,15,0,15,1,2,0,0,1,0,0,0,37,1
"Richmond","North Avon Baptist Church Hall, 103 North Avon Road",0,0,0,0,0,4,0,0,16,0,12,4,0,0,0,0,0,0,0,36,0
,"Richmond Kindergarten, 41 North Avon Road",0,0,0,0,0,2,0,0,4,0,7,5,0,0,0,0,0,0,0,18,0
,"Richmond Primary School, Perth Street",1,0,1,0,1,1,0,0,17,0,12,1,1,0,0,1,0,0,0,36,1
"Shirley","Hammersley Park School, 102 Quinns Road",0,0,2,0,0,1,0,0,23,0,2,3,2,0,0,0,0,0,0,33,1
,"MacFarlane Park Free Kindergarten, 19 Acheson Avenue",0,0,1,0,0,1,0,0,30,0,4,1,1,0,0,0,0,0,0,38,0
,"Shirley Intermediate School Hall, corner Shirley Road & North Parade ",0,0,0,0,0,1,0,0,18,0,6,1,0,0,0,0,0,0,0,26,0
,"Shirley Primary School, 11 Shirley Road",0,0,0,0,0,3,1,2,35,0,9,6,2,0,0,0,0,0,0,58,1
"St Albans","Beulah Christian Fellowship Church, 140 Springfield Road",0,0,0,0,0,1,0,0,6,0,4,2,1,0,0,0,0,0,0,14,0
,"Lamb of God Community Hall, 19 Thames Street",0,0,0,0,0,1,0,0,6,0,1,2,0,0,0,0,0,0,0,10,0
,"Malvern Scout Hall, Innes Road (adjacent Rugby Park)",0,0,0,0,0,0,0,0,3,0,2,3,0,0,0,0,0,0,0,8,1
,"Rehua Marae, 79 Springfield Road",0,0,0,0,0,4,0,0,18,0,27,2,5,0,0,0,0,0,0,56,1
,"St Albans Baptist Church, corner McFaddens Road & Redwood Place",0,0,1,0,0,1,0,0,3,0,1,1,0,0,0,0,0,0,0,7,0
,"St Albans Community Resource Centre, 1047 Colombo Street",0,0,0,0,0,4,0,2,16,0,5,4,0,0,0,0,0,0,0,31,0
,"St Albans School, 17 Sheppard Place",0,0,0,0,1,2,0,0,14,0,8,2,2,0,0,0,0,0,0,29,0
,Christchurch East
"Aranui","Aranui School Rooms 1 and 2, 257 Breezes Road",0,0,0,0,1,2,2,0,53,0,32,5,6,0,0,1,0,0,0,102,6
,"St Ambrose Church Cafe, 309 Breezes Road",2,0,0,0,0,1,1,0,33,0,17,1,4,0,0,1,0,1,0,61,1
,"St James School, Room 4, 25 Rowan Avenue",0,0,0,0,0,2,0,0,44,0,15,1,3,1,0,0,0,0,0,66,2
"Avondale","Avondale School, Rooms 5 and 6, 132 Breezes Road",0,0,0,0,0,1,1,0,23,0,15,5,4,0,0,1,0,1,0,51,0
,"Woolley Street Kindergarten, 63 Woolley Street",0,0,0,0,0,0,0,0,12,0,3,3,0,0,0,0,0,0,0,18,0
"Bexley","Pipi's Preschool, corner Pages & Bexley Roads",0,0,2,0,1,1,1,0,16,0,9,2,1,0,0,0,0,0,0,33,0
"Brooklands","Community Centre Hall, 5 Anfield Street",0,0,1,0,0,0,0,0,2,0,3,1,0,0,0,0,0,0,0,7,0
"Burwood","ABC Learning Centre, 53 Putake Drive",0,0,2,1,0,3,0,0,3,0,4,3,2,0,0,0,0,0,0,18,0
,"Burwood Christian Centre, 54 Bassett Street",0,0,0,0,0,1,0,1,11,0,1,1,1,0,0,0,0,0,0,16,2
,"Burwood School Hall, 255 New Brighton Road",0,0,0,0,0,3,1,0,16,0,4,8,1,0,0,0,0,1,0,34,0
,"Garage, 165 Queensbury Street",0,0,0,0,0,2,0,0,5,0,1,0,1,0,0,0,0,0,0,9,0
,"Windsor School Hall, 170 Burwood Road",1,0,0,0,0,1,1,0,16,0,2,2,5,0,0,1,0,0,0,29,0
"Dallington","Banks Avenue School Hall, 71 Banks Avenue",0,0,1,0,0,2,1,0,10,0,3,3,0,0,0,0,0,0,0,20,0
