Party and Electorate Candidate Votes Recorded at each polling place
"Auckland Central 1","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Auckland City","Auckland High Court, corner Waterloo Quadrant & Parliament Street",33,1,7,16,0,331,390,3,11,8,676,53,4,1533,5
,"AUT Wellesley Campus, Building WA, Conference Room, Gate 2, 55 Wellesley Street ",10,0,1,6,0,135,211,1,6,4,264,20,1,659,3
,"Liston House, 30-32 Hobson Street",17,0,6,11,0,126,227,3,4,6,490,35,0,925,7
,"Methodist Church Hall, 78 Pitt Street",7,0,6,20,1,215,346,2,10,3,386,55,3,1054,9
"Epsom","Auckland Grammar School, 85 Mountain Road",0,0,0,0,0,4,6,0,0,0,30,0,0,40,0
"Freemans Bay","Freemans Bay Community Centre Auditorium, 52 Hepburn Street",7,0,4,6,0,274,362,0,6,11,473,48,3,1194,3
"Grafton","Auckland City Hospital, Park Road",1,0,0,0,0,20,28,0,3,0,45,4,0,101,1
,"St David's Presbyterian Church Hall, 70 Khyber Pass Road",2,1,0,2,0,59,65,0,0,1,108,9,1,248,0
"Great Barrier Island","Great Barrier Island Community Health Centre, 80 Hector Sanderson Road",3,0,7,6,0,40,32,0,5,2,81,17,0,193,1
,"Okiwi School, Aotea Road",0,0,0,0,0,10,3,0,0,0,8,5,0,26,0
,"Port Fitzroy Aotea Centre (Nurses Cottage)",0,0,0,0,0,13,5,0,0,0,13,0,0,31,1
,"Tryphena Mulberry Grove School, Shoal Bay Road",4,0,1,3,1,36,33,0,1,0,44,19,0,142,0
"Grey Lynn","Grey Lynn Community Centre, 510 Richmond Road",7,2,7,10,0,491,471,0,13,12,531,49,4,1597,14
,"Grey Lynn Primary School, 44 Surrey Crescent",5,0,3,4,0,152,269,1,3,5,262,27,3,734,6
,"Mata'aga Hall, 18 Leighton Street",2,0,0,0,0,84,92,0,9,2,76,15,1,281,3
,"Richmond Road School, 113 Richmond Road ",6,0,5,2,0,281,323,0,12,9,427,38,3,1106,5
,"St Joseph's School Hall, 456 Great North Road",4,1,5,4,0,210,359,2,11,5,231,42,4,878,12
,"St Paul's College (Library), 183 Richmond Road",5,0,3,2,0,69,120,0,3,4,134,6,0,346,2
"Herne Bay","Bayfield School, 2 Clifton Road ",30,0,5,8,0,216,234,1,9,10,915,43,4,1475,4
,"Marist School, 82 Kelmarna Avenue",0,0,0,4,0,45,86,0,1,2,158,14,0,310,1
,"St Stephen's Presbyterian Church, 65 Jervois Road",11,1,2,2,0,120,131,0,2,2,362,25,1,659,4
"Kingsland","Congregational Christian Church of Samoa, 50 Bond Street",5,0,0,1,0,78,82,2,3,1,128,7,1,308,3
,"Kowhai Intermediate School, 26 Onslow Road",0,0,0,2,0,42,67,0,3,1,66,1,0,182,1
"Mangawhai Heads","Mangawhai Community Centre, Fagan Place",0,0,0,0,0,4,0,0,0,0,5,0,0,9,0
"Mechanics Bay","Auckland Marine Rescue Centre, 3 Solent Street",4,0,0,1,0,4,12,0,0,0,35,1,0,57,0
"Mt Albert","Rossgrove Chapel, 12 Rossgrove Terrace",0,0,0,0,0,8,6,0,0,0,3,0,0,17,0
"Mt Eden","Valley Road International Church Hall, 393 Mt Eden Road",1,0,1,0,0,14,11,0,0,0,31,1,0,59,0
"Newton","Newton Central School, Monmouth Street",3,1,1,6,0,88,112,0,3,0,97,9,0,320,0
,"Unitarian Church Hall, 1a Ponsonby Road",6,0,2,4,2,90,79,1,1,1,134,10,1,331,0
"Parnell","Jubilee Hall, Parnell Community Centre, 545 Parnell Road",1,0,1,1,0,15,13,0,0,0,32,4,1,68,0
,"Parnell District School, 48 St Stephens Avenue",1,0,0,1,0,22,26,0,1,3,120,7,0,181,0
,"Selwyn Library, 10 St Stephens Avenue",0,0,0,0,0,5,9,0,0,0,30,0,0,44,0
"Point Chevalier","Baptist Church Hall, 126 Point Chevalier Road",0,0,0,0,0,7,17,0,1,0,12,2,0,39,0
"Ponsonby","All Saints Anglican Church, 284 Ponsonby Road",26,0,5,6,0,317,311,0,5,13,730,51,3,1467,2
,"Ponsonby Community Centre, 20 Ponsonby Terrace",1,0,0,1,0,45,48,0,1,0,72,4,0,172,0
,"Ponsonby Primary School, 44 Curran Street",7,0,2,4,0,72,67,0,1,2,316,8,1,480,3
,"Sacred Heart Parish Hall, 24 Vermont Street",3,0,1,7,0,58,91,1,7,1,130,16,1,316,1
,"St Mary's College (Stella Maris Old School Hall), 11 New Street",5,0,0,1,0,60,78,0,0,2,244,17,1,408,1
"Waiheke Island","Matiatia Oneroa Ratepayers - Morra Hall, 115 Ocean View Road",6,1,11,8,0,243,200,0,4,7,335,72,0,887,4
,"Omiha Memorial Hall, 2 Glenbrooke Road",2,0,1,2,0,66,56,0,1,0,92,24,1,245,2
,"Onetangi Residents Association Hall, corner Waiheke Road & Third Avenue",1,1,3,3,0,122,127,1,0,2,215,42,0,517,1
,"Palm Beach Hall, 64 Palm Road",2,0,1,6,0,102,85,0,2,8,149,42,0,397,2
,"Surfdale Community Hall, 6 Hamilton Road",1,0,0,2,0,101,113,0,1,3,103,51,2,377,3
,"Te Huruhi School, 7 Donald Bruce Road",3,0,1,6,0,94,94,0,2,1,148,30,0,379,1
,"Waiheke Primary School, 26 Seaview Road",5,0,3,12,0,173,131,1,5,0,142,57,0,529,1
"Western Springs","Greek Orthodox Church Hall, 108 Western Springs Road",0,0,0,0,0,8,11,0,0,0,13,1,0,33,0
"Westmere","Hawke Sea Scouts Hall, 55 West End Road",4,0,1,4,1,123,112,0,2,3,215,7,0,472,1
,"Westmere School, corner Larchwood Avenue & Garnet Street",10,0,4,15,0,252,384,1,3,7,642,34,4,1356,4
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Auckland Central",54,1,5,40,0,868,948,4,28,23,1688,188,11,3858,21
,"Ordinary Votes BEFORE polling day - Taken in Epsom",4,0,0,1,0,31,33,0,1,0,93,2,1,166,1
,"Special Votes BEFORE polling day",14,0,3,9,1,180,195,1,6,6,387,36,2,840,7
,"Special Votes On polling day",57,0,26,25,1,1039,1028,7,23,28,1881,143,12,4270,13
,"Overseas Special Votes including Defence Force",16,0,4,1,2,312,250,2,7,6,402,10,0,1012,0
,"Votes Allowed for Party Only",8,0,8,5,193,223,1,19,17,358,43,2,1,878,11
,"Auckland Central Total",404,10,146,280,202,7797,8590,53,237,562,14447,1403,75,34206,164
,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",34370
"Electorate Party Valid Votes for Auckland Central",,"National Party - .4223528036"
"ACT New Zealand",404,.0118107934
"Alliance",10,.0002923464
"Aotearoa Legalise Cannabis Party",146,.004268257
"Conservative Party",280,.0081856984
"Democrats for Social Credit",202,.0059053967
"Green Party",7797,.2279424662
"Labour Party",8590,.2511255335
"Libertarianz",53,.0015494358
"Mana",237,.006928609
"Māori Party",562,.0164298661
"National Party",14447,.4223528036
"New Zealand First Party",1403,.041016196
"United Future",75,.0021925978
