Party and Electorate Candidate Votes Recorded at each polling place
"Epsom 12","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Auckland City","Auckland High Court, corner Waterloo Quadrant & Parliament Street",3,0,2,0,0,13,21,0,0,2,33,3,1,78,0
,"AUT Wellesley Campus, Building WA, Conference Room, Gate 2, 55 Wellesley Street ",4,0,0,0,0,21,15,0,0,0,12,3,0,55,0
,"Liston House, 30-32 Hobson Street",0,0,0,1,0,3,5,0,0,0,7,1,0,17,0
,"Methodist Church Hall, 78 Pitt Street",1,0,0,2,0,6,3,0,1,0,8,0,0,21,0
"Balmoral","Auckland Deaf Society Incorporated, 164 Balmoral Road",4,0,1,4,0,29,53,0,2,1,87,6,1,188,3
"Epsom","Auckland Grammar School, 85 Mountain Road",26,0,4,10,1,139,161,5,0,8,693,23,1,1071,6
,"Epsom Girls Grammar School, 14 Silver Road",44,0,4,17,0,109,303,4,4,15,823,31,4,1358,10
,"Epsom Methodist Church Hall, 12 Pah Road",18,0,0,1,0,58,109,1,1,1,429,34,1,653,1
,"Epsom Normal School, 41 The Drive",55,1,7,35,0,154,328,1,4,4,1231,49,7,1876,10
,"Sacred Heart Parish Hall, 19 Banff Avenue",18,0,4,19,1,82,148,0,1,2,730,24,4,1033,5
,"St George's Church Hall, 19 Ranfurly Road",45,0,4,19,0,149,191,0,4,10,759,53,1,1235,6
"Grafton","Auckland City Hospital, Park Road",3,0,1,3,0,40,76,0,0,1,100,3,1,228,1
,"St David's Presbyterian Church Hall, 70 Khyber Pass Road",15,0,2,4,0,88,92,0,2,5,181,15,2,406,1
"Greenlane","Cornwall Park District School, corner Greenlane West & Wheturangi Roads",19,2,7,14,0,62,126,0,0,3,629,32,5,899,7
"Kingsland","Congregational Christian Church of Samoa, 50 Bond Street",0,0,0,0,0,7,5,0,0,0,14,0,0,26,0
