Party and Electorate Candidate Votes Recorded at each polling place
"Hamilton East 13","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Cambridge","Cambridge Primary School, corner Wilson & Duke Streets",0,0,0,0,0,1,2,0,0,0,17,0,0,20,0
"Chartwell","Chartwell Cooperating Parish Hall, corner Comries Road & Belmont Avenue",19,1,3,85,0,178,433,1,6,6,878,96,10,1716,18
,"Hukanui School, corner Hukanui Road & Pickering Crescent",25,0,6,57,0,172,331,3,0,13,1246,85,25,1963,12
"Claudelands","Peachgrove Intermediate School, 72 Peachgrove Road",4,0,4,21,2,84,152,1,0,2,206,21,0,497,9
,"Southwell School, 200 Peachgrove Road",10,2,5,27,3,102,189,0,0,6,471,46,13,874,6
,"St Aidans Parish Hall, 24 Thames Street",10,0,2,30,0,132,265,0,6,8,347,51,10,861,7
"Enderley","Te Kura Kaupapa Māori O Te Ara Rima School, 31 Fifth Avenue",1,0,0,27,1,43,200,1,2,3,153,37,4,472,10
"Fairfield","Fairfield Baptist Church, 1101 Heaphy Terrace",2,0,1,17,0,35,130,0,2,2,128,34,2,353,6
,"Fairfield College, 25 Bankwood Road",3,0,3,22,0,60,133,0,1,0,184,19,5,430,6
,"Fairfield Intermediate School, 261 Clarkin Road",0,0,5,26,0,50,213,0,1,1,203,46,2,547,4
,"Insoll Avenue School, 95 Insoll Avenue",3,0,4,23,0,79,353,0,0,4,322,69,8,865,17
,"Wesley Methodist Hall, 955 Heaphy Terrace",7,1,1,20,0,76,207,1,2,6,160,46,3,530,8
,"Woodstock Primary School, Fairfield Road",7,0,1,29,1,91,162,0,2,8,493,28,4,826,4
"Flagstaff","Alandale Retirement Village, 1199 River Road",27,0,5,71,1,144,251,2,1,5,1239,79,12,1837,6
"Frankton","Frankton School Hall, 206 Massey Street",0,0,0,0,0,3,8,0,0,0,8,0,0,19,0
"Hamilton City","Hamilton City Council, Garden Place",2,0,1,4,0,39,51,0,0,1,76,6,0,180,0
"Hamilton East","Air Training Corps Hall, corner Naylor & Dey Streets",6,0,6,33,1,129,250,2,2,9,350,39,11,838,6
,"Graceways Church, 69 Grey Street",2,0,1,29,0,103,102,1,0,2,196,27,1,464,5
,"Hamilton East Primary School, Dawson Street",8,0,2,8,0,92,189,1,0,3,243,27,5,578,4
,"Knox Presbyterian Hall, 48 Albert Street",4,0,5,26,1,208,289,0,5,6,391,57,1,993,9
,"Marian Catholic School, 119 Firth Street",9,0,4,35,0,118,247,0,0,3,334,47,5,802,17
"Hamilton West","Hamilton West School, 36 Hammond Street",0,0,0,0,0,7,3,0,0,0,18,2,0,30,0
,"Waikato Hospital, Fracture Clinic reception, Pembroke Street",4,0,0,1,0,9,17,0,0,1,41,5,0,78,1
"Hillcrest","Hillcrest Normal School, 218 Cambridge Road",8,0,1,51,0,235,299,0,5,9,592,69,10,1279,10
,"Knighton Normal School, Knighton Road",10,0,7,34,1,228,365,3,6,10,426,60,9,1159,7
"Horotiu","Horotiu School, Horotiu Bridge Road",0,0,2,0,0,1,3,0,0,0,11,1,0,18,0
"Pukete","Pukete School, 100 Pukete Road",0,1,0,2,0,7,21,0,1,0,43,6,0,81,0
"Rototuna","Chapel Hill Community Church, 2 Cate Road",23,1,3,94,1,72,262,0,1,1,997,74,12,1541,15
,"Rototuna Primary School, 23 Strathmore Drive",23,1,6,62,0,144,375,0,3,4,1583,95,24,2320,9
"Rototuna North","Te Totara Primary School, 31 Hector Drive",16,0,1,24,0,64,182,0,1,3,741,31,11,1074,4
"Silverdale","Hillcrest High School, Masters Avenue",6,1,4,35,0,165,322,4,3,8,358,67,9,982,9
"St Andrews","Vardon School, 36 Cunningham Road",0,0,0,0,0,1,1,0,0,0,16,0,1,19,0
"Whangamata ","Whangamata Memorial Hall, 328 Port Road",0,0,0,1,0,7,7,0,0,1,45,2,0,63,0
"Whitiora","Whitiora School, 38 Willoughby Street",0,0,0,0,0,4,9,0,0,2,24,3,0,42,0
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Hamilton East",57,0,10,135,6,393,971,1,13,16,2439,321,33,4395,63
,"Ordinary Votes BEFORE polling day - Taken in Hamilton West",7,0,8,32,0,90,167,1,1,7,379,36,2,730,6
,"Special Votes BEFORE polling day",6,0,1,11,0,78,119,0,2,3,207,32,0,459,3
,"Special Votes On polling day",29,0,19,59,0,352,685,2,9,15,1236,100,21,2527,24
,"Overseas Special Votes including Defence Force",1,0,1,6,0,69,67,0,1,3,117,4,2,271,0
,"Votes Allowed for Party Only",2,0,9,8,0,84,185,1,13,24,167,18,5,516,12
,"Hamilton East Total",341,8,131,1145,18,3949,8217,25,89,195,17085,1786,260,33249,317
,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",33566
"Electorate Party Valid Votes for Hamilton East",,"National Party - .5138500406"
"ACT New Zealand",341,.0102559475
"Alliance",8,.0002406087
"Aotearoa Legalise Cannabis Party",131,.0039399681
"Conservative Party",1145,.0344371259
"Democrats for Social Credit",18,.0005413697
"Green Party",3949,.1187704893
"Labour Party",8217,.2471352522
"Libertarianz",25,.0007519023
"Mana",89,.0026767722
"Māori Party",195,.005864838
"National Party",17085,.5138500406
"New Zealand First Party",1786,.0537159012
"United Future",260,.0078197841
