Party and Electorate Candidate Votes Recorded at each polling place
"Hutt South 17","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Alicetown","Hutt Central School, 6 Railway Avenue",6,0,4,14,0,92,237,1,2,7,383,42,8,796,9
"Avalon","Avalon School, 10 Gordon Street",0,2,0,3,0,11,74,0,1,0,51,8,3,153,2
,"Dyer Street School, 59 Dyer Street",5,1,3,5,0,51,184,1,2,1,249,37,5,544,8
"Belmont","Belmont Hall, 711 Western Hutt Road",1,1,0,0,0,4,12,0,0,0,29,6,0,53,0
"Boulcott","Boulcott School, 9 Boulcott Street",0,0,1,3,0,43,97,0,1,0,310,17,5,477,4
"Days Bay","Wellesley College, 611 Marine Drive",14,0,4,4,0,119,95,0,0,2,318,18,10,584,2
"Eastbourne","Muritai School, 160 Muritai Road",17,0,1,19,2,281,246,6,8,9,725,36,13,1363,3
"Epuni","Congregational Christian Church Hall of Samoa, 37 Mitchell Street",3,0,0,14,0,45,165,0,1,1,164,39,5,437,8
,"Epuni School Hall, 313 Waiwhetu Road",9,1,3,27,0,115,308,1,1,5,457,59,16,1002,9
"Gracefield","Gracefield School, 20A Bell Road",1,1,2,7,0,27,127,0,0,2,133,12,4,316,4
"Hutt Central","Eastern Hutt School, 83 Kings Crescent",13,0,3,21,2,73,203,0,1,4,600,45,8,973,5
,"Hutt Hospital, 640 High Street",1,0,1,7,0,24,88,0,2,2,108,11,3,247,0
,"Hutt Intermediate School, 7 Kauri Street",12,0,2,11,0,97,146,0,0,1,600,41,7,917,6
,"Hutt Valley High School, 84 Woburn Road",13,1,3,23,0,91,188,0,3,1,519,36,7,885,2
,"Knox Presbyterian Church Hall, 574 High Street",7,0,3,11,0,48,96,0,3,1,291,27,5,492,4
,"St Bernard's College, 183 Waterloo Road",6,0,1,17,0,75,153,0,0,3,333,26,9,623,5
,"Sts Peter and Paul School, Myrtle Street",1,0,1,14,0,49,117,1,0,2,277,30,5,497,4
"Moera","Randwick School, 59 Randwick Road",7,1,4,9,0,92,336,1,6,10,217,57,3,743,9
"Naenae","Community Hall, 25 Treadwell Street",1,0,0,14,0,43,322,0,2,3,104,32,3,524,7
,"Naenae Kindergarten, 19 Seddon Street",4,0,2,9,0,63,302,0,4,3,161,51,5,604,6
,"Naenae Primary School, 18 Wheatley Street",3,0,5,14,1,40,283,0,3,4,165,26,4,548,10
,"Rata Street School, 73 Rata Street",2,0,7,17,0,64,435,1,4,6,188,77,8,809,7
"Petone","Petone Central School, 16 Britannia Street",7,1,5,26,1,230,464,1,5,7,488,76,7,1318,11
,"St Augustines Cub Group Hall, 71 Udy Street",2,0,0,4,0,47,85,0,2,2,126,16,2,286,1
,"Wilford School, 102 William Street",7,0,2,10,0,204,339,1,5,7,423,51,11,1060,13
"Point Howard","Tennis Club/Playcentre, 29 Ngaumatau Road",4,0,3,3,0,37,34,0,0,1,107,11,2,202,1
"Taita","Avalon Intermediate School, 1041 High Street",0,0,1,0,0,4,39,0,0,0,13,4,1,62,0
"Wainuiomata","Arakura School, 209 Wellington Road",5,0,9,27,0,64,414,0,2,4,221,68,8,822,5
,"Fernlea School, 25a Lees Grove",2,0,3,10,0,30,129,0,0,1,119,31,6,331,2
,"Holy Trinity Church, 40 Wainuiomata Road",4,1,5,33,0,44,295,1,2,4,189,53,2,633,2
,"Pukeatua School, 19 Frederick Street",0,0,3,4,0,40,210,2,1,5,97,35,1,398,1
,"St Peter's Church, 29 Wise Street",2,3,2,13,0,42,294,1,3,4,159,46,4,573,7
,"Wainuiomata Intermediate School, 66 Konini Street",6,0,7,29,1,88,521,0,6,5,397,68,10,1138,8
,"Wainuiomata Primary School, 5 Homedale Road",7,0,3,21,1,118,489,0,6,6,345,90,9,1095,4
,"Wainuiomata Union Church, 106 Main Road",1,1,2,21,1,54,248,0,3,2,249,64,8,654,4
"Waiwhetu","Our Lady of the Rosary School, 15 Wainui Road",2,0,3,10,0,56,172,0,1,0,194,26,5,469,4
,"St Paul's Parish Hall, 76 Waiwhetu Road",2,0,4,20,0,33,167,0,1,1,196,39,0,463,4
,"Waiwhetu Marae Meeting House, Puketapu Grove",1,0,1,6,0,69,140,0,3,5,126,27,5,383,5
"Waterloo","Waterloo School, 26 Hardy Street",9,0,7,42,0,203,492,1,6,8,831,96,17,1712,6
"Wellington City","Capital E, Civic Square",0,0,0,0,0,3,10,0,0,0,8,0,0,21,0
,"Michael Fowler Centre, Renouf Foyer, Level 1, 111 Wakefield Street",0,0,1,0,0,7,14,0,0,1,20,2,0,45,0
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Hutt South",26,4,13,72,3,479,1586,1,12,26,1525,297,34,4078,44
,"Ordinary Votes BEFORE polling day - Taken in Wellington Central",4,0,1,4,0,53,64,0,1,4,141,9,2,283,1
,"Special Votes BEFORE polling day",5,0,2,7,0,48,195,1,0,2,149,32,4,445,4
,"Special Votes On polling day",19,0,24,36,0,327,829,1,10,19,756,74,14,2109,17
,"Overseas Special Votes including Defence Force",7,0,1,1,0,78,89,1,4,4,158,8,3,354,2
,"Votes Allowed for Party Only",1,0,5,5,0,35,218,0,6,11,91,18,3,393,6
,"Hutt South Total",249,18,157,667,12,3940,11751,23,123,196,13510,1974,294,32914,266
,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",33180
"Electorate Party Valid Votes for Hutt South",,"National Party - .4104636325"
"ACT New Zealand",249,.0075651698
"Alliance",18,.0005468797
"Aotearoa Legalise Cannabis Party",157,.0047700067
"Conservative Party",667,.0202649329
"Democrats for Social Credit",12,.0003645865
"Green Party",3940,.1197059002
"Labour Party",11751,.3570213283
"Libertarianz",23,.0006987908
"Mana",123,.0037370116
"Māori Party",196,.0059549128
"National Party",13510,.4104636325
"New Zealand First Party",1974,.0599744789
"United Future",294,.0089323692
