Party and Electorate Candidate Votes Recorded at each polling place
"Kaikōura 20","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Amberley","Amberley School, 2 Lawcocks Road",10,0,1,16,1,40,83,1,0,1,304,24,0,481,7
,"Hurunui District Council, 66 Carters Road",9,1,2,32,1,85,113,1,0,1,387,46,3,681,4
"Ashley","Ashley School, corner Boundary & Fawcetts Roads",10,0,0,26,0,55,67,0,0,1,378,19,4,560,6
"Balcairn","Balcairn Hall, 4 Ashbys Road",5,0,0,25,1,22,19,0,0,0,137,17,2,228,2
"Blenheim","Alzheimers Centre, 8 Wither Road",3,0,2,31,0,62,164,0,0,2,315,69,5,653,3
,"Baptist Church Hall, 8 Beaver Road",1,0,1,27,0,49,115,0,1,6,280,37,13,530,3
,"Bohally Intermediate School Hall, 37-49 McLauchlan Street",9,1,4,18,0,63,162,0,2,4,288,32,5,588,4
,"Bright Centre, 2 Dillons Point Road",2,0,3,14,1,54,98,0,1,0,150,28,6,357,2
,"Marlborough Boys' College Pavilion, Francis Street",5,0,9,34,0,96,272,1,1,4,518,59,8,1007,8
,"Mayfield School Hall, 79 Hutcheson Street",4,1,8,21,0,47,172,1,2,2,277,52,5,592,10
,"Nativity Anglican Church Hall, 76 Alfred Street",3,1,2,9,0,48,79,0,0,2,151,27,2,324,1
,"NMIT Marlborough Campus, Room E1, 85 Budge Street",5,1,3,32,1,51,187,0,0,3,204,40,8,535,7
,"Redwoodtown School, 88-92 Cleghorn Street",13,2,10,67,3,187,609,1,4,4,968,186,13,2067,36
,"Salvation Army Hall, 35 George Street",5,0,3,10,0,27,126,0,2,1,145,24,1,344,2
,"Springlands School Hall, Aston Street",18,0,6,48,2,137,230,1,2,9,768,80,5,1306,4
,"St Mark's Hobbies Room, 61 Main Street",1,0,0,5,1,25,80,0,2,2,127,26,1,270,1
,"St Ninian's Church Hall, corner Alabama Road & Riley Crescent",5,0,1,57,1,63,178,0,0,2,347,49,5,708,4
,"Whitney Street School Hall, Whitney Street",8,0,3,35,1,83,181,0,0,1,322,47,3,684,4
,"Witherlea School Hall, Upper Weld Street",10,0,4,38,2,106,205,1,0,6,565,43,10,990,9
"Broomfield","Broomfield School, 115 Mt Brown Road",4,0,1,5,1,16,11,0,0,0,127,7,1,173,1
"Canvastown","Canvastown School, 5044 State Highway 6",2,0,2,8,0,19,30,0,1,0,69,16,1,148,0
"Cheviot","Knox Church Hall, 13 Reeves Street",5,0,1,16,0,46,60,0,0,1,216,27,0,372,4
"Culverden","Amuri Area School, 19 School Road",6,0,1,7,0,20,44,0,1,2,264,12,1,358,5
"Domett","Main Line Station, State Highway 1",6,0,0,5,0,7,6,0,0,1,83,6,1,115,1
"Fairhall","Fairhall School Library, 384 New Renwick Road",7,0,0,17,0,44,53,0,2,2,319,14,5,463,2
"Greta Valley","Greta Valley School, 8 Motunau Beach Road",5,0,1,6,0,7,13,0,1,0,105,16,1,155,0
"Grovetown","Grovetown School, 50-62 Vickerman Street",3,0,3,9,0,20,45,0,0,1,204,13,1,299,3
"Hanmer Springs","Hanmer Springs Memorial Hall, corner Amuri Avenue and Cheltenham Street",4,0,1,10,0,46,53,0,0,1,320,15,8,458,2
