Party and Electorate Candidate Votes Recorded at each polling place
"Mana 21","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Aotea","Summerset Aotea Village, 15 Aotea Drive",3,0,0,22,0,75,201,1,1,4,568,34,12,921,2
"Ascot Park","Rangikura School, 95 Conclusion Street",1,0,5,7,0,46,339,0,3,5,139,46,1,592,8
"Cannons Creek","Cannons Creek School, 5 Warspite Avenue",0,1,5,4,0,35,750,0,15,2,62,41,2,917,28
,"Glenview School, 106 Bedford Street",0,0,3,0,0,6,182,1,2,1,23,7,0,225,2
,"Maraeroa School, 47 Driver Crescent",0,0,3,2,0,13,367,0,5,2,26,20,1,439,17
,"Russell School, 18 Fantame Street",3,0,3,1,0,24,348,0,1,2,27,14,1,424,14
"Elsdon","Porirua School, 1 Awarua Street",3,0,5,6,1,79,300,0,3,9,92,44,1,543,10
"Kenepuru","Kenepuru Community Hospital, Hospital Drive (off Raiha Street)",0,0,1,3,0,16,79,0,1,1,48,16,0,165,3
"Linden","Greenacres School, 60 Raroa Terrace",2,0,1,16,0,44,93,0,0,3,220,10,1,390,2
,"Linden School, 60 Ranui Terrace",0,0,2,3,0,30,81,0,1,4,101,9,1,232,3
,"Linden Social Centre, 10 Linden Avenue",6,0,4,26,0,91,332,2,0,2,425,36,7,931,13
,"Tui Park Kindergarten, 12b Mexted Terrace",0,0,0,6,0,38,82,0,1,0,76,10,3,216,2
"Mana","St Barnabas' Church Hall, 106a Mana Esplanade",5,0,3,24,0,164,238,0,2,4,583,50,6,1079,4
"Paekakariki","Paekakariki School, Wellington Road",2,0,2,5,0,130,120,0,2,3,91,13,1,369,4
,"St Peters Village Hall, corner Beach Road & Ames Street",3,1,2,4,0,166,152,0,9,3,108,18,1,467,2
"Papakowhai","Papakowhai School, 17 Spey Place",3,1,5,19,0,92,165,2,3,5,514,37,8,854,8
"Paraparaumu","Kapiti Primary School, corner Kapiti & Rimu Roads",1,0,2,8,0,51,80,0,2,0,106,15,2,267,4
,"Paraparaumu School, Ruapehu Street",2,0,4,40,2,107,249,0,3,4,304,63,2,780,18
"Paremata","Paremata School, 35 Paremata Crescent",4,0,4,18,1,154,228,0,2,3,566,51,10,1041,4
"Pauatahanui","Pauatahanui School, 12 Paekakariki Hill Road",10,0,1,6,0,70,67,0,0,4,467,9,2,636,1
"Plimmerton","Plimmerton School, School Road",6,0,0,14,0,163,213,0,7,9,488,29,5,934,1
,"St Theresa's School, 5 James Street",4,0,1,5,0,57,80,1,0,4,226,21,2,401,6
"Porirua","5 Lydney Place South (North City Plaza side entrance)",2,0,5,4,0,32,191,1,3,2,116,27,4,387,10
,"Whitireia Community Polytechnic, Block E, 2 Wineera Drive",1,0,1,2,0,17,57,0,0,1,39,15,1,134,1
"Porirua East","Porirua East School, 8 Martin Street",0,2,5,20,0,76,608,1,5,6,194,60,9,986,20
,"Windley School, 146 Mungavin Avenue",0,0,4,4,0,21,371,2,3,1,48,16,1,471,14
"Pukerua Bay","Pukerua Bay School, 89 Rawhiti Road",3,0,2,10,1,187,191,1,3,8,320,39,5,770,1
"Raumati Beach","Raumati Beach School, Raumati Road",10,2,10,46,0,303,533,2,5,11,963,105,15,2005,14
"Raumati South","Raumati South Returned Services War Memorial Hall, Tennis Court Road (opposite No 25)",4,0,2,13,0,156,215,0,2,4,262,33,4,695,2
,"Raumati South School, Matai Road",3,0,3,18,0,138,201,0,1,2,309,41,2,718,2
"Tawa","Hampton Hill School, Victory Crescent",0,0,0,2,0,2,22,0,0,1,30,2,2,61,0
,"New Life Church Hall, 236 Main Road",1,1,1,3,0,14,47,0,0,0,37,4,2,110,0
,"Tawa School, 6 Oxford Street",0,0,0,8,0,20,57,0,0,0,77,12,2,176,0
"Titahi Bay","Garage, 99 Gloaming Hill",2,0,3,6,0,34,114,0,2,1,102,22,1,287,1
,"Ngati Toa School,  44 Piko Street",1,0,0,3,0,30,114,1,2,1,47,16,0,215,3
,"Niblick Hall, 1 Niblick Lane",1,2,3,16,1,84,246,0,2,6,178,79,3,621,9
,"Titahi Bay Intermediate School, Kahutea Terrace",2,0,2,10,0,61,213,0,3,9,188,34,3,525,6
,"Titahi Bay North School, 47 Jillett Street",1,0,3,6,0,36,141,0,3,0,68,33,4,295,3
