Party and Electorate Candidate Votes Recorded at each polling place
"Manukau East 23","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Favona","Koru School, 71 Robertson Road",0,0,0,0,0,0,17,0,1,0,3,1,0,22,0
"Flat Bush","Dawson Road Primary School, Haumia Way",0,0,0,0,0,1,81,0,1,0,2,0,0,85,1
,"Kia Aroha College, 51 Othello Drive",0,0,0,0,0,3,31,0,0,0,2,1,0,37,0
"Mangere","Robertson Road School, 205 Robertson Road",0,0,0,0,0,1,11,0,0,0,2,2,0,16,0
,"Southern Cross Campus, 253 Buckland Road West",0,0,1,0,0,0,9,0,0,0,0,0,0,10,0
"Mangere East","De La Salle College, 81 Gray Avenue",1,0,0,0,0,3,44,0,0,1,5,1,0,55,0
,"Kingsford School, 54 Raglan Street",0,0,0,0,1,0,3,0,0,0,2,1,0,7,0
,"Mangere East Primary School, 21 Yates Road",0,0,0,0,0,0,26,0,0,0,1,1,0,28,0
,"Selwyn Anglican Church Hall, corner Massey Road & Hain Avenue",0,0,0,0,0,0,23,0,0,0,1,0,0,24,1
"Manukau","Latter Day Saints Church, 17 Redoubt Road",0,0,0,0,0,3,32,0,0,0,8,3,0,46,0
"Mt Wellington","Riverside Community Centre, corner Bernard Street & Peace Avenue",8,0,1,11,0,38,617,0,4,3,161,80,2,925,14
"Otahuhu","Fairburn School, 10 Pukeora Road",3,0,2,5,0,16,397,1,1,1,107,29,0,562,13
,"McAuley High School, 26 High Street",7,0,2,18,0,45,712,0,14,1,162,65,1,1027,29
,"Middlemore Hospital, Hospital Road",0,0,0,0,0,2,55,0,0,0,15,7,0,79,1
,"Otahuhu College, 74-78 Mangere Road",3,0,0,11,0,29,295,0,6,4,104,36,1,489,1
,"Otahuhu Intermediate School, 22-24 Luke Street",3,0,1,12,0,42,597,0,6,5,158,57,2,883,20
,"Otahuhu Primary School, 41 Station Road",6,1,5,8,0,27,484,2,13,1,139,58,2,746,9
"Otara","Bairds Mainfreight Primary School, 12 Edward Avenue",2,0,3,2,0,6,431,0,7,2,19,35,0,507,9
,"East Tamaki Primary School, 196 Preston Road",0,0,0,3,0,7,235,0,5,0,14,19,1,284,5
,"Ferguson Intermediate School, 20-40 Ferguson Road",2,0,5,6,0,19,794,0,6,2,31,47,0,912,23
,"Flat Bush School, 20 Flat Bush Road",1,0,0,2,0,12,422,0,9,0,14,9,0,469,14
,"Maori Anglican Church Hall, 183 Bairds Road",0,0,1,2,0,8,345,0,8,2,17,21,1,405,13
,"Mayfield School, 12 Pearl Baker Drive",1,0,2,7,0,14,654,0,12,0,28,21,0,739,20
,"Sir Edmund Hillary Collegiate, 67 Otara Road",1,0,3,1,0,6,577,0,15,1,21,18,0,643,8
,"Wymondley Road School, 77 Wymondley Road",0,0,0,0,0,7,233,0,2,0,13,8,0,263,9
"Papatoetoe","Aorere College, 6-8 Selfs Road",1,0,2,5,0,13,190,0,5,0,41,16,0,273,3
,"Holy Cross Church Hall, corner St George Street & Carruth Road",8,0,4,25,2,61,697,0,2,10,380,75,3,1267,23
,"Kedgley Intermediate School, 181 Portage Road",0,0,0,1,0,1,62,0,0,0,11,3,0,78,3
,"Manukau Indian Association Hall, 57 Hillside Road",2,0,3,13,0,14,306,0,5,1,97,36,1,478,5
,"Omana Kindergarten, 42 Omana Avenue",7,0,1,18,1,27,308,1,2,6,267,46,3,687,10
,"Papatoetoe Central Primary School, 317 Great South Road",8,1,1,15,0,38,551,2,3,5,329,66,3,1022,8
,"Papatoetoe East Primary School, 138 Tui Road",10,5,1,19,1,45,650,0,2,9,284,95,4,1125,26
,"Papatoetoe High School, 19 Nicholson Avenue",5,0,5,18,0,26,425,0,2,1,230,59,0,771,8
,"Papatoetoe Intermediate School, 175 Motatau Road",5,0,0,21,0,31,400,0,1,5,314,43,3,823,12
,"Papatoetoe South School, Milan Road (Kenderdine Road entrance)",2,0,3,14,0,36,521,0,4,5,177,49,0,811,14
,"Papatoetoe West School, 1-3 Hillcrest Road",5,0,6,15,0,29,577,0,7,1,172,42,2,856,19
,"Puhinui Primary School, 116 Puhinui Road",4,0,1,7,0,16,330,0,2,3,193,24,1,581,5
,"Puhinui Scout Hall, York Road",2,0,1,4,1,25,196,1,1,3,142,48,1,425,5
,"St John's Presbyterian Church Hall, 120 Great South Road",2,1,0,11,0,20,127,0,1,0,126,23,0,311,4
,"Wesley Methodist Church Hall, 37 Kolmar Road",4,0,1,18,0,21,224,0,3,2,148,59,0,480,16
,"Whitehaven Pensioners Flats Hall, 146 Kolmar Road",3,0,1,6,0,18,138,0,3,1,104,26,0,300,10
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Botany",0,0,1,1,0,0,139,0,4,0,6,3,1,155,2
,"Ordinary Votes BEFORE polling day - Taken in Māngere",1,0,2,4,0,3,65,0,1,0,12,6,0,94,0
,"Ordinary Votes BEFORE polling day - Taken in Manukau East",22,1,6,51,1,76,2031,0,28,10,689,288,5,3208,66
,"Ordinary Votes BEFORE polling day - Taken in Manurewa",0,0,0,0,0,0,7,0,0,0,1,0,0,8,0
,"Ordinary Votes BEFORE polling day - Taken in Maungakiekie",0,0,0,1,0,2,6,0,0,0,11,3,0,23,1
,"Special Votes BEFORE polling day",1,0,1,9,0,15,391,1,6,2,98,37,1,562,6
,"Special Votes On polling day",11,0,18,22,0,75,1759,0,17,17,316,100,3,2338,68
,"Overseas Special Votes including Defence Force",0,0,0,0,0,3,48,2,0,0,29,1,0,83,1
,"Votes Allowed for Party Only",2,0,9,7,0,29,704,0,44,27,81,35,0,938,19
,"Manukau East Total",143,9,93,393,7,913,17977,10,253,131,5287,1703,41,26960,524
,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",27484
"Electorate Party Valid Votes for Manukau East",,"Labour Party - .6668026706"
"ACT New Zealand",143,.0053041543
"Alliance",9,.0003338279
"Aotearoa Legalise Cannabis Party",93,.0034495549
"Conservative Party",393,.0145771513
"Democrats for Social Credit",7,.0002596439
"Green Party",913,.0338649852
"Labour Party",17977,.6668026706
"Libertarianz",10,.0003709199
"Mana",253,.009384273
"Māori Party",131,.0048590504
"National Party",5287,.1961053412
"New Zealand First Party",1703,.0631676558
"United Future",41,.0015207715
