Party and Electorate Candidate Votes Recorded at each polling place
"Manurewa 24","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Alfriston","Alfriston School, Alfriston Road",0,0,0,2,0,3,7,0,0,0,34,0,0,46,0
"Botany South","Sancta Maria College, 319 Te Irirangi Drive",2,0,0,4,0,7,42,0,0,0,63,4,1,123,2
"Chapel Downs","Chapel Downs Primary School, 170 Dawson Road",5,0,1,14,0,19,355,0,5,0,174,24,2,599,11
"Flat Bush","Dawson Road Primary School, Haumia Way",0,0,1,1,0,2,112,0,2,0,13,5,1,137,0
,"Kia Aroha College, 51 Othello Drive",3,0,1,5,0,8,181,0,2,2,26,25,0,253,4
"Manukau","Everglade Primary School, 64 Everglade Drive",27,5,7,53,0,103,906,0,8,6,1160,150,7,2432,30
,"Latter Day Saints Church, 17 Redoubt Road",8,0,2,16,0,22,226,1,3,2,233,48,0,561,10
,"Wiri Community Hall, 11 Inverell Avenue",0,0,1,8,0,13,465,0,3,3,53,28,0,574,11
"Manurewa","1st Manurewa Scout Hall, corner Sturdee & Browns Roads",3,0,4,15,0,37,498,0,8,2,193,56,0,816,6
,"Alfriston College, Alfriston Road entrance",1,0,1,3,0,5,50,0,1,0,49,6,0,116,0
,"Clayton Park School, Wattle Farm Road entrance",0,0,0,6,0,7,54,0,1,4,36,11,0,119,1
,"Clendon Park School, 145 Rowandale Avenue",2,0,1,8,0,17,478,2,7,7,93,38,3,656,21
,"Elmwood Village Community Centre,131 Hill Road",1,0,0,0,0,2,29,0,0,1,23,2,0,58,0
,"Finlayson Park School, 87 John Walker Drive",4,0,2,6,0,27,817,0,8,2,115,64,1,1046,21
,"Greenmeadows Intermediate, Ferguson Road entrance",3,0,0,8,0,12,144,2,1,0,56,23,1,250,1
,"Hillpark School Hall, 57 Grande Vue Road",16,0,8,61,1,106,414,1,6,8,747,120,4,1492,12
,"James Cook High School, 12 Dr Pickering Avenue",2,0,2,9,0,8,281,0,11,4,108,50,1,476,8
,"Manurewa Central School, corner Great South & Hill Roads",2,1,1,13,0,23,234,1,3,2,147,42,0,469,13
,"Manurewa East School, Scotts Road",1,0,2,11,0,4,213,1,5,3,67,24,0,331,1
,"Manurewa Library, 7 Hill Road",12,2,7,38,0,68,620,0,4,5,388,110,0,1254,34
,"Manurewa South Primary School, 39 Tawa Crescent (Totara Road entrance)",2,0,1,15,0,24,187,0,2,3,80,37,2,353,7
,"Manurewa West Primary School, 31 McKean Avenue",1,0,1,10,0,18,296,2,1,3,120,54,1,507,10
,"Roscommon School, 23 Burundi Avenue",0,0,1,12,1,28,658,1,6,6,78,58,0,849,13
,"Rowandale School, 73 Rowandale Avenue",0,0,1,14,0,17,562,0,7,6,107,60,0,774,12
,"St Elizabeth's Anglican Church, 182 Finlayson Avenue",0,1,2,15,0,10,174,0,3,0,48,19,2,274,2
,"St Luke's Anglican Church Hall, 3 Russell Road (Weymouth Road entrance)",1,0,3,8,0,33,409,2,0,8,190,67,2,723,11
,"Table Tennis Club Hall, corner Browns & McVilly Roads",0,0,3,15,0,28,358,0,3,4,96,57,0,564,9
,"Te Matauranga School, 206 Finlayson Avenue",1,2,0,5,0,15,353,0,6,4,78,31,0,495,10
,"The Gardens School, 101 Charles Prevost Drive",0,0,0,1,0,4,17,0,1,0,21,1,0,45,1
"Otahuhu","Middlemore Hospital, Hospital Road",0,0,1,0,0,6,33,0,0,1,13,4,0,58,0
"Papatoetoe","Puhinui Primary School, 116 Puhinui Road",4,1,1,22,0,25,397,0,0,3,154,56,2,665,7
"Takanini","Takanini School Hall, 39 Takanini School Road ",0,0,0,0,0,3,8,0,2,0,1,3,0,17,0
"Weymouth","Weymouth Primary School, 23 Evans Road",5,1,8,46,0,60,516,0,7,9,393,139,4,1188,17
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Botany",1,0,0,3,0,1,118,0,0,1,32,7,0,163,3
,"Ordinary Votes BEFORE polling day - Taken in Manukau East",1,0,0,1,0,5,67,0,0,1,18,8,0,101,1
,"Ordinary Votes BEFORE polling day - Taken in Manurewa",25,8,12,78,1,92,1714,0,32,20,652,262,10,2906,62
,"Ordinary Votes BEFORE polling day - Taken in Papakura",0,0,0,0,0,0,3,0,2,1,5,3,0,14,0
,"Special Votes BEFORE polling day",1,0,1,4,0,18,302,0,4,4,93,24,1,452,11
,"Special Votes On polling day",14,0,13,30,0,82,1482,0,24,19,502,87,8,2261,34
,"Overseas Special Votes including Defence Force",3,0,0,4,0,15,69,0,0,0,45,4,1,141,0
,"Votes Allowed for Party Only",2,1,12,8,0,18,668,0,37,19,102,50,2,919,15
,"Manurewa Total",153,22,101,572,3,995,14517,13,215,163,6606,1861,56,25277,411
,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",25688
"Electorate Party Valid Votes for Manurewa",,"Labour Party - .5743165724"
"ACT New Zealand",153,.0060529335
"Alliance",22,.0008703565
"Aotearoa Legalise Cannabis Party",101,.0039957273
"Conservative Party",572,.0226292677
"Democrats for Social Credit",3,.000118685
"Green Party",995,.0393638486
"Labour Party",14517,.5743165724
"Libertarianz",13,.0005143015
"Mana",215,.0085057562
"Māori Party",163,.0064485501
"National Party",6606,.2613443051
"New Zealand First Party",1861,.0736242434
"United Future",56,.0022154528
