Party and Electorate Candidate Votes Recorded at each polling place
"Mt Albert 26","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Auckland City","Auckland High Court, corner Waterloo Quadrant & Parliament Street",0,0,0,0,0,6,10,0,0,0,8,2,0,26,0
,"AUT Wellesley Campus, Building WA, Conference Room, Gate 2, 55 Wellesley Street ",0,0,0,0,0,6,15,1,0,0,11,3,1,37,0
"Avondale","Avondale Baptist Church, 1288 New North Road",3,0,0,7,0,47,57,0,4,2,78,4,0,202,4
,"Avondale College Drama Room, 47 Victor Street (Gate 1 entrance)",6,0,1,6,0,92,406,0,1,0,242,52,0,806,10
,"Avondale Community Centre, 99 Rosebank Road",9,5,3,13,0,46,374,0,4,1,108,37,2,602,10
,"Avondale Primary School, Crayford Street West",1,0,0,5,0,23,104,0,3,0,39,18,2,195,2
,"Rosebank School Hall, 217 Rosebank Road",7,1,3,27,0,103,923,0,7,5,318,90,2,1486,21
"Balmoral","Auckland Deaf Society Incorporated, 164 Balmoral Road",5,0,0,1,0,28,55,0,1,0,45,8,2,145,0
,"Balmoral Scout Group, Pollard Park, 1a Waitomo Avenue",2,0,1,1,0,16,16,0,0,0,24,6,0,66,0
"Grafton","Auckland City Hospital, Park Road",1,0,0,0,0,11,24,0,0,1,19,1,0,57,1
"Grey Lynn","Grey Lynn Community Centre, 510 Richmond Road",1,0,0,1,0,17,26,0,2,0,17,2,0,66,1
,"Grey Lynn Primary School, 44 Surrey Crescent",0,0,0,0,0,14,14,0,0,0,14,2,0,44,1
,"Richmond Road School, 113 Richmond Road ",0,0,0,0,0,9,8,0,0,0,6,0,0,23,0
,"St Joseph's School Hall, 456 Great North Road",0,0,0,0,0,24,18,0,0,0,15,2,1,60,0
"Kingsland","Congregational Christian Church of Samoa, 50 Bond Street",7,0,1,1,0,102,130,0,4,0,166,8,1,420,2
,"Kowhai Intermediate School, 26 Onslow Road",8,0,3,9,0,265,293,3,12,4,376,41,0,1014,0
"Morningside","Morningside Church of Christ Hall, 42 Leslie Avenue",5,1,4,7,2,130,203,1,6,3,228,21,2,613,1
"Mt Albert","Gladstone Primary School Hall, 8 Seaview Terrace",13,0,4,21,0,176,362,0,5,4,407,26,4,1022,8
,"Marist College, 31 Alberton Avenue",10,0,3,16,0,128,278,3,4,5,417,34,1,899,4
,"Mt Albert Baptist Church, Jubilee Hall, 732 New North Road",4,0,6,22,0,129,254,0,5,5,297,28,5,755,4
,"Mt Albert Kindergarten, 24 Mark Road",6,0,4,13,0,97,142,0,1,2,185,20,4,474,2
,"Mt Albert Methodist Church Hall, corner New North Road & Alexis Avenue",8,1,1,11,0,100,183,0,1,1,267,26,0,599,2
,"Mt Albert Presbyterian Church Hall, 14 Mt Albert Road",13,2,2,18,0,116,256,1,10,4,401,50,2,875,12
