Party and Electorate Candidate Votes Recorded at each polling place
"Nelson 29","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Appleby ","Appleby School, 19 Moutere Highway, RD1",3,0,1,2,0,15,21,0,1,0,72,4,1,120,1
"Atawhai","Clifton Terrace School Hall, 888 Atawhai Drive",7,1,4,31,2,228,299,0,2,6,570,57,8,1215,5
"Brightwater","Brightwater School, 106 Ellis Street",3,0,6,27,1,81,191,3,2,0,519,37,6,876,5
"Hira","Hira School, State Highway 6",5,0,3,8,0,56,74,0,3,4,105,13,0,271,1
"Hope","Hope School, 316 Paton Road",7,0,3,26,1,84,81,0,0,2,368,25,11,608,4
"Nelson","Athletics Nelson Club Rooms, Pioneer Park, Hastings Street",4,1,7,24,0,171,250,1,3,4,293,37,11,806,3
,"Auckland Point School, 111 Haven Road",7,0,8,9,0,226,228,0,2,5,407,65,9,966,5
,"Court House, 200 Bridge Street",9,1,4,41,1,335,373,1,3,10,563,72,10,1423,12
,"Hampden Street School, 250 Hampden Street",9,0,3,27,1,258,254,0,2,7,435,42,5,1043,6
,"Masonic Hall, 109 Nile Street",10,2,7,24,2,420,416,1,3,6,525,66,5,1487,15
,"Nelson Intermediate School, 112 Tipahi Street",5,1,4,20,0,92,251,1,2,4,179,32,3,594,6
,"Salvation Army Hall, 57 Rutherford Street",3,2,3,11,0,137,117,0,1,5,147,18,6,450,2
,"Trafalgar Street Hall, 67 Trafalgar Street",2,0,4,18,4,142,203,2,2,1,295,35,13,721,3
,"Victory School Community Centre, Totara Street",4,1,13,25,1,258,619,1,7,4,326,88,7,1354,14
"Richmond","Garin College, 35 Champion Road",13,0,4,33,0,127,166,0,2,8,737,43,16,1149,4
,"Richmond Athletic Soccer Club Room, Gladstone Road",2,0,1,9,2,40,80,0,0,2,212,35,3,386,3
,"Richmond School Community Hall, 14 Cambridge Street",4,0,3,46,0,134,365,2,0,1,628,80,19,1282,11
,"Tasman District Council Office, 189 Queen Street",18,1,7,68,2,198,442,0,2,2,887,121,20,1768,14
,"Waimea Intermediate School, 48 Salisbury Road",6,1,7,33,1,112,272,0,1,8,534,51,11,1037,4
"Stoke","Birchwood School, 15 Durham Street",5,0,5,27,4,72,198,0,0,1,332,39,11,694,4
,"Broadgreen Intermediate School, 193 Nayland Road",8,1,7,56,2,208,591,1,2,12,917,119,17,1941,10
,"Stoke Memorial Hall, 548 Main Road",8,2,5,57,4,172,513,0,4,3,775,133,17,1693,20
,"Stoke School, 601 Main Road",5,0,10,56,0,134,478,0,1,10,761,104,25,1584,16
"Tahunanui","Church of Christ Hall, 29 Parkers Road",9,0,7,22,0,93,250,0,2,5,239,63,2,692,5
,"Nightingale Library Memorial, 2 Beach Road",1,0,5,6,0,72,82,0,0,2,164,18,5,355,1
,"Tahunanui School, 69 Muritai Street",9,0,3,28,1,212,397,1,2,5,516,68,9,1251,7
"Wakapuaka","Wakapuaka Hall, State Highway 6",2,0,2,6,0,87,60,0,0,1,125,11,5,299,1
"Wakatu","Enner Glynn School, 10 The Ridgeway",10,0,4,24,0,144,256,1,2,3,455,51,10,960,6
"Wakefield","Wakefield School, Edward Street",1,0,0,0,0,11,15,0,0,0,13,1,0,41,1
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Nelson",46,0,11,144,4,642,1331,2,4,18,2722,278,58,5260,49
,"Special Votes BEFORE polling day",7,0,5,13,0,117,127,0,2,3,233,39,7,553,4
,"Special Votes On polling day",13,0,20,26,1,436,505,3,5,14,768,52,12,1855,6
,"Overseas Special Votes including Defence Force",10,0,0,2,3,81,50,0,1,0,106,4,4,261,2
,"Votes Allowed for Party Only",4,0,4,5,0,65,84,0,3,5,88,12,2,272,0
,"Nelson Total",259,14,180,954,37,5660,9639,20,66,161,16016,1913,348,35267,250
,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",35517
"Electorate Party Valid Votes for Nelson",,"National Party - .4541355942"
"ACT New Zealand",259,.007343976
"Alliance",14,.0003969717
"Aotearoa Legalise Cannabis Party",180,.0051039215
"Conservative Party",954,.027050784
"Democrats for Social Credit",37,.0010491394
"Green Party",5660,.1604899765
"Labour Party",9639,.273314997
"Libertarianz",20,.0005671024
"Mana",66,.0018714379
"Māori Party",161,.0045651742
"National Party",16016,.4541355942
"New Zealand First Party",1913,.0542433436
"United Future",348,.0098675816
