Party and Electorate Candidate Votes Recorded at each polling place
"North Shore 32","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Bayswater","Bayswater School, Bayswater Avenue",28,0,6,38,0,223,358,3,1,12,838,109,7,1623,12
"Belmont","Belmont Primary School, 3a Harrison Avenue",9,0,4,26,0,76,140,0,2,5,367,44,5,678,4
"Browns Bay","Browns Bay Red Cross Centre, 5 Glencoe Close",0,0,0,0,0,3,10,0,0,0,26,2,1,42,0
"Campbells Bay","Campbells Bay Methodist Church Hall, 218 Beach Road",22,0,4,19,0,106,103,0,1,4,819,57,5,1140,5
,"Campbells Bay School Hall, 77 Aberdeen Road",18,0,2,16,0,76,112,1,2,2,746,31,3,1009,4
"Castor Bay","Presbyterian Church Hall, corner Seaview Road & Katui Street",49,0,2,25,0,109,116,1,0,12,828,48,9,1199,4
"Devonport","Devonport Community House, 32 Clarence Street",16,0,5,19,0,269,244,2,6,12,621,72,4,1270,6
,"Devonport Holy Trinity Parish Hall, 20 Church Street",13,0,4,28,0,220,176,1,4,13,623,57,4,1143,6
,"Devonport Presbyterian Church Hall, corner Victoria & Albert Streets",17,0,3,21,0,196,188,0,7,8,451,56,4,951,6
"Forrest Hill","Forrest Hill Presbyterian Church Hall, 151 Forrest Hill Road",34,0,4,55,1,126,412,4,1,8,1112,92,12,1861,3
"Glenfield","Glenfield Community Centre, corner Glenfield Road & Bentley Avenue",1,0,0,0,1,5,16,0,0,0,28,3,1,55,0
,"Glenfield Primary School, 101 Chivalry Road",0,0,0,1,0,1,8,1,0,0,10,2,0,23,0
,"Target Road Primary School, 80 Target Road",0,0,1,0,0,6,26,0,1,0,43,4,0,81,0
"Hauraki","Hauraki School, 82 Jutland Road",18,0,2,12,0,82,95,0,0,6,473,19,6,713,1
,"Takapuna Bible Chapel Hall, 13 Jutland Road",29,0,5,30,0,144,212,1,3,4,771,80,13,1292,8
,"Takapuna Grammar School, 210 Lake Road",9,0,4,11,0,74,97,1,1,3,317,19,1,537,1
"Mairangi Bay","Mairangi Bay Presbyterian Church Hall, 11 Hastings Road",26,0,2,41,0,112,140,3,0,5,877,50,5,1261,5
