Party and Electorate Candidate Votes Recorded at each polling place
"Ōhariu 35","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Alicetown","Hutt Central School, 6 Railway Avenue",0,0,0,9,0,15,22,0,0,0,48,6,3,103,1
"Belmont","Belmont Hall, 711 Western Hutt Road",0,0,0,0,0,2,4,0,0,0,20,2,0,28,0
,"Raphael House, 27 Matuhi Street",0,0,1,6,0,58,65,0,0,0,118,11,3,262,0
"Churton Park","Churton Park Little School, 6 Melksham Drive",9,0,0,13,0,38,112,0,0,4,482,22,14,694,0
,"Churton Park School, 90 Churton Drive",19,0,2,43,2,166,369,5,3,6,1112,48,33,1808,6
"Crofton Downs","Crofton Downs Primary School Hall, 1 Chartwell Drive",5,0,2,5,0,92,92,1,2,4,181,16,2,402,1
,"Ngaio Playcentre, 50 Silverstream Road",3,0,2,4,0,71,92,1,2,3,129,11,2,320,2
"Grenada North","Grenada North Club Rooms, Nassau Avenue",0,0,0,4,0,11,57,0,1,1,53,16,3,146,1
"Harbour View","Garage, 36 Viewmont Drive",7,0,1,17,0,46,87,0,0,0,336,13,13,520,1
"Hutt Central","Hutt Hospital, 640 High Street",0,0,0,0,0,3,7,0,0,0,15,1,1,27,0
,"Knox Presbyterian Church Hall, 574 High Street",2,0,0,4,0,2,14,0,0,0,22,6,0,50,0
"Johnsonville","Broderick Road Chapel, 17 Broderick Road",16,2,4,26,0,174,408,2,4,7,549,66,22,1280,8
,"Johnsonville School Hall, 8 Morgan Street",15,0,10,13,0,215,471,4,5,8,669,55,29,1494,3
,"Raroa Intermediate School Hall, 37 Haumia Street",10,1,10,16,0,168,326,1,3,9,574,46,35,1199,0
,"West Park School Hall, Broderick Road",6,0,4,25,1,168,359,2,3,8,617,38,22,1253,9
"Kenepuru","Kenepuru Community Hospital, Hospital Drive (off Raiha Street)",0,0,0,1,0,7,4,0,0,0,13,3,1,29,0
"Khandallah","Cashmere Avenue School, 110 Cashmere Avenue",11,0,4,6,0,195,262,1,3,7,685,34,11,1219,2
,"Onslow Community Church, 4 Ngatoto Street",5,0,2,4,0,99,147,1,0,6,344,23,2,633,2
,"Presbyterian Church Hall, 33 Ganges Road",17,0,1,15,0,263,328,0,4,13,1076,56,22,1795,2
,"St Barnabas Parish Hall, 35 Box Hill",5,0,0,7,0,108,160,1,0,6,410,18,12,727,5
"Korokoro","Korokoro School Hall, 79 Korokoro Road",4,0,3,3,0,119,132,1,0,5,277,21,10,575,2
"Linden","Linden Social Centre, 10 Linden Avenue",0,0,0,6,0,14,30,0,0,0,71,10,1,132,1
"Maungaraki","Garage, 66 Oakleigh Street",0,2,4,3,0,42,69,0,0,1,127,18,4,270,1
,"Maungaraki Community Centre, 135 Dowse Drive",5,1,2,18,1,168,329,0,2,11,786,59,24,1406,4
"Mt Victoria","Clyde Quay School, 27 Elizabeth Street",1,0,0,0,0,6,6,0,0,0,11,2,0,26,0
"Newlands","Bellevue School Hall, 12 Bancroft Terrace",7,1,5,26,0,142,467,4,3,3,503,63,31,1255,12
,"Newlands School Hall, 200 Newlands Road",5,1,9,17,0,131,379,1,1,3,393,59,32,1031,4
,"Newlands-Paparangi Tennis Club, 26 Black Rock Road",5,0,5,15,0,70,149,2,0,2,173,35,10,466,2
,"Rewa Rewa School Hall, 4 Padnell Crescent",5,0,5,14,0,96,305,1,0,2,378,42,15,863,2
"Newtown","Newtown School Hall, corner Riddiford & Mein Streets",0,0,0,0,0,10,13,0,0,0,11,1,0,35,0
,"Wellington Hospital, Te Ao Marama Training Centre, Riddiford Street (main entrance)",0,0,1,1,0,0,3,0,0,0,10,1,2,18,0
"Ngaio","Ngaio Town Hall, 1 Ottawa Road",12,0,10,31,0,528,586,0,3,11,1126,75,22,2404,4
"Normandale","St Aidans-On-The-Hill Church Hall, corner Poto Road & Stratton Street",8,0,6,18,2,136,156,1,0,6,382,37,10,762,3
"Ohariu","Ohariu Hall, 550 Ohariu Valley Road",2,0,1,1,0,23,34,0,0,1,120,6,2,190,1
"Paparangi","Paparangi School Hall, 59 Beazley Avenue",7,0,4,25,0,121,306,1,3,2,452,51,31,1003,4
"Petone","Petone Central School, 16 Britannia Street",0,0,0,3,1,20,31,1,0,0,46,2,0,104,1
,"St Augustines Cub Group Hall, 71 Udy Street",0,0,0,0,0,9,8,0,0,1,12,1,1,32,0
"Porirua","5 Lydney Place South (North City Plaza side entrance)",0,0,0,0,0,3,11,0,1,0,12,4,0,31,0
"Tawa","Garage, 127 Taylor Terrace",1,0,0,14,0,27,63,0,0,1,144,13,10,273,0
,"Garage, 16 St Catherines Terrace",1,0,1,15,0,56,85,0,0,2,250,3,13,426,2
,"Hampton Hill School, Victory Crescent",2,0,5,23,0,67,199,0,1,0,222,17,12,548,1
,"New Life Church Hall, 236 Main Road",3,0,2,24,0,87,209,2,0,5,308,46,10,696,1
,"Redwood School, 69a Redwood Avenue",3,0,2,22,0,87,170,1,0,4,486,44,12,831,2
,"Tawa School, 6 Oxford Street",3,0,4,21,0,136,306,2,3,5,414,43,21,958,6
"Wellington City","Capital E, Civic Square",0,0,0,1,0,22,18,0,0,0,22,2,1,66,0
,"Chaffers Dock Atrium, 18 Herd Street",0,0,0,1,0,7,7,0,1,1,17,0,0,34,0
,"Michael Fowler Centre, Renouf Foyer, Level 1, 111 Wakefield Street",0,0,2,2,0,22,35,0,0,1,48,5,1,116,0
,"Wellington High School, 249 Taranaki Street",0,0,0,0,0,3,9,0,0,0,4,0,0,16,0
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Hutt South",2,0,2,4,0,64,95,0,0,1,177,17,8,370,1
,"Ordinary Votes BEFORE polling day - Taken in Mana",0,0,0,0,0,5,16,0,0,0,22,4,1,48,0
,"Ordinary Votes BEFORE polling day - Taken in Ōhariu",30,2,12,57,1,416,1020,7,5,12,1871,150,85,3668,29
,"Ordinary Votes BEFORE polling day - Taken in Wellington Central",4,0,4,7,0,192,184,1,2,1,453,24,16,888,1
,"Special Votes BEFORE polling day",5,0,1,8,0,124,240,0,8,6,347,37,20,796,0
,"Special Votes On polling day",26,1,19,33,1,402,667,3,6,22,1166,62,26,2434,4
,"Overseas Special Votes including Defence Force",14,1,1,4,0,133,177,0,1,4,334,12,9,690,3
,"Votes Allowed for Party Only",1,0,7,1,1,64,136,0,3,6,136,21,2,378,3
,"Ōhariu Total",286,12,160,636,10,5453,10036,47,73,201,18764,1478,672,37828,137
,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",37965
"Electorate Party Valid Votes for Ōhariu",,"National Party - .4960346833"
"ACT New Zealand",286,.0075605372
"Alliance",12,.0003172253
"Aotearoa Legalise Cannabis Party",160,.0042296711
"Conservative Party",636,.0168129428
"Democrats for Social Credit",10,.0002643544
"Green Party",5453,.1441524796
"Labour Party",10036,.2653061224
"Libertarianz",47,.0012424659
"Mana",73,.0019297875
"Māori Party",201,.0053135244
"National Party",18764,.4960346833
"New Zealand First Party",1478,.0390715872
"United Future",672,.0177646188
