Party and Electorate Candidate Votes Recorded at each polling place
"Ōtaki 36","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Foxton","Coley Street School, Coley Street",3,0,4,15,0,30,190,0,1,1,210,65,3,522,3
,"Foxton Primary School, Park Street",5,0,7,29,2,45,288,1,2,13,296,102,6,796,8
"Foxton Beach","Foxton Beach Primary School, 10 Carthew Terrace",0,0,6,19,1,56,213,0,1,0,258,79,4,637,5
"Ihakara","Ihakara Public Hall, corner Tavistock Road & State Highway 57",4,0,1,18,0,39,74,0,0,5,272,29,2,444,2
"Levin","Fairfield School, 89 MacArthur Street",6,0,1,59,0,88,340,0,1,6,610,97,7,1215,3
,"Horowhenua District Council, 126-148 Oxford Street",7,0,7,40,1,88,346,2,4,7,397,114,4,1017,14
,"Levin Baptist Church, 17-19 Rugby Street",2,0,3,42,0,31,209,0,0,3,213,72,3,578,8
,"Levin City Church Hall, 87-89 Cambridge Street",4,0,1,28,0,29,203,1,2,3,195,71,4,541,8
,"Levin East School, 90 Bartholomew Road",3,1,5,44,0,74,467,0,1,10,411,129,6,1151,13
,"Levin Intermediate School, Collingwood Street",2,1,10,11,1,36,220,0,2,4,195,58,7,547,6
,"Levin North School, 142-150 Weraroa Road",7,0,4,58,2,120,455,4,2,7,622,152,4,1437,12
,"Taitoko School, Kinross Street",2,0,6,7,0,15,189,0,1,0,56,41,0,317,6
"Manakau","Manakau District Association Hall, Mokena Kohere Street",6,0,2,17,0,36,96,0,4,1,246,41,2,451,2
"Newtown","Newtown School Hall, corner Riddiford & Mein Streets",0,0,0,0,0,5,5,0,0,0,2,1,0,13,0
"Ohau","Ohau School, Muhunoa East Road",6,0,2,23,0,69,151,0,1,2,392,44,9,699,4
"Opiki","Opiki Public Hall, 926 Opiki Road (State Highway 56)",4,0,0,10,0,6,16,0,2,3,117,5,3,166,1
"Otaki","Hadfield Hall, 47 Te Rauparaha Street",2,0,1,16,2,70,268,0,5,9,227,88,7,695,9
,"Otaki Presbyterian Church, 249 Mill Road",3,0,2,12,0,78,170,0,3,5,251,50,3,577,5
,"Waitohu School, Te Manuao Road",6,0,2,26,0,96,167,0,1,9,370,55,3,735,7
"Otaki Beach","Otaki Surf Lifesaving Club Hall, Marine Parade",2,0,3,14,0,69,164,0,0,6,146,42,1,447,2
"Paraparaumu","Kapiti Primary School, corner Kapiti & Rimu Roads",15,0,7,20,1,135,375,0,2,9,580,72,13,1229,11
,"Mazengarb Sports Complex, Mazengarb Road",2,0,1,16,0,54,143,0,1,7,406,31,9,670,5
,"Paraparaumu School, Ruapehu Street",0,0,1,5,0,16,49,0,1,1,95,10,1,179,1
,"The Meadows Church, 1 Realm Drive",7,0,1,70,0,114,413,0,1,5,916,118,11,1656,12
"Paraparaumu  Beach","Kapiti Senior Citizens Centre, Ocean Road",11,0,1,35,0,140,396,0,1,6,794,128,14,1526,12
,"Paraparaumu Beach Guide Hall, Te Kupe Road",8,1,2,28,0,121,322,1,3,3,477,69,19,1054,5
,"Paraparaumu Beach School, Gray Avenue",2,0,8,22,1,106,244,1,0,2,525,43,12,966,4
"Porirua","5 Lydney Place South (North City Plaza side entrance)",0,0,0,0,0,1,4,0,0,0,4,0,0,9,0
"Poroutawhao","Poroutawhao Hall, State Highway 1",1,2,1,3,0,7,22,0,0,0,117,17,2,172,0
"Raumati Beach","Raumati Beach School, Raumati Road",0,0,2,2,0,20,30,0,1,1,50,5,2,113,1
"Shannon","Shannon School, Grey Street",2,0,2,23,0,36,239,0,1,3,215,76,7,604,5
"Te Horo","Te Horo Hall, 50 School Road",8,2,5,18,0,139,118,0,2,3,431,38,9,773,3
"Tokomaru","Tokomaru School, Tokomaru Road",6,0,3,9,0,40,90,0,2,5,156,19,1,331,3
"Waikanae","Kapanui School, 23 Rimu Street",10,1,3,32,0,92,211,0,1,3,517,48,9,927,7
,"Presbyterian Church Hall, 43 Ngaio Road",2,0,4,39,0,93,267,1,1,2,640,64,2,1115,9
,"Waikanae Baptist Church, 286 Te Moana Road",4,0,2,33,0,104,228,1,0,3,517,73,8,973,4
,"Waikanae Primary School Hall, Hira Street",10,0,3,40,0,149,260,0,1,4,701,65,6,1239,8
"Waikanae Beach","Waikanae Beach Community Hall, Rauparaha Street",4,0,9,25,0,122,324,3,2,8,503,65,12,1077,12
"Waitarere Beach","St Aidan's Anglican Church, Waitarere Beach Road",4,0,2,14,1,59,79,0,0,1,177,36,3,376,0
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Mana",0,0,0,0,0,0,7,0,0,0,9,0,0,16,0
,"Ordinary Votes BEFORE polling day - Taken in Ōtaki",57,2,15,227,2,615,2154,2,9,35,3134,586,34,6872,54
,"Special Votes BEFORE polling day",7,0,4,15,0,62,205,0,2,3,275,44,4,621,2
,"Special Votes On polling day",17,1,17,37,1,240,581,2,13,6,679,94,8,1696,12
,"Overseas Special Votes including Defence Force",0,0,0,0,0,35,51,0,1,0,145,11,1,244,0
,"Votes Allowed for Party Only",2,0,2,1,0,32,94,0,2,6,60,10,1,210,4
,"Ōtaki Total",253,11,162,1202,15,3612,11137,19,80,210,17609,3057,266,37633,292
,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",37925
"Electorate Party Valid Votes for Ōtaki",,"National Party - .4679137991"
"ACT New Zealand",253,.0067228231
"Alliance",11,.0002922967
"Aotearoa Legalise Cannabis Party",162,.0043047325
"Conservative Party",1202,.0319400526
"Democrats for Social Credit",15,.0003985863
"Green Party",3612,.0959795924
"Labour Party",11137,.2959370765
"Libertarianz",19,.000504876
"Mana",80,.0021257939
"Māori Party",210,.0055802089
"National Party",17609,.4679137991
"New Zealand First Party",3057,.0812318975
"United Future",266,.0070682646
