Party and Electorate Candidate Votes Recorded at each polling place
"Christchurch Central 4","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Akaroa","Akaroa Sports Centre, Rue Jolie",1,0,0,0,0,3,2,0,0,0,16,0,0,22,0
"Avonside/Linwood","Linwood North School, 221 Woodham Road (Rowcliffe Crescent entrance)",4,1,6,10,0,146,337,3,2,3,275,49,5,841,7
"Bishopdale","Bishopdale School Hall, 465 Greers Road",1,0,1,0,0,12,40,0,0,2,75,11,0,142,2
,"St Margaret's Church, The Hub, 94 Farrington Avenue",0,0,1,2,0,6,6,0,0,0,17,2,0,34,1
"Burwood","Burwood School, 255 New Brighton Road",0,0,0,0,0,1,8,0,0,0,16,2,0,27,1
"Christchurch City","ABC Salisbury Street Pre School, 150 Salisbury Street",3,0,5,6,1,85,118,0,1,2,175,16,3,415,5
,"Christchurch East School, 311 Gloucester Street",8,1,5,12,1,202,279,2,4,4,319,37,6,880,5
,"Christchurch Public Hospital, Main Entrance Foyer, 2 Riccarton Avenue",2,0,4,2,0,41,48,0,3,0,79,4,0,183,1
,"First Church of Christ Scientist, 66 Carlton Mill Road",2,0,0,0,0,24,15,0,0,0,53,5,0,99,1
,"HMNZS Pegasus, 419 Montreal Street",3,0,3,5,0,81,84,0,1,1,200,18,0,396,3
,"St Michael and All Angels Church School, 249 Durham Street South",0,0,1,2,0,33,25,0,0,0,81,7,0,149,0
"Dallington","Banks Avenue School, 71 Banks Avenue",0,0,0,1,0,6,26,0,0,1,20,7,1,62,0
"Fendalton","Christchurch Boys' High School, Big Room, Te Kura Street ",0,0,0,2,0,4,3,0,0,0,28,0,0,37,0
"Ilam","Ilam School Hall, 66 Ilam Road",0,0,0,0,0,2,10,0,0,1,13,1,0,27,0
"Linwood","Aspire Canterbury, 314 Worcester Street",3,0,2,8,0,62,126,0,3,3,108,28,1,344,3
,"Linwood Avenue School, 260 Linwood Avenue",1,0,5,9,1,48,175,1,2,3,99,13,1,358,2
,"Linwood College, 85 Aldwins Road",7,0,5,7,0,39,140,0,2,0,83,19,0,302,3
,"Linwood Intermediate School, 7 McLean Street",1,2,4,6,0,49,109,0,1,1,48,14,2,237,3
,"St Chad's Anglican Church Hall, corner Carnarvon Street & Buckleys Road",2,0,5,6,0,22,88,0,0,1,51,13,0,188,2
,"Union Church Hall, 378 Linwood Avenue",0,0,0,2,0,12,35,2,1,0,18,10,0,80,1
"Mairehau","Glenmoor School, 96 Philpotts Road",1,0,3,8,0,35,72,0,2,0,139,9,5,274,3
,"Mairehau High School, 440 Hills Road",7,0,1,5,0,67,121,0,0,2,276,21,2,502,1
