Party and Electorate Candidate Votes Recorded at each polling place
"Rangitata 41","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Alford Forest","Alford Forest Hall, corner Highway 72 and Alford Forest Settlement Road",6,0,0,4,0,24,7,0,0,0,88,1,0,130,1
"Arowhenua","Arowhenua Maori School, 33 Huirapa Street",0,0,1,0,0,3,10,0,0,1,21,3,0,39,1
"Ashburton","Allenton School Hall, 110 Harrison Street",18,3,4,42,1,96,358,0,1,6,1130,98,25,1782,16
,"Ashburton Intermediate School, 144 Cass Street",18,2,5,33,2,84,368,0,0,2,693,100,15,1322,17
,"Hampstead School, 55 Wellington Street",4,2,10,31,2,56,281,0,0,4,425,74,7,896,13
,"Sinclair Community Centre, 74 Park Street",6,0,4,23,0,69,220,0,1,2,593,58,9,985,9
,"St John Rooms,  241 Tancred Street",3,0,4,14,0,31,135,0,2,1,255,44,5,494,8
,"Tinwald War Memorial Hall, corner Graham and McMurdo Streets",13,1,5,49,0,89,371,1,1,4,1102,122,14,1772,14
,"Walnut Ave Pavillion, 66 Walnut Avenue",7,0,3,34,0,61,165,0,0,2,525,38,7,842,11
"Carew","Carew Peel Forest School, 1051 Ealing-Montalto Road",10,0,0,3,0,4,6,1,0,0,108,3,0,135,0
"Chertsey","Chertsey Primary School Library, 83 High Street",4,0,2,9,0,6,32,0,0,0,92,14,2,161,0
"Clandeboye","Clandeboye Old School, 1 Kotuku Place",1,0,1,0,0,11,50,0,0,1,105,3,1,173,0
"Dorie","Dorie School, 103 Dorie School Road",0,0,0,1,0,6,6,0,0,0,71,3,0,87,0
"Fairton","Fairton School, 14 Fairfield Road",2,0,0,2,0,12,34,1,0,1,113,12,1,178,1
"Geraldine","Geraldine Primary School, 73 Wilson Street",0,0,1,0,0,0,13,0,0,0,23,1,0,38,1
"Greenstreet","Greenstreet-Ashburton Forks Hall, Corner Ashburton-Staveley Road and Driscolls Road",0,0,0,4,0,2,13,0,0,0,81,2,2,104,3
"Hinds","Hinds School, 54 Reed Street",5,0,6,2,0,11,32,0,1,0,229,24,7,317,3
"Lagmhor","Lagmhor Site, Ashburton Borough School, Tinwald-Westerfield-Mayfield Road",5,0,2,4,0,4,7,0,0,1,94,3,2,122,1
"Lauriston","Lauriston School, corner Church and Coleridge Streets",6,0,1,4,0,6,11,0,0,1,123,5,2,159,2
"Lowcliffe","Lowcliffe/Coldstream Hall, 9 Trig Pole Road",4,0,0,0,0,2,12,0,0,1,78,3,0,100,0
"Mayfield","Mayfield School, 14 Lismore-Mayfield Road",5,0,2,7,0,19,21,0,1,1,249,10,4,319,1
"Methven","Mt Hutt College Hall, corner Main and McDonald Streets",21,1,6,19,0,103,93,1,0,7,660,34,10,955,11
"Mt Somers","Mt Somers Springburn School, Ashburton Gorge Road",7,0,0,6,0,8,22,0,0,3,185,5,3,239,2
"Orari","Orari Coronation Hall, 8 McDonald Street",1,0,2,5,0,17,40,2,0,0,115,14,2,198,1
"Pendarves","Pendarves Hall, corner Christy's and Pendarves Rakaia Roads",0,0,1,4,0,3,13,0,0,0,92,3,1,117,0
"Pleasant Point","Pleasant Point Primary School, Victor Wilson Hall, 33 Halstead Road",19,0,6,31,0,97,151,0,2,8,481,41,15,851,8
"Rakaia","Rakaia Community Centre, corner Elizabeth Avenue and Mackie Street",4,0,6,13,0,64,151,0,1,1,402,64,2,708,8
"Rangitata","Rangitata Soldiers Memorial Hall, State Highway 1",0,0,0,3,0,4,9,0,1,0,71,4,5,97,1
"Seadown","Seadown Hall, 729 Seadown Road",2,0,1,6,0,19,70,0,0,0,153,15,2,268,2
"Temuka","Opihi College, 83 Richard Pearse Drive",7,0,3,18,0,48,221,3,0,4,299,45,6,654,6
,"Presbyterian Church Complex, corner Hally Terrace and Wilmshurst Road",4,2,3,17,1,66,221,1,0,3,314,67,5,704,10
,"St John Ambulance Hall, 47 King Street",3,1,4,11,0,46,127,0,0,2,153,39,3,389,5
,"Temuka Primary School, 9 Hayhurst Street",7,0,5,12,0,41,193,0,0,2,246,34,8,548,7
"Timaru","Bluestone School, 46 Raymond Street",5,0,7,19,0,68,264,0,0,1,238,29,3,634,5
,"Caroline Bay Association Room, 1 Virtue Avenue",2,0,4,4,0,22,105,0,1,2,126,20,5,291,4
,"Courthouse, 12 North Street",1,0,0,18,0,30,103,0,0,0,102,19,4,277,2
,"Gleniti School, 22 Heath Street",2,1,0,14,1,47,117,0,0,1,397,34,5,619,2
,"Grantlea Downs School, 65 Grants Road",1,0,6,18,0,42,238,0,0,5,221,49,1,581,6
,"Highfield School, 26 Rimu Street",4,0,2,18,0,56,189,0,0,2,249,28,5,553,4
,"Life Church, 134 Morgans Road",5,0,1,26,2,38,121,0,1,2,292,24,3,515,2
,"Methodist Church Hall, corner North Street and Woodlands Road",5,1,10,20,0,73,386,0,2,3,262,48,9,819,10
,"Oceanview Heights School, 241 Selwyn Street",6,0,6,21,1,83,453,0,0,1,397,92,10,1070,14
