Party and Electorate Candidate Votes Recorded at each polling place
"Rodney 44","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Albany","Albany Community Hall, 3/21 Library Lane",18,0,2,24,0,24,33,2,0,0,304,17,1,425,0
,"Massey University, Gate 4, 82 Turtea Drive",2,0,0,4,0,8,4,0,0,0,32,1,0,51,0
"Dairy Flat","Dairy Flat School, 1220 State Highway 17, RD4",18,1,7,65,0,116,129,2,0,7,1074,61,6,1486,7
"Gulf Harbour","Gulf Harbour School, 65 Alec Craig Way",6,0,3,64,0,54,102,0,1,1,578,46,5,860,5
,"Wentworth College, 65 Gulf Harbour Drive",11,1,0,50,1,56,141,1,0,2,800,54,3,1120,10
"Kaukapakapa","Kaukapakapa Village Hall, 977 Kaipara Coast Highway",4,0,2,15,0,22,31,0,2,1,134,18,5,234,3
"Leigh","Leigh School, House of Learning, 26 Hauraki Road",1,0,3,19,1,83,83,0,1,3,171,34,1,400,1
"Mangawhai Heads","Mangawhai Community Centre, Fagan Place",1,0,0,0,0,2,1,0,0,0,14,0,0,18,0
"Manly","Manly Methodist Church, 945 Whangaparaoa Road",12,0,7,89,0,77,160,0,2,5,809,106,8,1275,13
,"Whangaparaoa Primary School, 39 Ladies Mile",2,0,13,70,0,78,145,0,0,6,693,65,3,1075,2
"Matakana","Matakana School, 952 Matakana Road",13,0,3,48,0,149,102,0,1,4,623,43,7,993,3
"Orewa","Orewa College, 76 Riverside Road",10,0,1,76,0,60,153,0,3,6,701,87,2,1099,16
,"Orewa Community Centre, Main Hall, Orewa Square",30,1,3,156,1,192,373,1,4,9,1190,202,7,2169,7
,"Orewa North School, 280 Centreway Road",13,0,2,67,0,98,154,0,2,3,799,98,4,1240,13
,"Orewa Primary School, 86 Maire Road",4,0,0,23,0,23,53,0,1,1,325,30,2,462,3
"Point Wells","Point Wells Community Hall, 5 Point Wells Road",5,0,0,31,1,48,36,0,3,3,390,33,2,552,4
"Puhoi","Puhoi Centennial Hall, 86 Puhoi Road",4,0,9,31,0,108,77,0,2,1,299,48,5,584,1
"Red Beach","Red Beach Methodist Church, 76 Red Beach Road",13,1,7,145,0,90,204,1,1,2,1057,135,4,1660,18
,"Red Beach School, 20 Albert Hall Drive",8,1,1,72,0,96,140,0,0,6,845,74,7,1250,10
"Redvale","East Coast Bays Bible Baptist Church, 1092 East Coast Road",3,0,1,24,0,20,22,0,0,1,294,9,0,374,4
"Silverdale","Stella Maris School, 50 Silverdale Street",20,1,3,89,1,130,141,0,1,5,1047,68,7,1513,7
"Snells Beach","Mahurangi East Community Centre, 21 Hamatana Road",16,0,1,128,4,92,216,0,1,2,726,130,2,1318,14
,"Snells Beach Primary School, 62 Dawson Road",5,0,6,65,1,63,90,0,0,6,362,49,3,650,8
"Stanmore Bay","Hibiscus Coast Leisure Centre, 159 Brightside Road",16,1,9,128,0,174,285,0,2,8,1162,117,11,1913,13
,"Stanmore Bay School, 30 Waiora Road",6,0,6,53,0,60,126,0,0,4,507,43,5,810,2
"Wainui","Wainui School, 492 Waitoki Road",11,0,1,29,0,32,35,1,1,1,276,19,0,406,1
"Waitoki","Waitoki School Hall, 1119 Kahikatea Flat Road",3,0,0,13,0,33,21,0,0,1,198,8,1,278,2
"Warkworth","Masonic Lodge, Upstairs, 12 Baxter Street",25,0,7,75,2,137,153,0,3,4,723,87,0,1216,6
,"Warkworth Methodist Church Hall, 1 Hexham Street",4,0,5,78,0,74,105,2,3,2,373,53,4,703,3
,"Warkworth Primary School, 35 Hill Street",6,0,2,57,0,71,96,0,0,3,391,66,3,695,4
"Whangaparaoa","Whangaparaoa Ratepayers Association Hall, 717 Whangaparaoa Road",18,0,8,116,0,134,251,2,2,2,1050,127,7,1717,9
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Helensville",6,0,2,25,0,27,21,0,0,2,277,9,3,372,2
,"Ordinary Votes BEFORE polling day - Taken in North Shore",0,0,0,4,0,2,11,0,0,0,16,6,0,39,3
,"Ordinary Votes BEFORE polling day - Taken in Northland",1,0,0,0,0,2,11,0,0,3,18,10,0,45,0
,"Ordinary Votes BEFORE polling day - Taken in Rodney",101,3,16,375,0,422,940,2,6,14,3643,545,18,6085,47
,"Special Votes BEFORE polling day",7,1,0,19,0,52,115,0,0,0,317,52,3,566,2
,"Special Votes On polling day",26,1,16,111,0,263,314,3,6,10,1393,109,10,2262,10
,"Overseas Special Votes including Defence Force",9,0,0,6,1,35,25,1,1,2,185,7,3,275,0
,"Votes Allowed for Party Only",2,0,5,15,0,58,79,0,9,10,171,22,2,373,4
,"Rodney Total",460,12,151,2459,13,3265,5178,18,58,140,23967,2688,154,38563,257
,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",38820
"Electorate Party Valid Votes for Rodney",,"National Party - .6215024765"
"ACT New Zealand",460,.0119285325
"Alliance",12,.0003111791
"Aotearoa Legalise Cannabis Party",151,.0039156705
"Conservative Party",2459,.0637657859
"Democrats for Social Credit",13,.0003371107
"Green Party",3265,.0846666494
"Labour Party",5178,.1342737858
"Libertarianz",18,.0004667687
"Mana",58,.0015040324
"Māori Party",140,.0036304229
"National Party",23967,.6215024765
"New Zealand First Party",2688,.0697041205
"United Future",154,.0039934652
