Party and Electorate Candidate Votes Recorded at each polling place
"Rongotai 45","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Berhampore","Berhampore School Hall, 105 Britomart Street (Stanley Street entrance)",4,1,1,9,1,278,337,1,8,4,160,32,5,841,8
,"South Wellington Intermediate School Library, 165 Rintoul Street",8,0,2,3,0,79,201,3,3,5,98,22,1,425,4
,"St Cuthbert's Church Hall, 23 Luxford Street",2,0,1,3,0,96,133,0,3,2,53,18,0,311,3
"Breaker Bay","Breaker Bay Hall, 150 Breaker Bay Road",1,0,0,3,0,45,51,0,0,0,54,7,0,161,0
"Brooklyn","Brooklyn Community Centre, 18 Harrison Street",2,0,0,0,0,45,34,0,0,2,26,2,0,111,1
,"Brooklyn School, 58 Washington Avenue",1,1,0,0,0,67,82,1,0,0,78,5,0,235,0
,"St Bernard's School, 40 Taft Street",0,0,0,4,0,36,31,0,3,1,47,2,0,124,0
"Chatham Islands","Chatham Islands Council Building, 9 Tuku Road, Waitangi",0,0,1,0,0,8,18,0,0,1,40,4,0,72,1
"Hataitai","Garage, 38 Upoko Road",1,0,0,6,1,63,73,0,1,4,76,7,2,234,1
,"Hataitai School Hall, corner Arawa, Hataitai & Hohiria Roads",10,2,4,12,0,413,347,2,7,11,603,37,11,1459,2
,"Kilbirnie School Hall, 72 Hamilton Road",4,0,4,16,0,267,271,1,2,11,353,51,8,988,5
"Houghton Bay","Houghton Valley School Hall, 110 Houghton Bay Road",7,1,1,6,0,142,163,1,2,3,118,18,4,466,3
"Island Bay","Island Bay Presbyterian Church Lounges, 88 The Parade",13,1,6,13,0,263,356,0,4,9,348,51,4,1068,12
,"Island Bay School Hall, 6 Thames Street",2,0,2,7,1,169,210,1,2,8,228,18,7,655,8
,"St Hilda's Church Parish Centre, 311 The Parade",8,0,2,21,1,287,422,0,10,9,464,60,11,1295,9
,"Wellington South Baptist Church, 284 The Parade",0,0,1,11,0,90,115,0,1,1,127,26,5,377,4
"Johnsonville","Broderick Road Chapel, 17 Broderick Road",0,0,0,0,0,5,3,0,0,0,3,0,0,11,0
"Kilbirnie","Evans Bay Intermediate School, 14 Kemp Street",2,1,3,8,0,93,210,2,2,2,149,31,3,506,5
,"St Patrick's College, Staffroom, corner Evans Bay Parade & Cobham Drive",2,0,5,7,0,128,148,0,5,4,190,38,6,533,1
"Kingston","Capital Montessori School, Rata Classroom, 14 Camrose Grove",2,1,0,5,0,68,121,0,0,0,90,26,8,321,2
"Lyall Bay","Lyall Bay School Hall, 40-46 Freyberg Street",14,2,1,17,0,226,453,1,7,3,365,69,11,1169,9
,"Lyall Bay Surf Club, Lyall Bay Parade (opposite 88 Lyall Bay Parade)",1,1,5,11,0,221,205,0,5,4,169,35,2,659,1
"Maupuia","Garage, 15 Kaikoura Street",2,0,2,8,0,52,139,0,2,1,186,17,4,413,3
"Miramar","Holy Cross School Hall, 117 Miramar Avenue",4,0,0,11,1,127,359,0,0,4,482,49,7,1044,7
,"Miramar Baptist Church, 33 Park Road",4,0,7,18,0,125,298,0,1,3,309,54,7,826,10
,"Miramar Central School Hall, 38 Park Road",5,1,4,15,0,142,373,2,1,3,392,68,7,1013,9
,"Miramar Christian School, Kowhai Class, 41 Camperdown Road",3,0,5,11,0,140,238,0,2,8,257,26,7,697,7
,"Miramar South School Hall, 7 Kauri Street",4,0,5,9,0,65,284,1,2,3,264,59,5,701,13
"Mornington","Ridgway School Hall, 120 Mornington Road",5,0,2,4,0,146,209,0,3,1,146,30,1,547,2
"Mt Cook","St Paul's Lutheran Church, 12 King Street",1,0,0,3,0,14,23,0,0,1,28,4,0,74,0
"Mt Victoria","Clyde Quay School, 27 Elizabeth Street",3,0,0,0,0,20,29,0,0,1,17,3,1,74,0
,"St Joseph's Church, Bill Pearce Room, 150 Brougham Street",0,0,0,0,0,13,10,0,0,0,4,1,1,29,0
"Newtown","Newtown Park Stadium, Function Room, Daniell Street or Mansfield Street entrances",5,0,0,2,0,93,123,0,3,1,70,15,3,315,8
,"Newtown School Hall, corner Riddiford & Mein Streets",3,2,9,11,0,449,529,1,11,14,254,44,7,1334,15
,"Salvation Army Hall, 16-22 Constable Street",0,0,1,6,1,231,301,0,10,5,158,24,2,739,3
,"St James' Presbyterian Church Lounge, 235 Adelaide Road",1,0,1,2,0,77,52,0,2,1,50,7,0,193,1
,"Te Whaea New Zealand School of Dance, 11 Hutchison Road",0,0,2,3,0,39,56,0,1,0,37,4,2,144,1
,"Wellington Chinese Baptist Church Hall, 24 Donald McLean Street",4,0,4,1,0,100,226,1,3,1,87,31,1,459,7
,"Wellington Hospital, Te Ao Marama Training Centre, Riddiford Street (main entrance)",1,1,1,3,0,24,27,0,1,1,29,4,0,92,2
,"Wellington Pipe Band Hall, corner Stoke & Hanson Streets",0,0,1,2,0,63,86,0,2,2,59,15,2,232,2
"Oriental Bay","Band Rotunda, 245B Oriental Parade",0,0,0,0,0,24,24,0,1,0,32,3,1,85,0
"Owhiro Bay","Owhiro Bay School Hall, 96 Happy Valley Road",4,0,3,5,0,198,212,1,4,7,186,28,2,650,4
"Rongotai","Rongotai College, Renner Hall, 170 Coutts Street",9,0,4,19,2,151,532,0,4,5,387,51,10,1174,18
"Roseneath","Roseneath School Hall, 13 Maida Vale Road",9,0,2,5,0,129,111,2,2,2,280,18,0,560,0
"Seatoun","Seatoun School Hall, 59 Burnham Street",7,0,0,6,0,79,72,0,0,3,266,19,2,454,5
,"St Christopher's Church Hall, 26a Ventnor Street",6,0,0,4,0,127,153,0,0,4,455,38,6,793,7
"Strathmore Park","Strathmore Community School Hall, 108 Strathmore Avenue",3,0,4,7,0,184,415,1,3,12,330,52,4,1015,11
"Wellington City","Aro Valley Community Centre, 48 Aro Street",0,0,0,0,0,24,9,0,0,1,7,1,0,42,0
,"Capital E, Civic Square",1,0,1,0,0,47,41,0,0,0,36,2,0,128,1
,"Chaffers Dock Atrium, 18 Herd Street",0,0,1,0,0,18,16,0,0,0,35,0,1,71,0
,"Davidic Centre, 28-30 Hopper Street",0,0,0,0,0,11,13,0,0,0,3,0,1,28,0
,"Michael Fowler Centre, Renouf Foyer, Level 1, 111 Wakefield Street",2,0,0,3,0,58,62,0,2,3,51,9,3,193,1
,"Mount Cook Primary School, 160 Tory Street",1,0,0,0,0,22,26,0,0,0,12,4,0,65,0
,"St John's Church Conference Centre, corner Dixon & Willis Streets",0,0,1,0,0,14,14,0,1,0,16,0,0,46,0
,"Wellington High School, 249 Taranaki Street",0,0,0,1,0,13,9,0,1,0,13,0,0,37,0
"Worser Bay","Worser Bay School, Middle Area, 168 Seatoun Heights Road",1,0,0,6,0,103,83,0,1,3,153,15,2,367,0
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Rongotai",20,2,22,34,0,732,1452,2,16,29,1334,221,11,3875,54
,"Ordinary Votes BEFORE polling day - Taken in Wellington Central",12,3,4,6,0,377,273,0,3,4,408,14,11,1115,1
,"Special Votes BEFORE polling day",2,0,5,6,1,190,272,0,4,5,206,26,2,719,8
,"Special Votes On polling day",25,0,27,30,0,942,988,4,27,27,880,95,9,3054,18
,"Overseas Special Votes including Defence Force",5,2,2,2,1,319,252,0,11,3,272,11,6,886,0
,"Votes Allowed for Party Only",2,1,8,4,1,149,231,3,9,9,138,19,1,575,5
,"Rongotai Total",238,23,167,409,11,8920,12606,31,198,251,12168,1640,217,36879,302
,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",37181
"Electorate Party Valid Votes for Rongotai",,"Labour Party - .3418205483"
"ACT New Zealand",238,.0064535372
"Alliance",23,.0006236612
"Aotearoa Legalise Cannabis Party",167,.0045283224
"Conservative Party",409,.0110903224
"Democrats for Social Credit",11,.0002982727
"Green Party",8920,.2418720681
"Labour Party",12606,.3418205483
"Libertarianz",31,.0008405868
"Mana",198,.0053689091
"Māori Party",251,.0068060414
"National Party",12168,.3299438705
"New Zealand First Party",1640,.0444697524
"United Future",217,.0058841075
