Party and Electorate Candidate Votes Recorded at each polling place
"Rotorua 46","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Broadlands","Broadlands School, 2986 Broadlands Road",4,0,0,1,0,4,12,0,0,0,95,9,0,125,0
"Galatea","Galatea School, Mangamate Road",6,0,0,8,0,8,12,1,0,0,160,8,3,206,0
"Hamurana","Country Life, 659 Hamurana Road",5,0,0,20,0,45,61,0,0,1,241,31,4,408,2
"Horohoro","Horohoro School, 69 Apirana Road",3,0,2,7,0,3,19,0,0,0,58,7,0,99,2
"Kaharoa","Kaharoa School, 296 Kaharoa Road",4,0,0,13,0,21,19,0,0,3,143,13,1,217,0
"Kaingaroa Forest","Administration Building, Dunn Road",0,0,1,0,0,2,9,0,3,1,5,6,1,28,0
"Kawerau","District Council, Town Hall, Ranfurly Court",3,1,4,38,0,52,361,0,20,7,264,197,8,955,22
,"Putauaki School Hall, Fenton Mill Road",2,0,3,14,0,24,148,0,6,3,122,93,2,417,1
"Lake Okareka","Lake Okareka Community Hall, 75 Loop Road",2,0,0,3,0,49,14,0,2,0,155,14,2,241,2
"Lake Rerewhakaaitu","Lake Rerewhakaaitu School, 9 Ash Pit Road",1,0,0,5,0,9,13,0,0,2,118,14,2,164,3
"Lake Rotoma","Rotoma and Rotoehu Community Hall, 167 State Highway 30",2,0,0,3,0,16,36,0,0,3,45,19,1,125,1
"Lake Tarawera","Lake Tarawera Playcentre, 10 Alexander Road",5,0,0,3,0,20,18,4,0,0,66,5,1,122,0
"Lynmore","Lynmore School Hall, Iles Road",7,0,4,39,0,146,209,1,4,13,898,103,11,1435,6
,"Lynmore Scout Hall, Lewis Road",5,0,1,20,0,64,86,1,4,2,422,44,7,656,1
"Maketu","Maketu School, School Road",3,0,2,4,0,21,51,0,4,4,110,45,2,246,3
"Mamaku","Mamaku School, 54 Tarena Street",1,0,3,5,0,25,68,1,0,5,139,40,1,288,2
"Mihi","Mihi School, 76 Springs Road",2,0,0,3,0,9,17,0,1,0,83,10,0,125,1
"Minginui","Minginui Kokiri Centre, 66 Rimu Street",0,0,0,2,0,3,2,0,2,1,3,1,1,15,0
"Murupara","Murupara Municipal Hall, Pine Drive",0,0,0,1,0,8,59,0,12,3,39,13,0,135,2
"Ngakuru","Ngakuru School, 913 Whirinaki Valley Road",4,0,0,13,0,14,24,0,0,0,162,16,1,234,1
"Ngapuna","Hurunga Marae, 15 Hurunga Street",0,0,1,1,0,6,19,0,4,6,8,11,0,56,2
"Ngongotaha","Ngongotaha Community Hall, 5 School Road",6,1,5,59,2,152,346,1,12,29,905,211,19,1748,17
"Okere Falls","Whangamarino School, 637 State Highway 33",2,0,1,9,0,32,29,0,3,5,108,17,3,209,2
"Otamarakau","Otamarakau School, Room 2, 2216 Old Coach Road, RD6",3,0,0,3,0,5,4,0,0,0,71,4,0,90,0
"Owhata","Owhata School Hall, Brent Road",3,1,5,15,1,41,132,0,2,16,250,70,4,540,5
