Party and Electorate Candidate Votes Recorded at each polling place
"Selwyn 47","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Aidanfield","Aidanfield Christian School Library, 2 Nash Road",1,0,1,16,0,37,87,0,0,1,384,25,2,554,2
"Akaroa","Akaroa Sports Centre, Rue Jolie",3,1,3,4,0,100,84,0,0,1,333,17,5,551,6
"Arthurs Pass","Arthurs Pass Visitors Centre, Main Highway",0,0,0,1,0,19,4,0,0,1,8,2,0,35,0
"Broadfield","Broadfield School, corner Shands & Robinsons Roads, RD6",6,0,0,10,0,28,29,0,1,3,267,18,1,363,0
"Brookside","Brookside St Luke's Sunday School Hall, Brookside-Burnham Road",0,0,0,6,0,13,18,0,0,0,76,11,1,125,1
"Burnham","Burnham School, Whare, corner Chaytor Avenue & Godley Road",1,0,2,7,0,31,57,0,0,5,198,31,2,334,0
"Cashmere","Princess Margaret Hospital, 97 Cashmere Road (Entrance 4)",1,0,0,0,0,10,22,0,0,0,64,4,0,101,0
"Christchurch City","ABC Salisbury Street Pre School, 150 Salisbury Street",0,0,0,0,0,2,1,0,0,0,3,0,0,6,0
,"Christchurch Public Hospital, Main Entrance Foyer, 2 Riccarton Avenue",0,0,0,1,0,11,9,0,0,0,31,1,1,54,0
,"First Church of Christ Scientist, 66 Carlton Mill Road",0,0,0,0,0,4,0,0,0,0,2,0,0,6,0
,"HMNZS Pegasus, 419 Montreal Street",0,0,0,0,0,3,0,0,0,0,8,0,0,11,0
,"St Michael and All Angels Church School, 249 Durham Street South",0,0,0,1,0,3,5,0,0,0,8,2,0,19,0
"Darfield","Darfield High School, McLaughlins Road",8,0,2,21,0,66,120,1,0,1,446,43,6,714,5
,"Darfield Service Centre, 1 South Terrace",10,0,5,17,0,53,136,0,0,2,457,54,3,737,7
"Diamond Harbour","Diamond Harbour Community Centre, Waipapa Avenue",0,0,0,4,0,100,66,0,0,3,124,23,2,322,1
,"Diamond Harbour School Hall, Marine Drive",0,0,1,3,0,103,91,0,0,2,186,12,3,401,3
"Dunsandel","Dunsandel Sports Centre, Tramway Road (off Main Road)",9,0,1,20,0,41,64,0,1,2,377,17,2,534,1
"Duvauchelles","Duvauchelles Hall, Main Road",0,0,1,5,0,22,38,0,0,1,122,9,0,198,2
"Glentunnel","Glentunnel School, Homebush Road",6,0,2,13,0,45,74,0,1,0,179,25,1,346,6
"Governors Bay","Governors Bay School Library, 1 Jetty Road",1,0,0,2,0,115,83,0,1,2,192,8,2,406,2
"Greendale","Greendale School, corner Greendale & Bridge Roads",4,0,0,4,0,25,12,0,1,1,104,5,1,157,0
"Greenpark","Greenpark School Library, 155 Greenpark Road, RD4 ",0,1,1,7,0,26,21,0,0,1,152,13,4,226,2
"Halswell","Halswell School, corner Kennedys Bush & School Roads",7,1,4,26,0,128,192,0,1,5,612,41,9,1026,7
,"St Mary's Anglican Church Hall, 329 Halswell Road",15,0,5,56,0,164,360,0,6,5,1156,80,8,1855,9
,"Sts Peter & Paul Catholic Church Hall, 56 Nicholls Road",6,5,3,28,0,107,257,1,0,3,761,56,12,1239,5
"Harewood","Harewood Playcentre, 719 Harewood Road",9,0,3,7,0,25,29,0,0,0,172,18,1,264,3
"Hei Hei","Gilberthorpe School, 163 Gilberthorpes Road",2,0,0,2,0,14,24,0,0,1,95,12,0,150,0
"Hoon Hay","Hoon Hay School, 91 Sparks Road",0,1,0,0,0,13,25,0,0,0,65,4,0,108,3
,"Rowley Avenue School, 48 Rowley Avenue",0,0,0,2,0,2,14,0,0,1,11,1,1,32,1
"Hornby","Hornby Community Care Centre, 8 Goulding Avenue",0,1,2,3,0,7,21,0,0,0,27,3,1,65,0
,"Sockburn School, 34 Springs Road",0,0,0,2,0,0,2,0,0,0,20,0,0,24,0
,"South Hornby School, 52 Shands Road",1,0,0,2,0,3,12,0,0,0,43,1,0,62,0
,"St Columba's Church Hall, 452 Main South Road",0,0,0,1,0,2,13,0,0,0,23,2,0,41,0
"Hororata","Hororata Primary School Library, 2548 Bealey Road",2,0,1,16,1,33,46,0,1,3,227,12,5,347,2
"Irwell","Irwell Hall, corner Leeston & Selwyn Lake Roads",3,0,1,12,0,21,26,0,0,3,174,15,5,260,0
"Killinchy","Killinchy Community Centre, Leeston-Dunsandel Road",2,0,0,4,0,14,15,0,0,3,107,5,2,152,2
"Kirwee","Kirwee Model School, School Lane",8,0,1,15,0,58,55,0,1,1,390,22,3,554,2
"Ladbrooks","Ladbrooks School, 9 Barnes Road, RD4",4,0,0,1,0,37,39,0,0,1,242,8,2,334,4
"Lakeside","Lakeside Domain Aquatic Club, Timberyard Road",1,0,2,0,0,8,7,0,0,0,75,4,3,100,0
"Le Bons Bay","Le Bons Bay School, Le Bons Bay Road",0,0,1,0,0,23,8,0,0,0,21,2,0,55,0
"Leeston","Leeston Consolidated School, 3 Selwyn Street",8,1,6,45,0,85,199,0,2,3,548,57,7,961,8
"Lincoln","Lincoln High School, 134 North Belt",8,0,4,47,2,173,179,0,3,8,807,59,7,1297,15
,"Lincoln University, George Forbes Building, corner Springs & Ellesmere Junction Road",1,0,1,8,0,59,58,0,0,0,162,15,0,304,2
"Little Akaloa","Little Akaloa Community Hall, Main Road",0,0,2,0,0,2,4,0,0,0,29,5,0,42,0
"Little River","Community Centre, Main Road Akaroa Highway",1,0,2,1,0,132,91,0,2,2,157,18,1,407,1
"Motukarara","Motukarara Community Hall, Park Road",5,0,0,7,1,40,21,1,1,0,113,19,0,208,2
"Oaklands","Oaklands School, Cunningham Place",4,0,1,15,0,73,129,0,0,1,278,24,9,534,1
"Okains Bay","Okains Bay School, Okains Bay Road",1,0,0,2,0,10,3,0,0,0,32,3,2,53,0
"Pigeon Bay","Pigeon Bay Hall, Wharf Road",1,0,0,0,0,11,3,0,0,0,31,1,0,47,0
"Port Levy","Old Port Levy School, Western Valley Road",0,0,1,0,0,6,2,1,0,0,33,0,0,43,0
"Prebbleton","Prebbleton School, Blakes Road",13,1,4,26,0,131,201,2,0,9,1037,67,9,1500,0
"Rakaia","Rakaia Community Centre, corner Elizabeth Avenue and Mackie Street",0,0,0,0,0,8,8,0,0,1,55,3,0,75,0
"Riccarton","Riccarton Mall, Riccarton Road (in aisle opposite K Mart)",1,1,0,2,0,9,14,0,0,0,69,2,0,98,1
,"Wharenui School, 32 Matipo Street",0,0,1,2,0,6,9,0,0,0,24,1,2,45,0
"Rolleston","Rolleston Community Centre, 94 Rolleston Drive",24,3,6,92,0,289,539,0,2,8,2227,150,24,3364,11
"Russley","St Stephen's Methodist Church, 376 Yaldhurst Road",1,0,1,0,0,5,9,0,0,0,27,1,0,44,1
"Sheffield","Sheffield School Library, Wrights Road",11,0,1,2,0,42,26,1,1,1,167,10,1,263,1
"Southbridge","Southbridge School, 25 Hastings Street",4,2,0,19,0,77,72,1,1,2,366,36,8,588,8
"Springfield","Tawera Memorial Hall, Main West Coast Road",3,0,0,3,0,30,37,0,1,1,97,15,2,189,3
"Springston","Springston Primary School Library, 16-20 Leeston Road",8,0,1,12,0,65,71,0,1,1,312,18,6,495,1
"Springston South","Springston South Soldiers' Memorial Hall, Days Road",1,0,1,2,0,16,19,0,0,1,108,11,1,160,0
"Tai Tapu","Tai Tapu School, Main Akaroa Highway",6,0,4,15,0,86,77,1,1,0,379,25,5,599,1
"Templeton","Templeton Primary School, 40 Kirk Road",3,0,4,18,0,78,215,0,2,5,647,75,8,1055,6
"Wainui","Wainui Community Centre, Wainui Main Road",1,0,0,2,0,9,8,0,1,0,38,2,0,61,0
"Weedons","Weedons School, Weedons-Ross Road, RD5 ",4,0,1,11,0,54,54,0,0,1,357,21,1,504,4
"West Melton","West Melton School, corner Weedons-Ross Road & Westview Crescent",16,0,3,39,1,124,132,0,0,4,852,55,8,1234,4
"Westmorland","Garage, 4 Brookford Place",3,0,0,6,0,30,55,0,1,2,210,14,2,323,3
,"Garage, 68 Penruddock Rise",4,0,0,7,0,47,57,0,0,3,312,15,1,446,1
"Windwhistle","Windwhistle School, corner Highway 72 & Rakaia Gorge Road",4,0,0,10,0,10,3,0,0,1,80,2,0,110,1
"Yaldhurst","Yaldhurst Model School, 48 School Road",6,0,1,12,0,25,47,0,1,2,283,24,3,404,1
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Christchurch Central",1,0,0,3,1,30,29,0,0,0,92,8,0,164,0
,"Ordinary Votes BEFORE polling day - Taken in Ilam",2,0,1,0,0,13,16,1,0,1,95,8,0,137,0
,"Ordinary Votes BEFORE polling day - Taken in Port Hills",1,0,0,2,0,13,15,0,0,1,59,3,0,94,1
,"Ordinary Votes BEFORE polling day - Taken in Selwyn",29,4,4,81,4,264,560,0,3,10,2011,199,31,3200,27
,"Ordinary Votes BEFORE polling day - Taken in Wigram",12,0,2,25,2,119,175,0,1,1,698,32,4,1071,3
,"Special Votes BEFORE polling day",5,0,3,7,0,62,90,0,1,0,327,30,1,526,1
,"Special Votes On polling day",24,2,22,54,1,358,423,1,6,13,1669,94,20,2687,7
,"Overseas Special Votes including Defence Force",6,0,0,1,0,48,36,0,0,1,137,5,3,237,1
,"Votes Allowed for Party Only",4,0,4,9,0,60,90,0,7,2,219,17,2,414,0
,"Selwyn Total",336,24,123,906,13,4215,5942,11,52,137,23086,1750,256,36851,192
,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",37043
"Electorate Party Valid Votes for Selwyn",,"National Party - .6264687525"
"ACT New Zealand",336,.0091177987
"Alliance",24,.0006512713
"Aotearoa Legalise Cannabis Party",123,.0033377656
"Conservative Party",906,.0245854929
"Democrats for Social Credit",13,.000352772
"Green Party",4215,.1143795284
"Labour Party",5942,.1612439283
"Libertarianz",11,.0002984994
"Mana",52,.0014110879
"Māori Party",137,.0037176739
"National Party",23086,.6264687525
"New Zealand First Party",1750,.0474885349
"United Future",256,.0069468942
