Party and Electorate Candidate Votes Recorded at each polling place
"Taranaki-King Country 49","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Aria","Aria School, Barclay Road",2,1,0,8,0,8,10,0,0,0,76,2,1,108,0
"Arohena","Arohena School, 40 Pukewhau Road",3,0,0,5,0,2,7,0,0,2,65,4,5,93,0
"Benneydale","Benneydale Community Hall, Maniaiti Road",3,1,1,1,1,2,16,0,0,1,49,6,1,82,0
"Cardiff","Cardiff Hall, 50 Cardiff Road",2,0,0,4,0,4,13,0,1,0,75,8,3,110,1
"Deanwell","Deanwell School, 49 Deanwell Avenue",1,0,0,4,0,4,3,0,0,0,23,5,0,40,0
"Egmont Village","Egmont Village School Hall, 1052 Junction Road",2,0,0,1,0,7,8,0,0,0,78,2,1,99,0
"Eltham","St Mark's Parish Hall, 235 High Street",0,0,0,1,0,1,7,0,0,0,9,3,0,21,0
"Hamilton West","Waikato Hospital, Fracture Clinic reception, Pembroke Street",0,0,0,2,0,2,6,0,0,0,14,7,0,31,0
"Hangatiki","Hangatiki School Library, 591 Hangatiki East Road",1,0,1,4,0,4,5,0,0,0,52,3,2,72,0
"Honikiwi","Honikiwi Memorial Hall, corner Honikiwi & Turoto Roads",1,0,0,1,0,5,3,0,0,0,51,4,0,65,0
"Huiakama","Huiakama School, 3095 Ohura Road",4,0,0,3,0,0,9,0,0,0,22,3,0,41,0
"Inglewood","Inglewood High School, Kelly Street entrance",6,1,3,17,1,32,98,2,2,1,304,43,7,517,5
,"Inglewood Primary School Library, 33 Kelly Street",8,1,8,68,0,76,236,1,2,9,585,81,4,1079,12
"Kaimata","Kaimata School, 715 Tarata Road",4,0,2,6,0,13,16,0,0,0,124,13,1,179,0
"Kaipaki","Kaipaki School Library, 687 Kaipaki Road ",3,0,0,14,0,16,32,0,0,0,165,5,0,235,1
"Kaponga","Kaponga School, 30 Egmont Street",1,0,0,0,0,0,1,0,0,0,18,3,0,23,0
"Kawhia","Kawhia Community Hall, 141 Jervois Street",4,0,1,7,0,14,44,0,0,2,118,23,2,215,0
"Kihikihi","Kihikihi Town Hall, Lyon Street",15,0,10,47,0,69,183,1,5,5,535,115,9,994,16
"Kinohaku","Kinohaku School Library, 22 Kawhia Harbour Road",3,0,0,6,0,2,9,0,0,0,41,6,0,67,0
"Kiokio","Kiokio School, 1701 State Highway 3",4,0,1,8,0,6,9,0,0,0,153,5,4,190,1
"Korakonui","Korakonui School, 734 Wharepuhunga Road",6,0,1,12,0,7,7,0,0,0,154,2,7,196,0
"Koromatua","Koromatua School, 355 Koromatua Road",4,1,0,11,0,26,32,0,0,3,143,17,3,240,3
"Lepperton","Lepperton School Library, 540 Richmond Road ",4,0,2,4,0,11,16,0,0,3,82,2,1,125,0
"Mahoe","Mahoe Hall, 1080 Opunake Road",0,0,0,10,0,1,2,0,0,0,48,3,0,64,0
