Party and Electorate Candidate Votes Recorded at each polling place
"Christchurch East 5","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Akaroa","Akaroa Sports Centre, Rue Jolie",0,0,0,0,1,3,2,0,0,0,8,0,0,14,0
"Aranui","Aranui Primary School, 257 Breezes Road",2,0,4,14,0,51,373,1,0,2,173,66,3,689,15
,"St Ambrose Church, 309 Breezes Road",0,2,3,14,0,36,234,0,0,3,140,40,5,477,1
,"St James School, 25 Rowan Avenue",1,0,2,15,0,28,236,0,1,2,90,31,0,406,13
"Avondale","Avondale Primary School, 132 Breezes Road",0,0,4,27,0,59,248,0,0,0,342,49,1,730,3
,"Woolley Street Kindergarten, 63 Woolley Street",1,2,2,5,0,41,132,0,0,3,257,23,3,469,5
"Avonside/Linwood","Linwood North School, 221 Woodham Road (Rowcliffe Crescent entrance)",0,0,1,3,1,10,54,0,1,0,54,12,0,136,1
"Bromley","Bromley School, 33 Keighleys Road",0,0,0,1,0,6,17,0,0,0,6,1,0,31,1
"Brooklands","Community Centre Hall, 5 Anfield Street",2,1,0,14,0,78,131,1,2,3,272,35,6,545,6
"Burwood","ABC Learning Centre, Tumara Park 2, 1 Pohutakawa Crescent, Tumara Park",1,0,0,8,0,57,126,0,1,2,571,20,4,790,2
,"Burwood Christian Centre, 54 Bassett Street",0,2,2,24,0,74,211,0,3,0,411,44,4,775,4
,"Burwood School, 255 New Brighton Road",12,0,10,22,0,86,276,0,0,4,606,54,9,1079,5
,"Private Garage, 165 Queensbury Street",3,1,0,4,0,36,125,1,0,1,202,27,6,406,4
,"Windsor School Community Hall, 170 Burwood Road",3,0,4,27,0,119,346,2,2,4,825,79,6,1417,10
"Christchurch City","ABC Salisbury Street Pre School, 150 Salisbury Street",0,0,1,1,0,4,1,0,0,0,6,0,0,13,0
,"Christchurch East School, 311 Gloucester Street",0,0,0,2,0,7,13,0,0,1,15,1,0,39,0
,"Christchurch Public Hospital, Main Entrance Foyer, 2 Riccarton Avenue",0,0,0,1,0,9,28,0,0,1,32,1,0,72,1
,"First Church of Christ Scientist, 66 Carlton Mill Road",0,0,0,0,0,0,2,0,0,0,6,0,0,8,0
,"HMNZS Pegasus, 419 Montreal Street",1,0,0,0,0,1,3,0,0,0,2,0,0,7,0
,"St Michael and All Angels Church School, 249 Durham Street South",0,0,0,0,0,3,7,0,0,0,9,0,1,20,0
"Dallington","Banks Avenue School, 71 Banks Avenue",0,0,5,12,0,84,188,0,2,2,222,30,4,549,2
,"Dallington Scout Group, 3 Halberg Street",0,0,0,6,0,26,133,0,0,2,157,22,1,347,1
"Kainga","Kainga Public Hall, Kainga Road",0,0,2,4,0,23,68,1,1,1,114,22,1,237,2
"Linwood","Linwood Avenue School, 260 Linwood Avenue",0,0,0,0,0,3,26,0,1,1,22,6,2,61,1
,"St Chad's Anglican Church Hall, corner Carnarvon Street & Buckleys Road",0,0,1,1,0,14,48,0,0,1,39,9,0,113,2
"Mairehau","Mairehau High School, 440 Hills Road",1,0,0,3,1,5,11,0,0,0,43,1,2,67,0
,"Mairehau Primary School, 43 Mahars Road",0,0,1,1,0,2,11,0,0,0,17,0,0,32,1
"Marshland","Marshland School, 329 Prestons Road",1,0,0,9,0,32,47,0,0,1,253,19,0,362,4
"New Brighton","Central New Brighton School, Roy Stokes Hall, 140 Seaview Road",6,2,10,36,3,268,614,0,6,3,556,118,6,1628,11
"North New Brighton","Freeville School, 11 Sandy Avenue",1,2,4,36,1,131,263,0,0,0,436,48,6,928,10
,"North New Brighton School, 150 Leaver Terrace",5,1,6,28,2,198,383,1,1,2,397,82,1,1107,12
"Ouruhia","Ouruhia School Library, 21 Turners Road",3,0,3,2,1,28,36,0,3,1,143,12,0,232,0
"Papanui","St Giles Church Hall, 450 Papanui Road (Frank Street entrance)",0,0,0,0,0,1,2,0,0,0,10,2,0,15,1
"Parklands","Parkview School Hall, 10 Chadbury Street",2,1,9,38,2,171,532,0,0,3,968,98,8,1832,9
"Phillipstown","Phillipstown Community Centre, 39A Nursery Road",0,0,0,1,0,2,8,0,0,0,11,0,0,22,1
"Queenspark","Queenspark School Hall, 222 Queenspark Drive",5,0,2,20,0,136,304,1,0,1,696,65,11,1241,11
"Riccarton","Riccarton Mall, Riccarton Road (in aisle opposite K Mart)",0,0,0,1,0,8,15,0,0,0,29,0,0,53,0
"Richmond","North Avon Baptist Church Hall, 103 North Avon Road",0,0,1,0,0,10,9,0,0,0,21,2,1,44,0
,"Richmond Kindergarten, 41 North Avon Road",1,0,0,0,1,2,9,0,0,0,11,1,0,25,0
,"Richmond Primary School Hall, 19 Pavitt Street",0,1,1,0,0,6,6,0,0,0,7,2,0,23,0
"Shirley","Hammersley Park School, 102 Quinns Road",2,0,0,6,0,37,125,0,0,2,197,31,2,402,4
,"Shirley Intermediate School, 60 Shirley Road (North Parade entrance)",3,0,3,11,4,39,148,1,0,0,244,31,3,487,1
,"Shirley Primary School, 11 Shirley Road",0,0,0,0,0,11,35,1,0,1,71,8,0,127,0
"South New Brighton","South Brighton Croquet Club Rooms, 132 Union Street",0,3,6,11,0,129,160,0,0,0,163,32,3,507,2
,"South New Brighton School, 166 Estuary Road",7,0,6,20,1,244,276,0,5,10,447,75,9,1100,4
"Wainoni","Methodist Church Lounge, 878 Avonside Drive",3,0,5,12,0,34,93,1,0,0,103,37,2,290,0
,"Ottawa Gardens Pre-School, 49 Ottawa Road",0,1,0,12,0,18,126,0,0,1,113,20,2,293,3
,"Wainoni School, 115 Eureka Street",0,0,5,5,0,21,139,1,1,1,66,27,1,267,3
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Christchurch Central",1,0,1,6,0,50,149,1,0,4,192,41,2,447,5
,"Ordinary Votes BEFORE polling day - Taken in Christchurch East",20,4,12,97,2,452,1469,3,17,6,1894,326,20,4322,48
,"Ordinary Votes BEFORE polling day - Taken in Ilam",0,0,0,1,0,12,14,0,0,0,55,4,2,88,1
,"Ordinary Votes BEFORE polling day - Taken in Port Hills",0,1,0,2,0,10,30,0,0,0,30,2,0,75,1
,"Ordinary Votes BEFORE polling day - Taken in Selwyn",0,0,0,1,0,7,12,1,0,0,20,0,1,42,0
,"Ordinary Votes BEFORE polling day - Taken in Waimakariri",0,0,0,0,0,2,11,0,1,0,14,1,0,29,0
,"Ordinary Votes BEFORE polling day - Taken in Wigram",1,0,0,1,0,13,31,0,0,1,88,6,1,142,0
,"Special Votes BEFORE polling day",2,0,2,10,0,51,164,0,3,1,208,17,3,461,1
,"Special Votes On polling day",6,4,25,36,2,285,627,0,8,7,926,97,15,2038,10
,"Overseas Special Votes including Defence Force",1,0,0,1,0,28,28,0,1,0,82,3,0,144,0
,"Votes Allowed for Party Only",4,0,2,5,0,58,185,0,3,6,160,21,3,447,6
,"Christchurch East Total",101,28,145,617,22,3359,9100,17,63,84,13252,1801,160,28749,228
,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",28977
"Electorate Party Valid Votes for Christchurch East",,"National Party - .4609551637"
"ACT New Zealand",101,.0035131657
"Alliance",28,.0009739469
"Aotearoa Legalise Cannabis Party",145,.0050436537
"Conservative Party",617,.0214616161
"Democrats for Social Credit",22,.000765244
"Green Party",3359,.1168388466
"Labour Party",9100,.316532749
"Libertarianz",17,.0005913249
"Mana",63,.0021913806
"Māori Party",84,.0029218408
"National Party",13252,.4609551637
"New Zealand First Party",1801,.0626456572
"United Future",160,.005565411
