Party and Electorate Candidate Votes Recorded at each polling place
"Taupō 50","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Arapuni","Arapuni Community Hall, 47 Arapuni Road",0,0,2,7,0,22,25,0,1,0,42,23,0,122,1
"Broadlands","Broadlands School, 2986 Broadlands Road",1,0,0,2,0,3,8,0,0,0,62,6,1,83,0
"Cambridge","Cambridge East School, corner Bowen & Williams Streets",15,2,1,34,0,96,199,5,1,5,629,81,13,1081,5
,"Cambridge High School, 25 Swayne Road",5,0,1,8,0,25,60,0,0,1,360,19,3,482,2
,"Cambridge Middle School, corner Clare & Grey Streets",10,0,4,29,3,61,157,1,1,7,519,85,4,881,5
,"Cambridge Primary School, corner Wilson & Duke Streets",12,0,2,37,2,131,166,1,1,6,746,73,12,1189,10
,"Cambridge Scout Hall, 1 Maclean Street",3,0,0,16,0,26,41,1,1,2,314,21,1,426,0
,"Leamington Bowling Club, Leamington Domain, 12 Scott Street",10,1,2,15,0,46,53,0,0,2,261,44,3,437,0
,"Leamington School, corner Lamb & Scott Streets",14,1,6,45,1,108,208,0,0,5,788,90,5,1271,10
,"Raleigh Street Christian Centre, 24 Raleigh Street",10,1,1,38,0,49,167,0,1,1,582,86,11,947,11
"Fencourt","Goodwood School, 517 Fencourt Road",1,0,2,6,0,9,1,0,0,1,75,2,2,99,0
"Hamilton West","Waikato Hospital, Fracture Clinic reception, Pembroke Street",0,0,0,1,0,3,5,0,0,0,12,2,0,23,0
"Hautapu","Hautapu School, corner Forrest & Hautapu Roads",9,0,2,10,0,15,29,0,0,1,165,33,3,267,0
"Horahora","Horahora School, 1798 Maungatautari Road",3,0,0,2,0,8,9,0,0,0,98,5,1,126,2
"Karapiro","Don Rowland Centre, Mighty River Domain, Gate 2, 601 Maungatautari Road",4,0,1,5,0,15,15,0,0,1,156,6,1,204,1
,"Karapiro School, 705 State Highway 1",5,0,0,5,0,3,16,0,0,0,85,2,2,118,0
"Kinloch","Kinloch Community Hall, Kinloch Domain, 14 Mata Place",7,0,1,12,0,28,40,0,0,1,274,13,5,381,4
"Lichfield","Lichfield School and Community Hall, Kells Lane",7,0,0,3,0,12,20,0,1,1,134,9,3,190,2
"Mangakino","Mangakino Senior Citizens Hall, 25 College Street",1,0,2,5,2,10,65,0,0,2,64,25,1,177,2
"Marotiri","Marotiri School, 1569 State Highway 32",3,0,0,6,0,5,3,0,0,0,107,6,2,132,1
"Mihi","Mihi School, 76 Springs Road",0,0,0,4,0,0,0,0,0,1,21,1,0,27,0
"Motuoapa","Motuoapa Fishing and Boating Association, 2 Arataha Street",0,0,0,6,0,8,21,1,0,1,89,1,2,129,2
"Okoroire","Kuranui School, 66 Waiomou Road",4,0,0,5,0,8,17,0,0,2,117,11,1,165,2
"Omori","Omori Community Hall, Taupo District Council Depot, 320 Omori Road",0,0,1,4,0,9,14,0,2,1,73,10,3,117,0
"Puketurua","Puketurua Memorial Hall, intersection of Old Taupo, Huihuitaha & Pearson Roads",4,0,0,17,0,5,14,0,0,2,102,9,0,153,0
"Putaruru","Putaruru Baptist Church Hall, 52 Arapuni Street",8,0,3,42,0,41,120,0,1,4,292,85,5,601,3
,"Putaruru College, 1 Junction Street",1,0,0,4,0,23,46,0,0,0,101,24,2,201,1
,"St Patrick's Hall, 5 McKenzie Street",7,0,6,39,1,35,135,0,1,4,330,79,2,639,2
,"Te Waotu School, 1274 Waotu Road",0,0,1,5,0,6,14,0,0,1,85,3,0,115,1
"Rangitaiki","Rangitaiki School, 27 Rangitaiki School Road",1,0,0,0,0,0,5,0,0,1,16,3,1,27,0
"Roto-O-Rangi","Roto-O-Rangi School, 5 Kairangi Road",7,0,2,3,0,11,13,0,0,1,168,11,0,216,1
"Taupo","Acacia Bay Community Centre, 1 Wakeman Road",9,0,2,27,0,65,64,0,0,0,630,47,6,850,6
,"Active Arts, 5 Redoubt Street",3,0,0,5,0,9,21,0,0,1,65,4,0,108,0
,"Hilltop School, 90 Rokino Road",6,0,7,21,2,73,98,0,1,3,560,37,7,815,10
,"Hinemoa Kindergarten, 61 Hinemoa Avenue",2,0,5,11,0,28,66,0,0,5,120,23,3,263,1
,"Huka Falls Resort, 56 Huka Falls Road",3,0,3,8,0,17,23,0,1,1,172,14,0,242,7
,"Inspire Church, 65 Lakewood Drive",5,0,0,46,0,39,114,0,1,3,431,41,5,685,7
,"Mountview School, 31 Rangatira Street",1,0,2,5,1,18,55,0,4,5,118,33,1,243,4
,"Senior Citizens Hall, 12 Story Place",0,0,0,2,0,3,8,0,0,0,24,0,0,37,0
,"St Andrew's Anglican Church, 91 Titiraupenga Street",8,0,0,7,0,10,23,0,2,2,75,5,2,134,2
,"Summerset By The Lake, 2 Wharewaka Road",2,0,0,12,0,17,39,0,1,1,147,20,1,240,6
,"Tauhara College, 101 Invergarry Road",1,0,0,15,0,22,57,0,0,3,170,25,4,297,4
,"Tauhara Primary School, 90 Crown Road",2,0,2,10,0,19,106,0,1,10,208,47,11,416,3
,"Taupo Baptist Church Hall, corner Rifle Range & Taupo View Roads",9,1,3,29,0,54,181,0,1,4,459,112,11,864,3
,"Taupo District Court, 21 Story Place",1,0,1,5,0,3,7,0,0,2,35,1,0,55,0
,"Taupo Library, Meeting Room, First Floor, Tongariro Street (access from the Cenotaph)",3,0,0,6,0,16,25,0,1,1,102,10,0,164,0
,"Taupo Primary School, corner Tamamutu & Ruapehu Streets",5,0,5,17,0,48,106,0,4,1,314,47,3,550,3
,"Taupo-nui-a-Tia College, 122 Spa Road",4,0,4,13,0,33,71,0,2,3,220,45,9,404,3
,"Waiariki Institute of Technology Taupo Campus, corner Heu Heu and Kaimanawa Streets",3,0,0,4,0,8,14,0,0,2,47,10,1,89,0
,"Waipahihi Hall, Unison Youth Arts Centre, 98 Richmond Avenue",7,0,2,28,0,55,135,0,4,5,401,45,6,688,6
,"Waipahihi School, 20 Parata Street",1,0,1,21,1,59,92,0,1,6,312,21,11,526,1
"Tihoi","Tihoi Venture School, 289 Tihoi Mill Road, RD1",0,0,0,2,0,2,5,0,0,1,24,0,1,35,0
