Party and Electorate Candidate Votes Recorded at each polling place
"Wellington Central 59","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Berhampore","South Wellington Intermediate School Library, 165 Rintoul Street",0,0,1,0,0,5,5,0,0,0,6,0,0,17,0
"Brooklyn","Brooklyn Community Centre, 18 Harrison Street",8,1,6,15,0,321,317,0,9,9,387,36,10,1119,7
,"Brooklyn School, 58 Washington Avenue",8,1,2,6,0,180,192,2,5,9,316,23,2,746,6
,"St Bernard's School, 40 Taft Street",0,0,0,1,0,61,51,0,1,2,67,20,3,206,0
"Crofton Downs","Crofton Downs Primary School Hall, 1 Chartwell Drive",2,0,1,1,0,7,2,0,0,0,12,1,1,27,0
"Hataitai","Hataitai School Hall, corner Arawa, Hataitai & Hohiria Roads",0,0,0,0,0,6,11,0,0,0,15,0,0,32,0
,"Kilbirnie School Hall, 72 Hamilton Road",1,0,0,0,0,7,6,0,0,0,7,0,0,21,0
"Houghton Bay","Houghton Valley School Hall, 110 Houghton Bay Road",0,0,0,0,0,2,4,0,0,0,0,0,1,7,0
"Johnsonville","Broderick Road Chapel, 17 Broderick Road",0,0,0,0,0,4,6,0,0,0,9,2,1,22,0
"Karori","Karori Baptist Church, 161-163 Karori Road",13,0,3,12,0,224,248,0,3,6,579,20,11,1119,4
,"Karori Normal School, 2 Donald Street",17,0,2,5,2,259,365,3,7,11,699,39,10,1419,9
,"Karori Playcentre, 64 Campbell Street ",8,0,1,5,0,188,249,1,4,11,372,33,11,883,1
,"Karori West School, 7-21 Allington Road",10,0,3,8,0,262,374,3,1,6,473,46,10,1196,3
,"Karori West Scout Hall, 21 Sunshine Avenue",3,0,2,7,0,119,223,3,0,2,184,15,5,563,1
,"St Teresa's Parish Hall, 301 Karori Road",9,2,2,17,1,215,335,2,1,8,595,62,13,1262,10
"Kelburn","Kelburn Normal School, 16 Kowhai Road",5,0,2,2,0,254,200,0,1,6,300,14,2,786,3
,"St Michael's and All Angels Parish Hall, 83 Upland Road",18,0,2,8,0,320,254,4,1,10,392,24,2,1035,1
"Khandallah","St Barnabas Parish Hall, 35 Box Hill",0,0,0,0,0,5,5,0,0,0,4,0,0,14,0
"Kilbirnie","St Patrick's College, Staffroom, corner Evans Bay Parade & Cobham Drive",0,0,0,0,0,10,11,0,0,0,19,3,2,45,1
"Makara","Makara Model School, 399 Makara Road",3,0,0,1,0,22,36,0,1,1,105,4,6,179,2
"Mt Cook","St Paul's Lutheran Church, 12 King Street",5,0,1,2,0,96,53,0,4,1,67,8,0,237,0
"Mt Victoria","Clyde Quay School, 27 Elizabeth Street",17,0,7,12,0,467,411,2,20,14,588,53,0,1591,10
,"St Joseph's Church, Bill Pearce Room, 150 Brougham Street",2,0,2,2,0,85,72,0,3,0,92,15,0,273,2
"Newtown","Newtown Park Stadium, Function Room, Daniell Street or Mansfield Street entrances",0,0,0,1,0,15,8,0,0,0,12,1,0,37,0
,"Newtown School Hall, corner Riddiford & Mein Streets",0,0,1,0,1,59,66,1,0,0,33,8,2,171,3
,"Salvation Army Hall, 16-22 Constable Street",0,0,0,1,0,16,14,0,2,1,7,2,1,44,1
,"St James' Presbyterian Church Lounge, 235 Adelaide Road",0,0,0,1,0,8,3,0,0,1,1,1,0,15,0
,"Te Whaea New Zealand School of Dance, 11 Hutchison Road",2,0,3,1,0,67,52,0,0,1,47,6,0,179,1
,"Wellington Hospital, Te Ao Marama Training Centre, Riddiford Street (main entrance)",1,0,0,0,0,14,14,2,0,0,23,2,0,56,2
,"Wellington Pipe Band Hall, corner Stoke & Hanson Streets",0,0,0,0,1,9,10,0,0,0,11,0,0,31,0
"Ngaio","Ngaio Town Hall, 1 Ottawa Road",0,0,0,0,0,16,8,1,0,0,24,0,1,50,0
"Northland","Northland School, 14 Harbour View Road",4,1,1,4,0,187,244,1,1,3,295,23,3,767,3
,"St Anne@Ward Church Hall, 69 Northland Road",9,0,5,6,0,222,206,0,4,6,267,18,3,746,1
"Oriental Bay","Band Rotunda, 245B Oriental Parade",9,0,0,7,0,100,77,0,3,1,287,13,4,501,3
"Owhiro Bay","Owhiro Bay School Hall, 96 Happy Valley Road",0,0,1,2,0,19,15,0,0,4,11,1,0,53,1
"Roseneath","Roseneath School Hall, 13 Maida Vale Road",0,0,0,0,0,21,8,0,0,1,27,2,0,59,0
"Thorndon","St Mary's College, 16 Guildford Terrace",1,0,1,5,0,96,101,0,0,6,181,14,4,409,1
,"Thorndon School, 19b Hobson Crescent or 26 Murphy Street",14,0,7,5,0,187,210,0,4,8,392,19,5,851,2
,"Wellington Bridge Club, 17 Tinakori Road",12,0,0,1,0,131,144,0,1,5,278,12,5,589,0
"Wadestown","St Luke's Centre, 32 Pitt Street",14,1,1,7,0,253,253,1,5,19,552,32,8,1146,4
,"Wadestown School, 2 Rose Street",3,0,3,0,0,92,101,1,0,3,137,13,5,358,0
"Wellington City","Aro Valley Community Centre, 48 Aro Street",7,2,12,8,0,620,435,1,32,10,228,52,3,1410,7
,"Capital E, Civic Square",8,0,3,2,1,282,221,0,6,3,319,25,3,873,2
,"Chaffers Dock Atrium, 18 Herd Street",8,0,2,2,0,136,97,0,1,2,275,14,2,539,3
,"Davidic Centre, 28-30 Hopper Street",4,0,2,3,0,78,142,0,2,2,99,17,3,352,2
,"Michael Fowler Centre, Renouf Foyer, Level 1, 111 Wakefield Street",19,0,7,7,0,413,341,1,9,8,511,26,2,1344,2
,"Mount Cook Primary School, 160 Tory Street",6,0,3,3,3,199,178,0,6,3,260,12,2,675,1
,"St Andrew's Church Hall, 30 The Terrace",23,0,0,9,0,142,155,1,2,3,284,27,5,651,3
,"St John's Church Conference Centre, corner Dixon & Willis Streets",13,1,0,4,0,186,191,0,4,5,245,23,5,677,3
,"Te Aro School, 360 The Terrace",3,0,1,2,0,69,55,0,4,3,61,7,2,207,0
,"Wellington High School, 249 Taranaki Street",3,0,1,2,0,138,120,0,5,3,104,12,4,392,4
"Wilton","Cardinal McKeefry School, 66 Albemarle Road",0,0,0,5,0,43,55,0,0,2,92,8,1,206,0
,"Otari School, 166 Wilton Road",1,0,1,3,0,96,154,1,1,5,138,16,2,418,1
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Rongotai",1,0,2,3,0,60,74,1,1,1,75,6,3,227,2
,"Ordinary Votes BEFORE polling day - Taken in Wellington Central",66,4,15,24,1,1192,1111,0,21,18,1850,116,35,4453,20
,"Special Votes BEFORE polling day",11,0,4,9,1,279,226,1,11,5,318,40,9,914,4
,"Special Votes On polling day",51,1,30,22,1,1439,1196,1,41,27,1569,100,34,4512,10
,"Overseas Special Votes including Defence Force",33,3,7,2,3,652,514,4,12,11,607,21,8,1877,3
,"Votes Allowed for Party Only",7,1,11,15,0,248,230,2,11,12,220,25,2,784,4
,"Wellington Central Total",462,18,161,270,15,10903,10459,40,250,278,15128,1132,256,39372,153
,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",39525
"Electorate Party Valid Votes for Wellington Central",,"National Party - .3842324495"
"ACT New Zealand",462,.0117342274
"Alliance",18,.0004571777
"Aotearoa Legalise Cannabis Party",161,.0040892004
"Conservative Party",270,.0068576653
"Democrats for Social Credit",15,.0003809814
"Green Party",10903,.2769226862
"Labour Party",10459,.2656456365
"Libertarianz",40,.0010159504
"Mana",250,.0063496901
"Māori Party",278,.0070608554
"National Party",15128,.3842324495
"New Zealand First Party",1132,.0287513969
"United Future",256,.0065020827
