Party and Electorate Candidate Votes Recorded at each polling place
"Whanganui 61","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Alton","Alton Hall, Ball Road",0,0,0,1,0,1,4,0,0,0,102,1,1,110,2
"Aramoho","Aramoho School, 2 Mitchell Street",6,0,2,26,3,78,285,1,4,2,209,99,4,719,6
,"Churton School, Burmah Street",2,0,1,14,0,70,132,1,0,3,192,47,2,464,1
,"Cullinane College, 15 Peat Street",3,0,6,29,0,59,196,0,1,3,218,50,0,565,1
"Auroa","Auroa School, 734 Auroa Road",6,0,1,1,0,7,12,0,0,0,161,3,0,191,0
"Brunswick","Brunswick School, Campbell Road",3,0,1,6,1,27,34,1,0,2,99,25,1,200,1
"Castlecliff","Aranui School, 14 Aranui Avenue",0,0,1,9,0,29,77,0,0,2,81,37,0,236,4
,"Castlecliff School, 25 Polson Street",2,0,6,8,1,46,252,0,1,11,133,79,3,542,5
,"St Luke's Church Hall, 34 Manuka Street",4,1,4,13,0,25,147,0,0,2,73,49,0,318,2
,"Te Kura O Kokohuia, 36 Matipo Street",0,0,1,2,0,8,46,0,0,5,15,17,0,94,1
"Eltham","Eltham School, 69 Conway Road",5,0,1,18,2,31,116,0,1,0,187,42,0,403,3
,"Rawhitiroa School, 596 Rawhitiroa Road",2,0,1,2,0,4,7,0,0,0,73,3,1,93,0
,"St Mark's Parish Hall, 235 High Street",5,1,2,15,0,27,123,0,2,2,232,52,3,464,5
"Fordell","Fordell School, Budge Street",8,0,0,0,0,21,31,1,0,3,113,14,0,191,0
"Gonville","Baden Powell Scout Hall, 13 Swiss Avenue",4,1,6,41,1,68,301,1,5,4,181,123,2,738,6
,"St Peters Parish Hall, 72 Koromiko Road",9,0,1,46,1,74,240,0,1,7,234,83,3,699,5
"Hawera","Hawera High School, 13 Camberwell Road",10,0,2,19,0,44,146,0,2,5,267,29,0,524,2
,"Hawera Primary School, Manawapou Road entrance",2,0,3,7,0,26,102,0,0,0,317,29,4,490,3
,"Highland Pipe Band Hall, Collins Street",1,0,2,2,0,29,85,1,0,4,280,39,4,447,3
,"Presbyterian Centre, 35 Argyle Street",5,1,6,16,0,46,186,1,2,3,327,70,3,666,9
,"Public Hospital, 37 Hunter Street",1,0,0,1,0,9,51,0,0,2,96,18,0,178,0
,"Ramanui School, 85 Fairfield Road",5,0,5,5,1,24,96,1,0,4,182,24,1,348,2
,"Tawhiti School, Perth Street ",4,2,2,8,0,17,56,0,1,2,180,27,2,301,0
,"Turuturu School, 194 Glover Road",10,1,4,15,2,26,114,1,2,2,537,74,6,794,5
"Kai Iwi","Kai Iwi School, 908 State Highway 3",2,0,1,6,0,6,31,0,0,0,73,12,2,133,2
"Kaitoke","Kaitoke School, Concord Line",7,0,0,14,0,17,27,0,0,1,102,15,0,183,0
"Kakaramea","Kakaramea School, 2193 Main South Road ",1,0,1,2,0,10,11,0,0,0,74,8,1,108,2
"Kakatahi","Kakatahi School, 4315 Parapara Road (State Highway 4)",3,0,0,1,0,1,6,0,0,0,20,1,1,33,0
"Kaponga","Kaponga School, 30 Egmont Street",6,1,6,7,1,16,35,0,0,2,208,34,1,317,1
