Party and Electorate Candidate Votes Recorded at each polling place
"Whangarei 62","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Glenbervie","Glenbervie School, 151 Ngunguru Road",24,1,5,38,3,90,81,1,2,2,429,49,4,729,1
"Hikurangi","Hikurangi School, Swan Avenue",10,0,6,30,1,43,131,0,5,3,147,70,0,446,4
"Kamo","Jane Mander Retirement Village, 262 Fairway Drive",10,0,0,14,0,32,70,0,0,1,248,35,3,413,9
,"Kamo Intermediate School, Hailes Road",6,1,4,23,2,71,180,1,1,2,417,67,2,777,7
,"Kamo Primary School, 6 Three Mile Bush Road",23,0,5,54,2,142,366,1,11,9,1011,171,13,1808,9
"Kauri","Kaurihohore Hall, corner Apotu & Crane Roads",21,0,0,23,1,37,59,0,0,0,282,35,2,460,5
"Kensington","Kensington Croquet Club, 41 Mill Road",15,0,3,30,4,65,153,0,1,1,395,96,1,764,9
,"St Johns Church Centre, 149 Kamo Road",7,0,3,26,4,60,194,0,9,2,346,86,0,737,14
,"Table Tennis Centre, Western Hills Drive",3,0,2,10,0,61,92,0,3,1,264,40,4,480,1
,"Whau Valley School, 17 Moodys Avenue",8,1,2,32,1,62,137,0,4,4,319,45,3,618,9
"Kokopu","Kokopu School, Kokopu Road",5,0,0,6,0,11,13,0,0,3,63,8,1,110,0
"Mangapai","Mangapai Hall, corner McAlister & Mangapai Roads ",9,1,0,20,0,47,38,0,1,4,167,24,1,312,0
"Mangawhai","Mangawhai Hall, Mangawhai Road",0,0,0,0,0,3,3,0,0,0,13,2,0,21,0
"Mata","Mata Hall, Salmon Road  ",7,0,0,6,1,15,30,0,0,2,105,18,0,184,0
"Matapouri","Matapouri Public Hall, Matapouri Road",3,0,1,10,0,42,29,0,1,3,70,14,2,175,1
"Maungakaramea","Maungakaramea School, Tangihua Road",14,0,5,13,0,43,67,1,2,2,238,42,1,428,1
"Maungatapere","Maungatapere School, Mangakahia Road",22,0,1,33,2,68,88,0,2,7,570,65,5,863,10
"Maunu","Maunu Health Camp, 436 Maunu Road",8,0,3,27,0,46,71,0,1,3,300,53,2,514,3
,"Maunu Primary School, 13 Austins Road",23,1,0,53,3,102,146,3,1,2,741,77,5,1157,4
,"Whangarei Area Hospital, Maunu Road",5,0,3,23,0,50,103,2,2,1,180,36,0,405,3
"Morningside","Morningside School, 53A Morningside Road",4,0,4,15,3,54,114,0,5,7,150,45,2,403,2
"Ngararatanua","Regent Training Centre, Pipiwai Road",10,1,1,12,1,28,38,0,2,1,176,24,2,296,2
"Ngunguru","Ngunguru Community Hall, Ngunguru Road",22,2,4,36,0,153,132,1,2,3,459,60,4,878,5
"Oakura","Oakura Hall, Oakura Road",0,0,1,1,0,0,6,0,0,0,46,6,2,62,0
"One Tree Point","One Tree Point School, 97 One Tree Point Road",6,1,1,34,1,42,78,2,0,4,361,68,1,599,3
"Onerahi","Onerahi School, Church Road",10,0,7,53,3,118,237,2,4,2,460,118,4,1018,18
,"Raurimu Avenue School, Raurimu Avenue",3,0,2,16,0,45,82,0,8,1,115,27,3,302,1
,"St James Church, 135 Onerahi Road",15,1,3,83,5,125,285,3,3,5,558,141,6,1233,16
"Otaika","Lifesway Bible Church, corner Tarewa & Otaika Roads",14,0,6,23,0,50,170,0,9,5,230,72,3,582,5
,"Otaika School, Valley View Road",5,0,1,14,4,19,41,0,3,1,159,23,5,275,2
"Otangarei","Otangarei School, 181 William Jones Drive",2,1,1,2,0,15,60,1,9,4,10,9,0,114,5
"Parua Bay","Parua Bay School,1396 Whangarei Heads Road",29,0,5,25,3,147,144,0,2,8,430,69,8,870,3
"Poroti","Poroti School, Mangakahia Road",5,0,1,11,0,20,20,0,0,1,126,24,1,209,2
"Portland","Portland Primary School, 10 Portland School Road",4,0,1,3,0,12,42,0,1,2,39,10,0,114,0
"Raumanga","Manaia View School Hall, 64 Murdoch Crescent",7,0,3,17,4,25,130,0,9,4,128,49,1,377,3
,"Northland Polytechnic, 49-59 Raumanga Valley Road",3,0,3,19,2,28,96,0,5,5,97,45,1,304,1
"Regent","Anglican Parish Hall, 2A Kamo Road",11,0,5,39,2,108,265,1,4,8,512,119,6,1080,4
"Riverside","Shackleton Scout Hall, Riverside Drive",7,1,4,23,1,75,107,0,3,5,241,42,5,514,0
"Ruakaka","Bream Bay College, Marsden Point Road",9,0,8,35,0,65,166,0,2,3,343,96,8,735,13
,"Ruakaka School, 12 Sandford Road",4,0,0,14,0,29,40,0,0,1,116,27,1,232,4
"Ruatangata","Ruatangata Hall, Pipiwai Road",8,0,3,19,0,14,32,0,0,1,179,23,2,281,0
"Springs Flat","Alive Christian Fellowship, 55 Great North Road",6,0,0,15,2,22,39,0,2,1,87,25,0,199,1
"Tamaterau","Tamaterau Hall, Whangarei Heads Road",6,0,0,15,0,40,61,0,0,5,249,29,2,407,6
"Tauraroa","Tauraroa Area School, Omana Road",5,0,0,5,0,10,11,0,0,0,69,7,1,108,1
"Tikipunga","Tikipunga High School, 194 Corks Road",8,0,8,32,0,61,230,2,11,10,372,103,1,838,11
,"Totara Grove School, 38 Corks Road",3,0,4,21,1,54,111,0,2,2,184,41,0,423,2
,"Trinity Uniting Church, 4 Otuhiwai Crescent",4,0,3,51,3,61,206,0,6,2,444,110,1,891,10
"Waiotira","Waiotira School, Ararua Road",1,0,0,0,0,7,1,0,0,0,12,8,0,29,0
"Waipu","Waipu Presbyterian Church Hall, 50 The Centre",19,0,12,35,3,122,154,4,2,9,525,98,4,987,7
"Whananaki","Whananaki School, Whananaki North Road",0,0,1,1,0,3,7,0,0,0,26,10,0,48,0
"Whangarei","Archibald Mitsubishi, 50 Reyburn Street",12,2,2,25,3,49,91,0,5,3,318,57,7,574,2
,"Regent Training Classrooms, 29 Maunu Road",5,0,0,12,0,35,110,0,3,2,137,30,1,335,3
,"Whangarei Electorate Headquarters, 34-36 Porowini Avenue",2,0,1,12,1,44,105,0,5,3,183,34,3,393,2
,"Whangarei Intermediate School, 32 Rust Avenue",6,0,3,21,0,106,168,1,8,4,254,57,4,632,4
"Whangarei Heads","McLeod Bay Hall, Stewart Road",11,0,2,31,0,110,69,0,1,1,246,21,6,498,4
,"Polling places where less than 6 votes were taken",0,0,0,0,0,1,1,0,0,0,1,1,0,4,0
,"Ordinary Votes BEFORE polling day - Taken in Whangarei",75,0,10,135,16,341,710,4,25,20,1922,361,25,3644,41
,"Special Votes BEFORE polling day",7,0,3,17,0,49,77,0,4,1,206,39,1,404,3
,"Special Votes On polling day",19,0,25,52,2,227,402,1,23,15,856,149,7,1778,9
,"Overseas Special Votes including Defence Force",4,0,0,5,0,39,34,0,0,1,84,7,2,176,1
,"Votes Allowed for Party Only",2,0,3,7,0,30,94,0,24,10,71,23,1,265,1
,"Whangarei Total",596,14,184,1457,84,3673,7017,31,238,212,17486,3340,180,34512,287
,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",34799
"Electorate Party Valid Votes for Whangarei",,"National Party - .5066643486"
"ACT New Zealand",596,.0172693556
"Alliance",14,.000405656
"Aotearoa Legalise Cannabis Party",184,.0053314789
"Conservative Party",1457,.0422171998
"Democrats for Social Credit",84,.002433936
"Green Party",3673,.1064267501
"Labour Party",7017,.2033205841
"Libertarianz",31,.0008982383
"Mana",238,.0068961521
"Māori Party",212,.0061427909
"National Party",17486,.5066643486
"New Zealand First Party",3340,.0967779323
"United Future",180,.0052155772
