Party and Electorate Candidate Votes Recorded at each polling place
"Tāmaki Makaurau 66","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
,Auckland Central
"Auckland City","Auckland High Court, corner Waterloo Quadrant & Parliament Street",1,0,0,0,0,15,13,0,8,3,4,2,1,47,0
,"AUT Wellesley Campus, Building WA, Conference Room, Gate 2, 55 Wellesley Street ",0,0,0,0,0,13,7,0,5,6,7,5,0,43,0
,"Liston House, 30-32 Hobson Street",0,0,0,0,0,5,10,0,4,7,1,8,0,35,0
,"Methodist Church Hall, 78 Pitt Street",0,0,2,0,0,10,20,0,8,7,1,7,0,55,1
"Freemans Bay","Freemans Bay Community Centre Auditorium, 52 Hepburn Street",0,0,0,0,0,3,13,0,3,6,4,2,0,31,1
"Grey Lynn","Grey Lynn Community Centre, 510 Richmond Road",0,0,0,0,0,20,14,0,3,13,7,7,0,64,1
,"Grey Lynn Primary School, 44 Surrey Crescent",0,0,0,0,0,7,10,0,2,1,5,6,0,31,0
,"Mata'aga Hall, 18 Leighton Street",0,0,0,0,0,3,3,0,0,1,1,1,0,9,0
,"Richmond Road School, 113 Richmond Road ",0,0,0,0,0,13,17,0,2,1,3,3,0,39,1
,"St Joseph's School Hall, 456 Great North Road",0,0,0,0,0,10,6,0,10,9,6,4,0,45,0
,"St Paul's College (Library), 183 Richmond Road",0,0,0,0,0,2,2,0,1,3,1,1,0,10,0
"Herne Bay","Bayfield School, 2 Clifton Road ",0,0,0,0,0,2,5,0,0,0,6,1,0,14,0
,"Marist School, 82 Kelmarna Avenue",1,0,0,0,0,0,0,0,1,1,2,0,0,5,1
,"St Stephen's Presbyterian Church, 65 Jervois Road",0,0,0,0,0,6,5,0,0,2,4,0,0,17,0
"Newton","Newton Central School, Monmouth Street",0,0,1,0,0,4,5,0,2,4,1,1,0,18,0
,"Unitarian Church Hall, 1a Ponsonby Road",0,0,0,0,0,4,7,0,0,3,3,4,0,21,0
"Ponsonby","All Saints Anglican Church, 284 Ponsonby Road",0,0,0,0,0,10,13,0,3,5,11,2,0,44,0
,"Sacred Heart Parish Hall, 24 Vermont Street",0,0,0,0,0,4,5,0,0,1,2,0,0,12,0
,"St Mary's College (Stella Maris Old School Hall), 11 New Street",0,0,0,0,0,3,0,0,0,1,2,1,0,7,0
"Westmere","Hawke Sea Scouts Hall, 55 West End Road",0,0,0,0,0,2,2,0,0,4,2,0,0,10,0
,"Westmere School, corner Larchwood Avenue & Garnet Street",0,0,0,0,0,12,18,0,5,8,4,2,0,49,0
,Botany
"Botany Downs","Botany Downs Primary School, 35 Mirrabooka Avenue",0,0,0,0,0,4,5,0,1,0,6,6,0,22,0
,"Botany Downs Secondary College, 575 Chapel Road",0,0,0,1,0,1,5,0,2,7,3,4,0,23,0
,"Elim Christian Centre, 159 Botany Road",0,0,0,0,0,0,3,0,0,4,4,2,0,13,0
,"St Columba Presbyterian Church, 480 Ti Rakau Drive",0,0,0,0,0,1,3,0,0,2,4,1,0,11,0
"Botany South","Sancta Maria College, 319 Te Irirangi Drive",0,0,0,0,0,2,9,0,4,6,1,4,0,26,0
"Burswood","East City Wesleyan Church, 219 Burswood Drive",0,0,0,0,0,0,3,0,1,0,4,2,0,10,0
"Chapel Downs","Chapel Downs Primary School, 170 Dawson Road",1,0,2,0,0,7,40,0,9,6,7,9,0,81,1
"Cockle Bay","Cockle Bay Playcentre, 17 Pah Road",0,0,0,0,0,1,3,0,0,2,2,1,0,9,0
"Dannemora","Point View Primary School, 25 Kilkenny Drive",0,0,0,0,0,1,2,0,0,1,3,1,0,8,0
"Flat Bush","Dawson Road Primary School, Haumia Way",0,0,2,0,0,3,54,0,17,15,5,7,0,103,1
,"Kia Aroha College, 51 Othello Drive",0,0,0,1,0,7,63,0,17,16,0,5,1,110,2
"Highland Park","Rockabye Early Learning Centre, 122 Aviemore Drive",0,0,0,0,0,1,6,0,2,0,7,1,0,17,0
"Howick","Cockle Bay School, 24 Sandspit Road",0,0,0,0,0,0,6,0,0,3,9,3,0,21,0
"Meadowlands","Meadowlands Methodist Community Church, 128 Whitford Road",0,0,0,0,0,1,4,0,0,3,6,2,0,16,0
"Northpark","Our Lady Star of the Sea School, 14 Oakridge Way",0,0,0,1,0,2,0,0,0,0,3,1,0,7,0
"Somerville","Somerville Intermediate School, 39 Somerville Road",0,0,0,0,0,0,3,0,0,2,5,1,0,11,0
,Epsom
"Epsom","Auckland Grammar School, 85 Mountain Road",0,0,0,0,0,2,1,0,1,5,7,2,0,18,0
,"Epsom Girls Grammar School, 14 Silver Road",0,0,0,0,0,5,2,0,0,1,5,1,0,14,0
,"Epsom Normal School, 41 The Drive",1,0,0,0,0,4,4,0,1,1,6,1,0,18,0
,"Sacred Heart Parish Hall, 19 Banff Avenue",0,0,0,0,0,2,1,0,3,1,0,0,0,7,0
,"St George's Church Hall, 19 Ranfurly Road",1,0,0,0,0,2,0,0,0,2,2,6,0,13,0
"Grafton","Auckland City Hospital, Park Road",0,0,1,0,0,3,7,0,2,3,0,5,0,21,1
,"St David's Presbyterian Church Hall, 70 Khyber Pass Road",0,0,1,0,0,10,5,0,2,3,4,4,0,29,0
"Greenlane","Cornwall Park District School, corner Greenlane West & Wheturangi Roads",0,0,0,0,0,3,4,0,0,2,2,0,0,11,0
"Mt Eden","Auckland Normal Intermediate, 24 Poronui Street",0,0,0,0,0,1,3,0,1,0,3,0,0,8,0
,"Auckland Provincial Guide Centre, 132 Grange Road",0,0,0,0,0,6,5,0,3,0,2,2,0,18,0
,"Ficino School, 27 Esplanade Road",0,0,0,0,0,1,2,0,0,2,4,3,1,13,0
,"Mt Eden Normal Primary School, 73 Valley Road",0,0,0,0,0,3,9,0,3,7,5,2,0,29,0
,"Valley Road International Church Hall, 393 Mt Eden Road",0,0,0,0,0,7,10,0,2,4,0,2,0,25,0
"Parnell","Jubilee Hall, Parnell Community Centre, 545 Parnell Road",0,0,0,0,0,5,9,0,2,4,7,2,0,29,0
,"Parnell District School, 48 St Stephens Avenue",0,0,0,0,0,8,12,0,2,1,10,0,0,33,0
,"Selwyn Library, 10 St Stephens Avenue",0,0,0,0,0,5,2,0,1,2,2,0,0,12,0
"Remuera","Remuera Intermediate School, 36 Ascot Avenue",0,0,0,0,0,3,4,0,0,0,4,3,0,14,0
,"Somervell Presbyterian Church and Community Centre, 497 Remuera Road",0,0,0,0,0,1,3,0,0,1,5,1,0,11,0
,"St Aidan's Parish Hall, 5 Ascot Avenue",0,0,0,0,0,1,1,0,0,1,4,0,0,7,0
,"St Joseph of Cluny Kindergarten, 74 Victoria Avenue",0,0,0,0,0,1,0,0,0,1,2,2,0,6,0
,"St Mark's Church Hall, 95 Remuera Road",0,0,0,0,0,1,2,0,1,4,2,1,0,11,0
,"Victoria Avenue School, 250 Victoria Avenue",0,0,0,0,0,0,5,0,0,0,4,0,0,9,0
,Māngere
"Favona","Favona School, Cadrona Place entrance",0,0,1,0,0,4,44,0,17,18,3,16,1,104,2
,"Koru School, 71 Robertson Road",0,0,0,0,0,5,43,0,10,4,3,7,0,72,1
"Ihumatao","Makaurau Marae, 8 Ruaiti Road",0,0,3,0,0,4,31,0,17,10,3,12,0,80,1
"Mangere","Jean Batten School, 6 Imrie Avenue",0,0,0,1,0,7,41,0,22,19,3,4,0,97,2
,"Mangere Central School, 254 Kirkbride Road",0,0,0,0,0,2,23,0,12,12,4,14,0,67,0
,"Mangere College, 23 Bader Drive",0,0,1,3,0,4,24,0,21,7,1,10,0,71,2
,"Martin Hautus Pacific Peoples Learning Institute, 55-57 Plumley Crescent",0,0,0,0,0,1,10,0,7,6,1,3,0,28,2
,"Nga Iwi School, 60 Mascot Avenue",0,0,2,0,0,12,56,0,19,18,3,7,0,117,0
,"Robertson Road School, 205 Robertson Road",0,0,0,0,0,3,44,0,36,12,3,9,1,108,2
,"Sir Douglas Bader Intermediate School, 4 Court Town Close",0,0,0,0,0,0,8,0,1,1,0,2,0,12,1
,"Southern Cross Campus, 253 Buckland Road West",0,0,1,0,0,5,21,0,14,6,3,5,0,55,1
,"Te Kura Kaupapa Maori a Rohe o Mangere, 7 Comet Crescent",0,0,0,0,0,1,36,0,9,16,0,6,0,68,1
,"Viscount Learning Community School, 65 Viscount Street",0,1,2,0,0,4,44,0,8,15,4,12,0,90,4
"Mangere Bridge","Mangere Bridge School, Taylor Road Entrance",0,0,3,0,0,8,41,0,15,24,8,18,0,117,1
,"St James Anglican Church Hall, 27 Church Road",0,0,0,1,0,17,42,0,12,21,11,16,0,120,1
,"Waterlea School, 17 House Avenue",0,0,5,3,0,8,26,0,5,13,6,4,0,70,2
"Mangere East","De La Salle College, 81 Gray Avenue",0,0,0,1,0,3,28,0,10,9,7,5,0,63,1
,"Kingsford School, 54 Raglan Street",0,0,2,0,0,12,54,0,10,5,1,12,0,96,0
,"Mangere East Primary School, 21 Yates Road",0,0,1,0,0,3,62,0,13,6,1,17,0,103,0
,"Selwyn Anglican Church Hall, corner Massey Road & Hain Avenue",0,0,0,0,0,7,43,0,19,14,4,15,0,102,0
,"Sutton Park School, 89 Vine Street",0,0,3,0,0,6,48,0,14,9,1,11,0,92,1
"Papatoetoe","Kedgley Intermediate School, 181 Portage Road",0,0,2,2,0,7,51,0,10,13,3,6,0,94,0
,Manukau East
"Mt Wellington","Riverside Community Centre, corner Bernard Street & Peace Avenue",0,0,0,1,0,8,49,0,32,18,12,15,0,135,6
"Otahuhu","Fairburn School, 10 Pukeora Road",0,0,0,0,0,2,14,0,7,3,4,9,0,39,1
,"McAuley High School, 26 High Street",0,0,1,1,0,4,35,0,12,9,4,10,0,76,1
,"Middlemore Hospital, Hospital Road",0,0,0,0,0,2,15,0,1,3,0,2,0,23,1
,"Otahuhu College, 74-78 Mangere Road",0,0,0,0,0,9,28,0,8,9,3,15,0,72,3
,"Otahuhu Intermediate School, 22-24 Luke Street",0,0,1,0,0,5,24,0,9,10,1,18,0,68,1
,"Otahuhu Primary School, 41 Station Road",0,0,2,0,0,5,31,0,7,9,1,9,0,64,1
"Otara","Bairds Mainfreight Primary School, 12 Edward Avenue",0,0,2,0,0,7,33,0,21,11,1,6,0,81,0
,"East Tamaki Primary School, 196 Preston Road",1,0,0,0,0,1,50,0,25,11,0,13,0,101,2
,"Ferguson Intermediate School, 20-40 Ferguson Road",0,0,0,0,0,4,34,0,18,11,2,11,1,81,6
,"Flat Bush School, 20 Flat Bush Road",0,0,1,1,0,5,42,0,7,6,2,13,0,77,2
,"Maori Anglican Church Hall, 183 Bairds Road",0,0,0,0,0,6,37,1,19,11,1,4,0,79,5
,"Mayfield School, 12 Pearl Baker Drive",0,0,2,0,0,6,68,0,23,8,4,10,0,121,6
,"Sir Edmund Hillary Collegiate, 67 Otara Road",0,0,1,0,0,4,55,0,20,16,0,6,0,102,0
,"Wymondley Road School, 77 Wymondley Road",0,0,2,0,0,1,34,0,9,2,1,4,0,53,1
"Papatoetoe","Aorere College, 6-8 Selfs Road",0,0,0,1,0,7,16,0,7,6,1,5,0,43,1
,"Holy Cross Church Hall, corner St George Street & Carruth Road",0,0,0,1,0,3,23,0,9,15,12,12,0,75,1
,"Manukau Indian Association Hall, 57 Hillside Road",0,0,0,0,0,0,17,0,7,10,1,9,0,44,0
,"Omana Kindergarten, 42 Omana Avenue",0,0,0,0,0,1,8,0,0,4,1,3,0,17,0
,"Papatoetoe Central Primary School, 317 Great South Road",0,0,0,2,0,3,18,0,14,8,2,7,0,54,1
