Party and Electorate Candidate Votes Recorded at each polling place
"Te Tai Hauāuru 67","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
,Mana
"Aotea","Summerset Aotea Village, 15 Aotea Drive",0,0,0,0,0,5,17,0,2,2,8,0,0,34,1
"Ascot Park","Rangikura School, 95 Conclusion Street",0,0,1,0,0,6,62,0,8,6,4,6,0,93,2
"Cannons Creek","Cannons Creek School, 5 Warspite Avenue",0,0,1,1,0,7,76,0,8,21,2,8,0,124,2
,"Glenview School, 106 Bedford Street",0,0,0,0,0,1,15,0,2,4,2,1,0,25,0
,"Maraeroa School, 47 Driver Crescent",0,0,1,0,0,5,36,0,2,6,2,2,0,54,0
,"Russell School, 18 Fantame Street",0,0,1,0,0,5,24,0,5,5,4,6,0,50,1
"Elsdon","Porirua School, 1 Awarua Street",0,0,2,0,0,21,71,0,16,39,3,18,0,170,1
"Kenepuru","Kenepuru Community Hospital, Hospital Drive (off Raiha Street)",0,0,0,0,0,2,12,0,1,3,1,1,0,20,0
"Linden","Greenacres School, 60 Raroa Terrace",0,0,0,0,0,3,3,0,0,1,0,0,0,7,0
,"Linden School, 60 Ranui Terrace",0,0,0,0,0,5,7,0,1,1,2,0,0,16,0
,"Linden Social Centre, 10 Linden Avenue",0,0,0,0,0,3,15,0,3,4,5,2,0,32,1
,"Tui Park Kindergarten, 12b Mexted Terrace",0,0,0,0,0,4,10,0,2,6,1,2,0,25,0
"Mana","St Barnabas' Church Hall, 106a Mana Esplanade",0,0,0,0,0,10,15,0,2,4,8,3,0,42,0
"Paekakariki","Paekakariki School, Wellington Road",0,0,0,0,0,10,15,0,3,5,0,5,0,38,0
,"St Peters Village Hall, corner Beach Road & Ames Street",0,0,1,0,0,12,13,0,1,4,2,1,0,34,0
"Papakowhai","Papakowhai School, 17 Spey Place",0,0,0,0,0,3,13,0,1,3,6,2,0,28,0
"Paraparaumu","Paraparaumu School, Ruapehu Street",0,0,0,0,0,6,21,0,1,5,3,2,0,38,1
"Paremata","Paremata School, 35 Paremata Crescent",0,0,0,1,0,7,4,0,2,10,9,2,0,35,0
"Pauatahanui","Pauatahanui School, 12 Paekakariki Hill Road",0,0,0,0,0,2,2,0,0,0,2,0,0,6,0
"Plimmerton","Plimmerton School, School Road",0,0,0,0,0,10,12,0,3,9,7,4,0,45,0
,"St Theresa's School, 5 James Street",0,0,0,0,0,1,1,0,0,2,2,3,0,9,0
"Porirua","5 Lydney Place South (North City Plaza side entrance)",0,0,1,0,0,3,22,0,3,8,2,6,1,46,3
,"Whitireia Community Polytechnic, Block E, 2 Wineera Drive",0,0,0,0,0,10,39,0,9,17,8,8,0,91,3
"Porirua East","Porirua East School, 8 Martin Street",0,0,1,1,0,22,64,0,14,20,9,5,0,136,4
,"Windley School, 146 Mungavin Avenue",0,0,0,0,0,2,35,0,6,8,2,2,0,55,2
"Pukerua Bay","Pukerua Bay School, 89 Rawhiti Road",0,0,0,1,0,4,12,0,2,4,3,4,0,30,0
"Raumati Beach","Raumati Beach School, Raumati Road",0,0,1,1,0,12,22,0,4,14,3,6,0,63,0
"Raumati South","Raumati South Returned Services War Memorial Hall, Tennis Court Road (opposite No 25)",0,0,0,0,0,8,11,0,3,4,4,1,1,32,0
,"Raumati South School, Matai Road",0,0,0,0,0,3,7,0,0,0,4,2,0,16,0
"Titahi Bay","Garage, 99 Gloaming Hill",0,0,0,0,0,6,32,0,7,11,4,8,0,68,0
,"Ngati Toa School,  44 Piko Street",0,0,0,0,0,1,43,0,15,15,5,5,0,84,3
,"Niblick Hall, 1 Niblick Lane",0,0,3,0,0,9,66,0,11,24,15,8,0,136,2
,"Titahi Bay Intermediate School, Kahutea Terrace",0,0,0,0,0,14,41,0,5,30,7,12,1,110,3
,"Titahi Bay North School, 47 Jillett Street",0,0,0,0,0,12,35,0,8,7,3,11,0,76,1
,"Titahi Bay School, 11 Kura Street",0,0,0,1,0,14,42,0,6,7,9,6,0,85,1
"Waitangirua","Corinna School, 36 Kalingo Street",0,0,2,0,0,7,41,0,3,11,1,5,0,70,1
,"Natone Park School, 6 Kokiri Crescent",0,0,0,0,0,4,53,0,6,8,1,4,0,76,3
,"Te Kura Māori o Porirua, 392 Warspite Avenue",0,0,0,0,0,4,50,0,14,25,3,11,0,107,2
"Whitby","Civic Centre, The Bradey Room, Discovery Drive",0,0,0,0,0,0,11,0,0,0,2,3,0,16,0
,"Discovery School, Pullen Lane",0,0,1,0,0,4,9,0,1,2,9,4,0,30,1
,"Postgate School, 3 Staithes Drive North",0,0,0,0,0,4,10,0,4,13,9,1,0,41,1
,"The Anchor Church, 1 Joseph Banks Drive",0,0,0,1,0,2,8,0,0,3,2,0,0,16,0
,New Plymouth
"Bell Block","Bell Block Hall, 957 Devon Road",0,0,0,0,0,6,21,0,7,15,2,2,0,53,1
,"Fred Tucker Memorial Centre, 130 Parklands Avenue",0,0,1,1,0,8,24,0,2,5,6,6,0,53,0
,"Puketapu School Hall, 2 Dillon Drive",0,0,0,0,0,1,21,0,1,4,3,0,0,30,1
"Egmont Village","Egmont Village School Hall, 1052 Junction Road",0,0,0,0,0,1,2,0,0,1,1,2,0,7,0
"Glen Avon","Glen Avon Hall, 23 Alberta Road",0,0,0,0,0,0,5,0,0,1,4,0,0,10,0
"Mangorei","Mangorei School Hall, 502 Mangorei Road",0,0,1,0,0,0,1,0,0,1,4,2,1,10,0
"New Plymouth","Air Training Corps Rooms, 367a Carrington Street",0,0,0,0,0,3,6,0,1,3,0,4,0,17,0
,"Blind Foundation, 131 Vivian Street",0,0,0,0,0,2,4,0,0,1,3,1,0,11,0
,"Boys' High School, Pridham Hall, 97 Eliot Street",0,0,0,0,0,3,2,0,0,1,1,1,0,8,1
,"Central School Hall, 49 Pendarves Street entrance",0,0,1,0,0,6,14,0,1,9,5,2,0,38,0
,"Devon Intermediate School, 400 Devon Street West",0,0,0,0,0,2,7,0,1,5,2,0,0,17,0
,"Fitzroy Hall, 45 Sackville Street",0,0,1,0,0,4,12,0,0,8,2,3,0,30,0
,"Francis Douglas Memorial College, 201 Tukapa Street",0,0,1,0,0,4,5,0,1,1,4,2,0,18,1
,"Girls' High School Hall, Main Entrance, 42 Mangorei Road",0,0,1,0,0,3,8,0,0,10,3,1,0,26,1
,"Holy Trinity Church Hall, 8 Henui Street",0,0,0,0,0,2,5,0,0,3,1,0,0,11,2
,"Marfell School Hall, 92a Omata Road entrance",0,0,0,0,0,5,20,0,4,8,2,0,0,39,0
,"Merrilands Hall, 251 Mangorei Road",0,0,0,0,0,0,6,0,0,2,4,2,0,14,0
,"Merrilands School, 7 Kauri Street",0,0,0,0,0,1,16,0,7,9,4,1,0,38,1
,"Moturoa School, 43 Pioneer Road",0,0,0,0,0,4,18,0,0,5,1,1,0,29,0
,"Onuku Taipari Hall, 136 Ngamotu Road",1,0,0,0,0,2,31,0,6,5,1,2,0,48,1
,"Spotswood College Library, 129 South Road",0,0,0,0,0,3,14,0,2,5,2,0,0,26,1
