Party and Electorate Candidate Votes Recorded at each polling place
"Te Tai Tokerau 68","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
,Auckland Central
"Great Barrier Island","Great Barrier Island Community Health Centre, 80 Hector Sanderson Road",0,0,0,0,0,1,1,0,2,3,2,1,0,10,2
,"Okiwi School, Aotea Road",0,0,0,0,0,0,4,0,1,6,1,0,0,12,0
,"Tryphena Mulberry Grove School, Shoal Bay Road",0,0,0,0,0,0,3,0,3,1,1,0,0,8,0
,East Coast Bays
"Albany","Oteha Valley School, corner Oteha Valley Road & Medallion Drive",0,0,0,0,0,0,2,0,0,2,4,1,0,9,0
,"Pinehurst School  75 Bush Road",0,0,0,0,0,1,4,0,0,3,4,1,0,13,3
"Browns Bay","Browns Bay Red Cross Centre, 5 Glencoe Close",0,0,1,0,0,2,3,0,6,0,5,4,0,21,1
,"Browns Bay School, Masterton Road",0,0,0,0,0,2,2,0,0,4,3,2,0,13,0
,"Northcross Intermediate School, 10 Sartors Avenue",0,0,0,0,0,2,3,0,0,1,6,2,0,14,0
,"Pinehill School, corner Hugh Green Drive & Spencer Road",0,0,0,0,0,3,3,0,4,1,9,3,0,23,1
,"Progress Hall, (under Bays Club)  6 Anzac Road",0,0,0,0,0,0,1,0,0,2,3,1,0,7,0
,"Salvation Army East Coast Bays Hall, 5 Bayview Road",1,0,0,0,0,1,3,0,0,0,5,2,0,12,0
"Glenfield","Meadowood Community House, 55 Meadowood Drive (off Unsworth Drive)",0,0,0,0,0,3,7,0,2,4,3,2,0,21,0
,"Target Road Primary School, 80 Target Road",1,0,0,1,0,8,17,0,4,7,9,6,0,53,1
"Long Bay","Long Bay Baptist Church, 282 Glenvar Road",0,0,0,0,0,0,0,0,0,2,6,2,0,10,0
"Mairangi Bay","Rangitoto College, 564 East Coast Road",0,0,0,0,0,0,3,0,0,0,4,2,0,9,0
"Murrays Bay","Murrays Bay Intermediate School, 37 Sunrise Avenue",0,0,1,0,0,1,2,0,0,0,5,1,0,10,0
"Torbay","Glamorgan School, 145 Glamorgan Drive",0,0,0,1,0,5,6,0,0,1,7,4,0,24,0
,"Torbay School, 60 Deep Creek Road",0,0,0,0,0,1,2,0,1,3,5,4,0,16,0
,"Torbay Senior Citizens Club, Torbay Shopping Centre, 37 Watea Road",0,0,2,0,0,0,1,0,1,4,2,1,0,11,0
"Unsworth Heights","Westminster Christian School, 31 Westminster Gardens (off Unsworth Drive)",0,0,0,0,0,1,2,0,2,0,1,0,0,6,0
,Helensville
"Albany","Albany Community Hall, 3/21 Library Lane",0,0,1,0,0,3,4,0,0,2,17,2,0,29,0
,"Albany School, 6 Bass Road",0,0,1,0,0,1,1,0,1,0,4,2,0,10,0
,"Massey University, Gate 4, 82 Turtea Drive",0,0,0,0,0,2,3,0,1,0,3,0,0,9,0
,"Upper Harbour Primary School, 140 Kyle Road",0,0,0,0,0,0,0,0,2,0,6,0,0,8,0
"Coatesville","Coatesville School, 24 Mahoenui Valley Road",0,0,0,0,0,2,2,0,0,1,2,0,0,7,0
"Glenfield","Bayview Primary School, 60 Bayview Road",0,0,0,0,0,0,7,0,5,7,3,2,1,25,0
