Party and Electorate Candidate Votes Recorded at each polling place
"Te Tai Tonga 69","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
,Christchurch Central
"Avonside/Linwood","Linwood North School, 221 Woodham Road (Rowcliffe Crescent entrance)",0,0,0,0,0,10,19,0,3,10,5,4,0,51,1
"Christchurch City","Christchurch East School, 311 Gloucester Street",0,0,0,0,0,10,18,0,1,3,9,4,0,45,1
,"Christchurch Public Hospital, Main Entrance Foyer, 2 Riccarton Avenue",0,0,0,0,0,1,13,0,2,0,1,1,0,18,0
,"St Michael and All Angels Church School, 249 Durham Street South",0,0,0,0,0,4,2,0,0,1,4,0,0,11,0
"Linwood","Aspire Canterbury, 314 Worcester Street",0,0,0,0,0,3,12,0,1,3,1,1,0,21,1
,"Linwood College, 85 Aldwins Road",0,0,0,0,0,6,18,0,2,8,4,3,0,41,1
,"Linwood Intermediate School, 7 McLean Street",0,0,0,0,0,2,12,0,2,1,1,2,0,20,0
,"St Chad's Anglican Church Hall, corner Carnarvon Street & Buckleys Road",0,0,0,0,0,3,13,0,2,2,3,3,0,26,1
"Mairehau","Glenmoor School, 96 Philpotts Road",0,0,0,0,0,2,4,0,0,0,2,2,0,10,1
,"Mairehau High School, 440 Hills Road",0,0,0,0,0,3,4,0,0,3,3,2,0,15,1
,"Mairehau Primary School, 43 Mahars Road",0,0,0,0,0,3,10,0,1,0,4,1,0,19,0
,"St Albans Uniting Parish, 262 Knowles St",0,0,0,0,1,2,3,0,2,1,1,3,0,13,0
"Papanui","Papanui Baptist Church, 144 Sawyers Arms Road ",0,0,0,1,0,5,9,0,1,1,4,0,0,21,0
,"Papanui Primary School, 40 Winters Road",0,0,1,0,0,6,5,0,1,0,1,0,0,14,0
,"Paparoa Street School, 120 Paparoa Street",0,0,0,0,0,1,6,0,0,0,5,0,0,12,0
,"St Giles Church Hall, 450 Papanui Road (Frank Street entrance)",0,0,1,0,0,1,5,0,0,0,1,1,0,9,0
,"St Joseph's School, 4 Vagues Road",0,1,0,0,0,1,3,0,0,0,6,2,0,13,0
"Phillipstown","Phillipstown Community Centre, 39A Nursery Road",0,0,2,0,0,9,23,0,2,8,5,1,0,50,0
"Richmond","North Avon Baptist Church Hall, 103 North Avon Road",0,0,0,0,0,5,8,0,1,3,2,2,0,21,0
,"Richmond Kindergarten, 41 North Avon Road",0,0,0,0,0,1,0,0,1,0,2,1,1,6,0
,"Richmond Primary School Hall, 19 Pavitt Street",0,0,0,1,0,7,11,0,2,3,2,4,0,30,1
"Shirley","Hammersley Park School, 102 Quinns Road",0,0,1,1,0,3,11,0,0,3,1,2,0,22,0
,"MacFarlane Park Free Kindergarten, 19 Acheson Avenue",0,0,0,0,0,3,15,0,0,7,2,6,0,33,0
,"Shirley Intermediate School, 60 Shirley Road (North Parade entrance)",0,0,0,1,0,3,6,0,1,5,1,2,0,19,0
,"Shirley Primary School, 11 Shirley Road",0,0,0,0,0,9,13,0,0,3,5,2,0,32,0
"St Albans","Beulah Christian Fellowship Church, 140 Springfield Road",0,0,0,0,0,4,4,0,1,4,4,0,0,17,0
,"Lamb of God Community Hall, 19 Thames Street",0,0,1,0,0,3,1,0,0,1,3,1,0,10,0
,"Rehua Marae, 79 Springfield Road",0,0,2,0,0,1,11,0,2,16,5,4,0,41,0
,"St Albans Baptist Church, 64 McFaddens Road",0,0,0,0,0,0,2,0,0,1,4,0,0,7,1
,"St Albans Primary School, 17 Sheppard Place",0,0,1,0,0,9,10,0,0,2,3,2,0,27,0
,Christchurch East
"Aranui","Aranui Primary School, 257 Breezes Road",0,0,1,1,0,5,39,0,6,10,2,12,0,76,0
,"St Ambrose Church, 309 Breezes Road",0,0,0,1,0,5,14,0,1,7,2,3,0,33,1
,"St James School, 25 Rowan Avenue",0,0,0,0,0,4,17,0,1,4,2,6,0,34,1
"Avondale","Avondale Primary School, 132 Breezes Road",0,0,1,0,0,6,15,0,1,7,5,0,0,35,1
,"Woolley Street Kindergarten, 63 Woolley Street",0,0,0,0,0,2,2,0,0,1,3,0,0,8,0
"Brooklands","Community Centre Hall, 5 Anfield Street",0,0,1,0,0,2,6,0,0,1,1,3,0,14,0
"Burwood","ABC Learning Centre, Tumara Park 2, 1 Pohutakawa Crescent, Tumara Park",0,0,0,0,1,1,4,0,1,2,6,1,0,16,0
,"Burwood Christian Centre, 54 Bassett Street",0,0,0,0,0,1,4,0,0,5,7,2,0,19,0
,"Burwood School, 255 New Brighton Road",0,0,0,0,0,7,8,0,0,3,8,3,0,29,0
,"Windsor School Community Hall, 170 Burwood Road",0,0,0,0,0,4,6,0,0,1,6,1,0,18,0
"Dallington","Banks Avenue School, 71 Banks Avenue",0,0,0,0,0,1,7,0,0,0,0,1,0,9,0
,"Dallington Scout Group, 3 Halberg Street",0,0,0,0,0,2,5,0,0,1,3,4,0,15,1
"New Brighton","Central New Brighton School, Roy Stokes Hall, 140 Seaview Road",2,0,2,0,0,13,34,0,3,10,12,4,0,80,2
"North New Brighton","Freeville School, 11 Sandy Avenue",0,0,0,0,0,4,14,0,2,0,2,2,0,24,0
,"North New Brighton School, 150 Leaver Terrace",0,0,1,2,0,10,18,0,0,5,5,3,0,44,1
"Parklands","Parkview School Hall, 10 Chadbury Street",0,0,0,2,0,7,14,0,0,4,3,4,0,34,0
"Queenspark","Queenspark School Hall, 222 Queenspark Drive",0,0,0,0,0,7,7,0,0,4,3,3,0,24,0
"South New Brighton","South Brighton Croquet Club Rooms, 132 Union Street",0,0,0,0,0,3,14,0,1,1,4,3,1,27,1
,"South New Brighton School, 166 Estuary Road",0,0,0,0,0,11,9,0,1,2,3,5,0,31,0
"Wainoni","Methodist Church Lounge, 878 Avonside Drive",0,0,0,0,0,2,9,1,0,2,2,2,0,18,0
,"Ottawa Gardens Pre-School, 49 Ottawa Road",0,0,0,0,0,1,10,0,3,1,2,0,1,18,0
,"Wainoni School, 115 Eureka Street",0,0,0,0,0,2,12,0,4,4,2,2,0,26,1
,Clutha-Southland
"Arrowtown","Arrowtown Primary School, 9 Chalmers Place",0,0,0,0,0,3,0,0,0,1,10,1,0,15,0
"Balclutha","Balclutha Information Centre, 4 Clyde Street",0,0,0,0,0,1,8,0,0,2,10,0,0,21,0
,"Balclutha Primary School Hall, 21 Lanark Street",0,0,0,0,0,3,6,0,1,0,6,0,0,16,0
,"Rosebank School Hall, 21 Frances Street",0,0,0,0,0,2,6,0,0,1,3,1,0,13,0
,"St Andrew's Church Hall, corner Clyde & George Streets",0,0,0,1,0,1,2,0,0,0,0,2,0,6,1
"Clinton","Clinton School, 34 Halsey Street",0,0,0,0,0,0,6,0,0,0,0,1,0,7,1
"Dipton","Dipton School, 1935 James Street",0,0,0,0,0,0,0,0,0,0,6,0,0,6,0
"Frankton","Queenstown Events Centre, 35 Joe O'Connell Drive",0,0,0,1,0,4,1,0,0,1,5,0,0,12,0
,"St Margaret's Church, corner Kawarau Road & Ross Street",0,0,1,0,0,6,6,0,1,3,7,0,0,24,0
"Gore","Calvin Presbyterian Church Centre, 25 Robertson Street",0,0,0,0,0,2,5,0,1,1,2,4,0,15,0
,"East Gore School Hall, 3 Wentworth Street",0,0,0,0,0,1,7,0,1,2,3,4,0,18,0
,"Gore District Court, 6 Hokonui Drive",0,1,0,0,0,1,7,0,0,3,2,3,0,17,0
,"Gore Main School, School Hall, 39 Ardwick Street",0,0,3,0,0,2,6,0,0,3,4,3,0,21,0
,"Rachel's Studio of Dance (formerly Pipe Band Hall), 27 Hyde Street",0,0,0,0,0,0,6,0,0,3,2,2,0,13,1
"Kaitangata","Kaitangata School, Salcombe Street",0,0,0,0,0,0,1,0,1,0,4,2,0,8,0
"Kaka Point","Kaka Point Community Centre, Moana Street",0,0,0,0,0,0,2,0,1,1,1,1,0,6,0
"Kelvin Heights","Lakeland Park Christian Camp, 496 Peninsular Road",0,0,0,0,0,1,0,0,0,2,3,1,0,7,0
"Lawrence","St John Rooms, 10 Ross Place",0,0,1,0,0,1,4,0,0,1,4,1,0,12,0
"Mataura","Mataura School Hall, 33 Oakland Street",0,0,1,0,0,4,30,0,3,14,5,9,0,66,1
"Milton","Tokomairiro Co-op Parish Hall, 30-34 Union Street",0,0,0,1,0,3,16,0,3,2,1,0,0,26,1
,"Tokomairiro High School, 238 Union Street",0,0,1,0,0,2,6,0,2,3,3,2,0,19,0
"Nightcaps","Takitimu Primary School, 17 Evans Street",0,0,1,0,0,2,5,0,1,1,3,2,0,15,1
"Ohai","Ohai Volunteer Fire Brigade, 61 Birchwood Road",0,0,1,0,1,1,7,0,3,2,2,5,0,22,1
"Otautau","Otautau School, 17 Elles Road",0,0,0,0,0,0,4,0,0,2,2,2,0,10,0
"Owaka","Owaka Memorial Community Centre, 3 Ovenden Street",0,0,0,1,0,1,5,0,0,2,4,1,0,14,0
"Queenstown","Memorial Hall, corner Memorial & Stanley Streets",0,0,1,0,0,4,10,0,3,1,11,3,0,33,1
,"Queenstown Primary School Hall, 20 Robins Road",0,0,0,0,0,1,6,0,0,0,0,0,0,7,0
"Riversdale","Riversdale School, 28 Rutland Street",0,0,0,1,0,1,0,0,1,1,3,0,0,7,0
"Tapanui","Tapanui School, 14a Sussex Street",0,0,0,0,0,0,2,0,0,1,3,0,0,6,0
"Te Anau","Te Anau School Hall, 167 Milford Road",0,0,0,0,0,2,2,0,2,2,7,2,0,17,0
"Tuatapere","Tuatapere Community College, 47 Orawia Road",0,0,0,0,0,0,1,0,1,3,3,3,0,11,3
"Waihola","Waihola & Districts School, 5 Kilgour Street",0,0,0,0,0,1,1,0,2,0,3,1,0,8,1
"Winton","Central Southland College, corner Grange and Mackenzie Streets",0,0,0,0,0,1,3,0,0,0,4,0,0,8,0
,"Winton Primary School Hall, corner Clyde & Eglinton Streets",0,0,0,0,0,0,6,0,2,2,3,1,0,14,0
,Dunedin North
"Brockville","Brockville School, 263 Brockville Road",0,0,0,0,0,2,26,0,4,5,2,4,0,43,0
"Dunedin City","Arthur Street School, 26 Arthur Street",0,0,0,0,0,4,5,0,1,0,0,0,0,10,0
,"Court House, 41 Lower Stuart Street",0,0,0,0,0,2,2,0,0,1,1,2,0,8,0
,"Dunedin Hospital, 1st Floor Foyer to Lecture Halls, 201 Great King Street",0,0,0,0,0,6,6,0,0,1,1,0,0,14,0
,"Salvation Army McMillan Lounge, 575 Princes Street",0,0,0,0,0,4,8,0,2,2,1,0,0,17,1
"Dunedin North","George Street Normal School, 989 George Street",0,0,0,0,0,10,5,0,2,1,1,2,0,21,0
,"Knox Church Hall, 453 George Street ",0,0,0,0,0,4,6,0,0,2,2,1,0,15,0
,"University of Otago, ISB Link East, 630 Cumberland Street",0,0,0,0,0,6,2,0,4,2,2,0,0,16,0
"Halfway Bush","Halfway Bush Community Hall, 54 Ashmore Street",0,0,0,0,0,4,9,0,2,1,0,1,0,17,0
"Kaikorai","Kaikorai Presbyterian Church Hall, 127 Taieri Road ",0,0,1,0,0,3,16,0,1,2,1,0,0,24,0
"Karitane","Karitane Primary School, Coast Road",0,0,0,0,0,4,5,0,1,0,2,0,0,12,0
"Maori Hill","Coronation Hall, 1 Balmacewen Road",0,0,0,0,1,3,1,0,0,2,1,0,0,8,0
"Mornington","Mornington School, 34 Elgin Road",0,0,0,0,0,5,13,0,0,2,4,4,0,28,0
,"Mornington Scout Hall, 66 Argyle Street",0,0,0,1,0,6,6,0,2,2,2,2,0,21,0
,"St Francis Xavier School, 27 Benhar Street",0,0,0,0,0,3,3,0,1,2,2,0,0,11,0
"North East Valley","Dunedin North Intermediate School, 34 North Road",0,0,2,1,0,9,12,0,1,2,3,5,0,35,0
,"North East Valley Baptist Church Hall, 268 North Road",0,0,1,0,0,7,8,0,0,2,1,0,0,19,0
"Opoho","Opoho School, 96 Signal Hill Road",0,0,0,1,2,6,4,0,0,0,2,1,0,16,0
"Pine Hill","Pine Hill School, 2 Wilkinson Street",0,0,0,0,0,8,13,0,2,2,2,2,1,30,1
"Port Chalmers","Port Chalmers Town Hall, 1 Grey Street",0,0,0,0,0,4,7,0,0,1,2,0,0,14,0
"Ravensbourne","Ravensbourne Community Hall, 5 Wanaka Street",0,0,0,0,0,2,8,0,1,0,1,0,0,12,1
"Roslyn","Presbyterian Church Hall, 21 Highgate",0,0,0,0,0,2,1,0,0,0,2,2,0,7,0
"Sawyers Bay","Sawyers Bay School, 99 Stevenson Avenue",0,0,1,0,0,1,8,0,0,0,3,1,0,14,0
"Waikouaiti","Waikouaiti Primary School, 6 Malloch Street",0,0,0,0,0,2,8,0,0,3,4,2,0,19,1
"Waitati","Waitati Primary School, Mt Cargill Road, RD2",0,0,0,0,0,10,2,0,0,1,1,0,0,14,0
"Wakari","Balmacewen Intermediate School, 44 Chapman Street",0,0,0,0,0,2,2,0,1,1,0,0,0,6,1
,"Wakari School, 150 Helensburgh Road",0,0,0,1,0,3,8,0,2,4,2,2,0,22,0
"Warrington","Warrington Primary School, 3 Ferguson Street",0,0,0,0,0,1,1,0,0,2,2,1,0,7,0
,Dunedin South
"Abbotsford","Scout Hall, corner Abbotsford Road & Unsworth Street",0,0,1,0,0,3,5,0,0,0,4,2,0,15,0
"Andersons Bay","Presbyterian Church Hall, 76 Silverton Street",0,0,0,0,0,2,7,0,4,2,6,5,0,26,0
"Brighton","Big Rock School, 2 Bath Street",0,0,1,0,0,1,8,0,0,1,1,0,0,12,1
"Calton Hill","Calton Hill Community Hall, 38 Riselaw Road",0,0,2,0,0,2,12,0,1,6,2,3,0,28,1
"Caversham","Caversham Presbyterian Church Hall, 61 Thorn Street",0,0,0,1,0,2,7,0,1,1,1,2,0,15,0
,"Caversham School Hall, 217 South Road",0,0,1,0,0,5,21,0,3,2,1,3,0,36,0
"Concord","Concord Kindergarten, 93 Mulford Street",0,0,0,0,0,3,5,0,0,4,0,0,0,12,0
"Corstorphine","Corstorphine Community Centre, 235 Middleton Road",0,0,0,0,0,5,17,0,2,1,2,3,0,30,0
"Fairfield","Fairfield Community Hall, corner Main Road & Fairplay Street",0,0,0,0,0,1,4,0,1,1,5,2,1,15,0
"Forbury Corner","St Bernadette's School Hall, 16 Forbury Road",0,0,0,0,0,7,7,0,0,1,2,1,0,18,0
"Green Island","Pipe Band Hall, 186 Main South Road",0,0,1,0,0,4,10,0,1,1,3,5,0,25,0
,"The Landmark Baptist Lighthouse, 222 Main South Road",0,0,0,0,0,2,8,0,0,3,5,3,0,21,1
"Macandrew Bay","Macandrew Bay School, 488 Portobello Road",0,0,0,0,0,10,2,0,1,1,2,1,0,17,0
"Middlemarch","Strath Taieri School, 33 Swansea Street",0,0,0,0,0,1,0,0,0,2,3,0,0,6,0
"Mosgiel","A&P Showgrounds, 320 Gordon Road",0,0,1,0,0,0,0,0,0,0,4,1,0,6,0
,"Elmgrove School, Ayr Street",0,0,0,0,0,0,6,0,0,2,1,4,0,13,0
,"Mosgiel Abilities Resource Centre, 16 Green Street",0,0,0,0,0,0,1,0,0,1,3,1,0,6,1
,"Reid Park Kindergarten, 63 Murray Street",0,0,0,0,0,0,4,0,0,0,2,1,0,7,2
,"Senior Citizen's Hall, 5a Hartstonge Avenue (next to Mosgiel Library)",0,0,0,0,0,1,12,0,0,1,5,2,1,22,0
