Party and Electorate Candidate Votes Recorded at each polling place
"Dunedin North 8","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Bradford","Bradford School, 42a Bradford Street",0,3,0,9,1,29,126,0,1,0,94,30,3,296,0
"Brockville","Brockville School, 263 Brockville Road",1,0,5,13,0,63,455,2,7,1,159,76,3,785,4
"Careys Bay","Port Chalmers Fishermen's Co-Op Society Offices, 10 Macandrew Road",1,1,2,0,4,72,103,0,3,1,39,16,1,243,0
"Caversham","Caversham Presbyterian Church Hall, 61 Thorn Street",0,0,0,1,0,7,27,0,0,0,16,8,0,59,1
,"Caversham School Hall, 217 South Road",0,0,0,3,1,21,71,0,0,1,26,9,1,133,1
"Concord","Concord School, 5 Thoreau Street",0,0,0,0,0,2,2,0,0,0,2,1,0,7,0
"Dunedin City","Arthur Street School, 26 Arthur Street",6,0,3,3,1,149,150,0,2,5,150,22,4,495,4
,"Court House, 41 Lower Stuart Street",1,0,4,1,1,123,94,1,7,2,126,10,1,371,4
,"Dunedin Hospital, 1st Floor Foyer to Lecture Halls, 201 Great King Street",2,0,3,2,0,62,90,0,2,1,88,9,0,259,2
,"Malcam Trust, Jubilee Park (off Maori Road)",4,1,3,4,0,63,62,0,3,3,56,11,3,213,2
,"Salvation Army McMillan Lounge, 575 Princes Street",2,1,3,3,2,73,121,0,0,1,73,18,2,299,0
"Dunedin North","All Saints Church Hall, 786 Cumberland Street",4,0,0,4,1,87,120,1,3,3,91,21,1,336,3
,"George Street Normal School, 989 George Street",5,3,4,22,3,272,329,0,2,4,339,47,5,1035,6
,"Kelsey Yaralla Kindergarten, 4 Trent Avenue",0,0,0,0,0,9,19,0,0,0,14,0,0,42,0
,"Knox Church Hall, 453 George Street ",3,2,2,7,0,162,154,0,4,1,163,30,3,531,1
,"University of Otago College of Education, 141 Union Street",1,0,2,4,1,28,42,0,0,1,33,11,1,124,4
,"University of Otago, ISB Link East, 630 Cumberland Street",7,1,5,8,0,202,148,0,7,4,146,14,5,547,4
"Forbury Corner","St Bernadette's School Hall, 16 Forbury Road",2,0,0,0,0,8,10,0,1,0,14,0,0,35,0
"Halfway Bush","Halfway Bush Community Hall, 54 Ashmore Street",1,2,4,9,0,71,306,0,1,2,175,57,8,636,4
"Kaikorai","Kaikorai Presbyterian Church Hall, 127 Taieri Road ",2,0,5,10,2,119,368,0,2,4,289,57,5,863,5
,"Kaikorai Valley College, 500 Kaikorai Valley Road ",1,2,0,0,1,48,112,0,0,1,110,17,3,295,4
"Karitane","Karitane Primary School, Coast Road",2,0,1,6,2,74,63,0,1,1,74,18,0,242,2
"Long Beach","McCurdy Grimman Hall, 22 Driver Street",1,0,2,2,0,45,40,0,3,0,35,10,1,139,0
"Maori Hill","Coronation Hall, 1 Balmacewen Road",22,1,4,15,1,267,270,0,3,6,733,69,9,1400,9
"Mornington","Mornington School, 34 Elgin Road",14,0,7,33,1,254,539,1,3,9,553,97,5,1516,10
,"Mornington Scout Hall, 66 Argyle Street",7,1,5,4,3,90,176,1,3,3,152,28,3,476,2
,"St Francis Xavier School, 27 Benhar Street",2,1,3,19,3,134,276,0,1,2,306,58,5,810,8
"North East Valley","Dunedin North Intermediate School, 34 North Road",6,0,10,20,3,339,379,0,7,1,221,66,7,1059,7
,"North East Valley Baptist Church Hall, 268 North Road",3,1,6,9,0,229,322,0,12,7,185,64,1,839,4
"Opoho","Opoho School, 96 Signal Hill Road",3,0,1,4,0,210,193,0,5,4,148,19,6,593,3
