Party and Electorate Candidate Votes Recorded at each voting place
"Auckland Central 1","Party Vote Details"
,,"ACT New Zealand","Aotearoa Legalise Cannabis Party","Ban1080","Conservative","Democrats for Social Credit","Focus New Zealand","Green Party","Internet MANA","Labour Party","Māori Party","National Party","New Zealand First Party","NZ Independent Coalition","The Civilian Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Auckland City","Auckland High Court, corner Waterloo Quadrant & Parliament Street",20,2,0,36,0,1,258,26,280,7,568,64,0,2,3,1267,3
,"AUSA Club Space, The Quad, Auckland University",6,1,0,4,0,0,90,10,63,4,114,15,1,2,3,313,2
,"AUT Wellesley Campus, Building WA, Conference Room, Gate 2, 55 Wellesley Street ",14,3,0,15,0,0,109,13,151,0,190,15,0,0,2,512,3
,"Liston House, 30-32 Hobson Street",17,3,0,24,0,0,130,19,197,3,470,41,1,2,2,909,4
,"Methodist Church Wesley Hall, 78 Pitt Street",14,2,0,23,1,0,199,32,272,5,318,44,0,0,3,913,6
"Epsom","Auckland Grammar School, 85 Mountain Road",1,0,0,1,0,0,7,1,9,0,26,1,0,0,0,46,0
"Freemans Bay","Freemans Bay Community Centre Auditorium, 52 Hepburn Street",8,0,2,12,1,0,214,16,300,12,356,34,0,1,0,956,2
"Grafton","Auckland City Hospital, Foyer, 2 Park Road",7,0,1,6,0,0,65,7,66,2,108,12,0,0,0,274,0
,"St David's Presbyterian Church Hall, 70 Khyber Pass Road",10,4,0,18,0,0,110,11,107,5,219,19,0,0,0,503,0
"Great Barrier Island","Great Barrier Island Community Health Centre, 80 Hector Sanderson Road",2,2,0,9,0,0,43,5,24,3,60,15,0,0,2,165,0
,"Okiwi School, Aotea Road",0,0,0,0,0,0,11,0,4,0,10,4,0,0,0,29,0
,"Port Fitzroy Aotea Centre (Nurses Cottage)",4,0,0,0,0,0,13,0,4,0,14,1,0,0,0,36,0
,"Tryphena Mulberry Grove School, Shoal Bay Road",0,0,0,4,0,0,41,4,43,0,45,16,0,0,0,153,2
"Grey Lynn","Grey Lynn Community Centre, 510 Richmond Road",1,0,0,1,0,0,37,3,16,0,40,4,0,1,0,103,0
,"Grey Lynn Primary School, 44 Surrey Crescent",0,0,0,0,0,0,7,0,8,0,9,4,0,0,0,28,0
,"Richmond Road School, 113 Richmond Road ",0,0,0,4,0,0,77,4,85,2,133,10,0,0,2,317,2
,"St Joseph's School Hall, 456 Great North Road",1,0,0,0,0,0,8,0,6,0,18,2,0,0,0,35,0
"Herne Bay","Bayfield School, 2 Clifton Road ",12,2,0,16,0,0,143,4,179,6,701,25,0,0,0,1088,5
,"Marist School, 82 Kelmarna Avenue",0,0,0,4,0,0,28,1,49,2,113,7,0,0,0,204,2
,"St Stephen's Presbyterian Church Hall, 65 Jervois Road",3,0,0,11,0,0,59,0,82,2,234,15,0,0,0,406,2
"Kingsland","Congregational Christian Church of Samoa, 50 Bond Street",1,1,0,3,0,0,54,1,65,2,78,3,0,0,0,208,0
,"Kowhai Intermediate School, 26 Onslow Road",1,0,0,2,0,0,56,7,55,1,61,6,0,0,1,190,0
"Matakana","Matakana School, 952 Matakana Road",1,0,0,1,0,0,2,0,1,0,8,0,0,0,0,13,0
"Mechanics Bay","Auckland Marine Rescue Centre, 3 Solent Street",0,0,0,2,0,0,6,2,7,1,34,0,0,0,0,52,0
"Mt Eden","Mt Eden Normal Primary School, 73 Valley Road",0,0,0,0,0,0,13,0,16,1,30,3,0,0,0,63,0
,"Valley Road International Church Hall, 393 Mt Eden Road",0,0,0,0,0,0,4,0,5,0,14,1,0,0,0,24,0
"Newton","Newton Central School, Waima Street",0,0,0,0,0,0,19,0,18,0,14,1,0,1,0,53,0
,"Unitarian Church Hall, 1A Ponsonby Road",4,0,0,1,0,0,48,2,58,4,72,9,0,0,0,198,2
