Party and Electorate Candidate Votes Recorded at each voting place
"Hamilton East 13","Party Vote Details"
,,"ACT New Zealand","Aotearoa Legalise Cannabis Party","Ban1080","Conservative","Democrats for Social Credit","Focus New Zealand","Green Party","Internet MANA","Labour Party","Māori Party","National Party","New Zealand First Party","NZ Independent Coalition","The Civilian Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Beerescourt","Vardon School, 36 Cunningham Road",0,1,0,4,0,0,3,1,9,0,14,3,0,0,0,35,0
"Cambridge","Cambridge Primary School, corner Wilson & Duke Streets",0,0,0,2,0,0,2,0,1,0,7,0,0,0,0,12,0
"Chartwell","Chartwell Cooperating Parish Hall, corner Comries Road & Belmont Avenue",12,3,0,69,0,0,131,9,301,6,720,113,0,0,2,1366,5
,"Hukanui School, corner Hukanui Road & Pickering Crescent",15,2,3,85,0,0,94,5,211,6,923,81,0,1,4,1430,1
"Claudelands","Peachgrove Intermediate School, 72 Peachgrove Road",7,1,1,18,3,0,68,4,136,5,165,44,0,0,5,457,0
,"Southwell School, 200 Peachgrove Road",8,2,0,36,1,0,87,4,141,2,326,46,0,0,1,654,5
,"St Aidan's Parish Hall, 24 Thames Street",8,6,0,14,1,0,90,8,201,5,265,45,0,0,2,645,3
"Enderley","Te Kura Kaupapa Māori O Te Ara Rima School, 31 Fifth Avenue",1,2,1,23,0,0,32,3,159,4,111,53,0,0,3,392,2
"Fairfield","Fairfield Baptist Church, 1101 Heaphy Terrace",1,0,0,22,0,0,26,3,134,0,119,38,0,0,0,343,5
,"Fairfield College, 25 Bankwood Road",1,3,2,11,0,0,35,1,109,1,136,35,0,1,0,335,1
,"Fairfield Intermediate School, 261 Clarkin Road",0,1,0,20,2,0,40,4,148,0,183,39,0,0,0,437,4
,"Insoll Avenue School, 95 Insoll Avenue",0,2,0,27,0,0,50,5,279,2,260,78,1,0,1,705,3
,"Wesley Methodist Hall, 955 Heaphy Terrace",0,3,0,24,0,0,53,2,163,4,129,41,0,1,1,421,2
,"Woodstock Primary School, 43 Fairfield Road",2,0,0,22,0,1,70,4,115,9,369,44,0,0,1,637,1
"Flagstaff","Alandale Retirement Village, 1199 River Road",3,0,2,68,0,0,63,4,156,6,806,86,0,0,1,1195,6
"Frankton","Frankton School Hall, 206 Massey Street",2,0,0,2,0,0,8,0,18,0,13,5,0,0,0,48,0
"Hamilton City","Electorate Headquarters, 12 Ward Street",1,1,0,4,0,0,44,2,33,3,91,2,0,0,0,181,0
"Hamilton East","Graceways Church, 69 Grey Street",7,5,1,33,3,0,149,10,239,3,388,65,0,1,5,909,8
,"Hamilton East Primary School, 7 Dawson Street",13,1,0,24,0,0,91,11,192,4,201,29,0,0,2,568,4
,"Marian Catholic School, 119 Firth Street",13,2,0,33,2,0,143,11,316,10,390,47,0,1,3,971,8
"Hamilton West","Hamilton West School, 36 Hammond Street",0,1,0,0,1,0,5,0,7,0,18,2,0,0,0,34,0
"Hillcrest","Hillcrest Normal School, 218 Cambridge Road",16,5,1,59,0,0,157,17,262,4,628,70,0,1,2,1222,5
,"Knighton Normal School, 45 Knighton Road",14,7,3,49,1,0,188,18,342,11,448,85,0,2,5,1173,5
"Pukete","Pukete School, 110 Pukete Road",0,2,0,3,0,0,12,1,7,0,31,2,0,0,0,58,0
"Rototuna","Chapel Hill Community Church, 2 Cate Road",10,1,1,92,1,0,67,3,163,2,903,76,0,1,9,1329,6
,"Rototuna Primary School, 23 Strathmore Drive",17,1,4,85,2,0,80,1,292,11,1224,105,0,1,6,1829,3
,"Waikato Waldorf School, 85 Barrington Drive ",1,0,0,25,0,0,52,3,77,2,270,23,0,0,0,453,3
"Rototuna North","Te Totara Primary School, 31 Hector Drive",6,0,0,61,0,0,40,4,149,1,542,48,0,0,3,854,2
"Silverdale","Hillcrest High School, Masters Avenue",10,2,0,47,1,0,112,14,250,3,346,79,0,1,2,867,6
,"St John's College, 85 Hillcrest Road",1,0,1,16,1,0,33,5,60,1,73,13,0,0,0,204,0
"Te Rapa","The Base (between Briscoes and Rebel Sport), 1 Pacific Crescent",2,0,0,11,0,0,26,2,34,2,125,8,0,1,1,212,2
"Waikato Hospital","Meade Clinical Centre, Level One (adjacent to Reception A), Pembroke Street",1,0,0,2,0,0,8,0,21,0,39,3,0,0,0,74,1
