Party and Electorate Candidate Votes Recorded at each voting place
"Hunua 16","Party Vote Details"
,,"ACT New Zealand","Aotearoa Legalise Cannabis Party","Ban1080","Conservative","Democrats for Social Credit","Focus New Zealand","Green Party","Internet MANA","Labour Party","Māori Party","National Party","New Zealand First Party","NZ Independent Coalition","The Civilian Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Alfriston","Alfriston School, Performing Arts Centre, corner Mill & Alfriston Roads",1,0,0,2,0,0,2,0,3,0,17,1,0,0,0,26,0
"Ararimu","Ararimu School, corner Steel & Ararimu Roads",2,0,0,40,0,0,23,0,21,1,336,39,0,0,1,463,0
"Ardmore","Ardmore School Library, 559 Papakura-Clevedon Road",0,0,0,3,0,0,6,0,6,0,31,7,0,0,0,53,0
"Awhitu","Awhitu District School, corner Matakawa & Awhitu Roads",1,3,1,20,0,0,47,8,74,4,204,50,1,1,3,417,4
"Beachlands","Beachlands School, 18 Bell Road (disabled access from Wakelin Road)",7,0,1,57,1,0,121,3,169,5,1149,171,0,1,1,1686,5
"Bombay","Bombay School, 35 Paparata Road",7,2,3,53,0,0,38,1,51,1,592,50,0,0,2,800,1
"Botany Downs","Botany Downs Secondary College, 575 Chapel Road",3,1,0,5,0,0,6,0,8,0,34,3,0,0,0,60,0
,"St Columba Presbyterian Church, 480 Ti Rakau Drive",0,0,0,1,0,0,1,0,0,0,4,1,0,0,0,7,0
"Botany South","Sancta Maria College, 319 Te Irirangi Drive",1,0,0,10,0,0,1,0,14,0,76,2,0,0,0,104,0
"Brookby","Brookby School, corner Brookby & West Roads",0,0,0,10,0,0,15,1,15,1,116,7,0,0,0,165,0
"Buckland","Buckland School, 72 George Crescent",0,2,0,18,1,0,13,0,30,0,196,43,0,1,1,305,0
"Chapel Downs","Chapel Downs Primary School, 170 Dawson Road",0,1,0,2,0,0,1,0,10,0,13,3,0,0,0,30,0
"Clarks Beach","Church By The Seashore, 14-16 Torkar Road",0,2,1,28,0,0,19,1,55,3,295,59,0,0,0,463,1
"Clevedon","Clevedon School, 13-17 North Road",7,2,0,40,0,0,53,2,39,4,531,39,0,0,1,718,2
"Dannemora","Point View Primary School, 25 Kilkenny Drive",1,0,0,0,0,0,2,0,3,0,15,1,0,0,0,22,0
,"Willowbank School, 56 Middlefield Drive",0,0,0,3,0,0,0,0,4,0,27,1,0,0,0,35,0
