Party and Electorate Candidate Votes Recorded at each voting place
"Māngere 23","Party Vote Details"
,,"ACT New Zealand","Aotearoa Legalise Cannabis Party","Ban1080","Conservative","Democrats for Social Credit","Focus New Zealand","Green Party","Internet MANA","Labour Party","Māori Party","National Party","New Zealand First Party","NZ Independent Coalition","The Civilian Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Favona","Favona School, Cadrona Place entrance",0,6,1,22,0,0,25,8,695,3,101,51,1,0,1,914,5
,"Koru School, 71 Robertson Road",1,3,0,18,0,0,27,10,673,2,116,56,1,0,1,908,13
"Ihumatao","Makaurau Marae, 8 Ruaiti Road",1,0,0,1,0,0,3,2,17,1,5,6,0,0,0,36,0
"Mangere","Jean Batten School, 6 Imrie Avenue",0,1,1,32,0,0,12,11,596,4,119,57,0,0,0,833,4
,"Mangere Central School, 254 Kirkbride Road",0,0,0,8,0,0,11,1,310,2,55,32,0,0,0,419,2
,"Mangere College, 23 Bader Drive",1,5,0,17,2,0,22,12,614,1,76,46,0,0,0,796,10
,"Mangere Old School Hall, 299 Kirkbride Road",4,1,0,13,0,0,8,5,298,3,65,20,0,0,0,417,1
,"Nga Iwi School, 60 Mascot Avenue",0,2,0,16,0,0,18,7,704,3,79,68,0,0,0,897,12
,"Robertson Road School, 205 Robertson Road",3,1,1,21,0,0,20,3,675,4,84,69,1,0,0,882,7
,"Sir Douglas Bader Intermediate School, 4 Court Town Close",1,0,1,8,0,0,6,1,139,0,4,16,0,0,0,176,1
,"Southern Cross Campus, 253 Buckland Road West",0,4,1,28,0,0,12,9,584,0,65,38,0,0,0,741,11
,"Te Kura Kaupapa Maori a Rohe o Mangere, 7 Comet Crescent",1,0,0,11,0,0,7,2,213,2,13,28,0,0,0,277,7
,"Viscount Learning Community School, 65 Viscount Street",0,2,1,16,0,0,13,10,492,3,25,25,0,1,1,589,5
"Mangere Bridge","Mangere Bridge School, 3-5 Taylor Road Entrance",8,4,0,34,1,0,87,11,410,11,285,93,0,0,1,945,4
,"St James Anglican Church Hall, 27 Church Road",3,0,0,50,0,0,115,10,317,10,346,119,0,0,1,971,3
,"Waterlea School, 17 House Avenue",3,6,1,34,0,0,83,4,219,2,355,100,0,0,3,810,2
"Mangere East","De La Salle College, 81 Gray Avenue",2,2,0,15,0,0,22,2,331,3,126,36,0,0,1,540,0
,"Kingsford School, 54 Raglan Street",2,1,0,13,1,0,12,8,588,1,72,44,0,0,0,742,16
,"Mangere East Primary School, 21 Yates Road",0,2,0,22,0,0,22,7,712,3,67,60,0,0,0,895,7
,"Selwyn Anglican Church Hall, corner Massey Road & Hain Avenue",1,5,0,25,0,0,21,3,458,1,113,57,0,0,0,684,9
,"Sutton Park School, 89 Vine Street",0,3,0,18,0,0,17,6,472,1,43,27,0,1,0,588,8
"Otahuhu","Middlemore Hospital, Hospital Road",0,0,0,3,0,0,5,1,45,2,19,8,0,0,0,83,1
,"Otahuhu College, 74-78 Mangere Road",1,1,0,1,0,0,2,0,12,0,6,0,0,0,0,23,1
"Otara","Otara Leisure Centre, Seminar Room, 115 Bairds Road ",0,0,0,0,0,0,0,0,19,0,6,2,0,0,0,27,0
"Papatoetoe","Aorere College, 6-8 Selfs Road",0,0,0,7,0,0,10,2,131,0,55,20,0,0,0,225,3
,"Kedgley Intermediate School, 181 Portage Road",1,2,0,12,1,0,19,8,337,4,173,53,0,0,0,610,4
,"Papatoetoe West School, 1-3 Hillcrest Road",2,1,0,2,0,0,15,5,171,0,77,20,0,0,2,295,2
,"Wesley Methodist Church Hall, 37 Kolmar Road",0,0,0,5,0,0,2,1,16,0,7,2,0,0,0,33,0
,"Voting places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day",18,16,1,267,2,0,264,79,4824,29,1161,596,2,0,7,7266,80
,"Special Votes BEFORE polling day",1,3,0,35,0,1,47,18,982,5,134,64,0,0,2,1292,12
,"Special Votes On polling day",10,8,2,65,0,1,94,32,1636,3,298,113,0,1,3,2266,18
,"Overseas Special Votes including Defence Force",1,1,0,3,0,0,18,2,90,1,38,11,0,0,1,166,2
,"Votes Allowed for Party Only",3,6,0,17,0,1,45,44,690,20,93,71,0,0,2,992,9
,"Māngere Total",68,86,10,839,7,3,1084,324,18470,124,4281,2008,5,3,26,27338,259
,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",27597
"Electorate Party Valid Votes for Māngere",,"Labour Party - .6756163582"
"ACT New Zealand",68,.0024873802
"Aotearoa Legalise Cannabis Party",86,.0031458044
"Ban1080",10,.0003657912
"Conservative",839,.0306898822
"Democrats for Social Credit",7,.0002560538
"Focus New Zealand",3,.0001097374
"Green Party",1084,.0396517668
"Internet MANA",324,.0118516351
"Labour Party",18470,.6756163582
"Māori Party",124,.004535811
"National Party",4281,.1565952155
"New Zealand First Party",2008,.0734508742
"NZ Independent Coalition",5,.0001828956
"The Civilian Party",3,.0001097374
"United Future",26,.0009510571
