Party and Electorate Candidate Votes Recorded at each voting place
"Maungakiekie 26","Party Vote Details"
,,"ACT New Zealand","Aotearoa Legalise Cannabis Party","Ban1080","Conservative","Democrats for Social Credit","Focus New Zealand","Green Party","Internet MANA","Labour Party","Māori Party","National Party","New Zealand First Party","NZ Independent Coalition","The Civilian Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Auckland City","Auckland High Court, corner Waterloo Quadrant & Parliament Street",0,0,0,2,0,0,4,1,7,0,5,0,0,0,0,19,0
"Ellerslie","Christ Church Anglican Church, 169 Ladies Mile",17,2,2,29,0,0,133,8,186,4,603,60,0,1,1,1046,6
,"Ellerslie Kindergarten, 122 Celtic Crescent",11,4,0,28,0,0,106,5,187,7,585,59,0,0,2,994,2
,"Michael Park School, 55 Amy Street",2,0,1,8,0,0,96,2,57,2,199,22,0,0,1,390,1
,"St Mary's Church Hall, 66 Main Highway",11,2,0,24,0,0,78,9,169,4,440,45,0,0,2,784,3
,"YMCA Centre, Downstairs Childcare Centre, 46 Michaels Avenue",2,0,0,16,0,0,72,2,106,4,341,23,0,0,1,567,2
"Epsom","Epsom Normal School, 41 The Drive",0,0,0,2,0,0,2,0,7,1,19,1,0,0,1,33,0
,"Sacred Heart Parish Hall, 19 Banff Avenue",3,0,0,0,0,0,3,0,3,0,8,0,0,0,0,17,0
"Glen Innes","Glen Innes Primary School, 38-42 Eastview Road",1,0,0,0,0,0,4,0,23,0,7,1,0,0,0,36,0
,"Glenbrae School, 103 Leybourne Circle",0,0,0,0,0,0,0,0,15,0,1,0,0,0,0,16,0
,"Grace International, 77 Line Road",12,0,0,7,0,0,3,3,77,0,24,4,0,0,0,130,2
,"Tamaki College, corner Elstree Avenue & Taniwha Street",0,1,0,1,0,0,6,1,50,1,2,4,0,0,0,66,0
"Grafton","Auckland City Hospital, Foyer, 2 Park Road",0,1,0,1,0,0,7,0,18,1,26,2,0,0,0,56,0
"Greenlane","Cornwall Park District School, corner Greenlane West & Wheturangi Roads",14,2,0,27,0,0,64,3,89,0,391,20,0,0,2,612,0
"Mt Wellington","Bailey Road School, 19 Bailey Road",12,8,1,42,0,0,87,5,538,2,505,83,1,2,3,1289,13
,"Panmure District School, 87 Mt Wellington Highway",19,1,1,36,0,0,59,9,324,4,382,53,0,0,3,891,11
,"Pensioner Flats Hall, 7 Rowlands Avenue",2,0,0,4,0,0,12,1,61,1,55,18,0,0,0,154,2
,"Stanhope Road School, 2B Harris Road",20,3,1,63,0,0,159,5,500,8,658,85,0,1,3,1506,18
,"Sylvia Park School, 3 Longford Street",25,0,0,28,0,0,69,4,306,7,304,57,0,1,1,802,6
"One Tree Hill","Oranga School, 21 Rangipawa Road",16,2,0,38,0,0,122,12,239,0,490,83,0,1,4,1007,2
,"St Oswald's Anglican Church Hall, 193 Campbell Road",19,3,0,55,0,0,94,5,166,6,632,63,1,0,2,1046,3
"Onehunga","Onehunga Co-operating Parish, corner Grey Street & Onehunga Mall",8,1,0,23,0,0,110,8,300,1,349,59,0,0,4,863,7
,"Onehunga High School, 24 Pleasant Street",2,2,0,5,0,0,17,2,75,1,106,12,0,0,1,223,4
,"Onehunga Primary School, 122 Arthur Street",3,0,0,10,1,0,83,7,233,4,316,42,0,0,2,701,0
,"St Peter's Anglican Church, corner Church Street & Onehunga Mall",17,4,0,28,0,0,78,8,358,4,317,71,1,0,4,890,15
"Oranga","St Stephen's Church Hall, 21 Waitangi Road",5,2,0,14,1,0,30,10,334,3,94,40,0,0,1,534,5
,"Te Papapa School, 219 Mt Smart Road",9,5,0,19,0,0,84,7,342,2,279,55,2,0,3,807,6
"Otahuhu","Otahuhu Intermediate School, 22-24 Luke Street",0,0,0,6,0,0,5,2,88,2,35,7,0,0,0,145,4
,"Panama Road School, 139 Panama Road",11,4,0,26,0,0,43,17,606,6,181,67,0,0,0,961,21
"Panmure","Panmure Bridge Primary School, 76 Kings Road",12,1,0,14,0,1,29,4,176,2,168,43,0,0,1,451,3
