Party and Electorate Candidate Votes Recorded at each voting place
"Northcote 34","Party Vote Details"
,,"ACT New Zealand","Aotearoa Legalise Cannabis Party","Ban1080","Conservative","Democrats for Social Credit","Focus New Zealand","Green Party","Internet MANA","Labour Party","Māori Party","National Party","New Zealand First Party","NZ Independent Coalition","The Civilian Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Beach Haven","Maria Assumpta Parish Hall, 198 Beach Haven Road",4,3,0,35,0,0,88,5,272,3,307,83,0,2,3,805,1
,"The Beach Haven Hall, 336 Rangatira Road",9,16,2,65,0,0,301,25,504,12,765,154,0,1,7,1861,7
"Birkdale","Birkdale Intermediate School, 200 Birkdale Road",22,3,0,46,2,0,148,11,398,10,656,150,1,3,5,1455,2
,"Birkdale North School, 213 Birkdale Road",4,7,1,22,0,0,63,8,145,5,237,66,1,0,4,563,4
,"Birkenhead Baptist Church Hall, 25 Birkdale Road",14,5,2,54,1,0,137,9,250,6,520,83,0,1,6,1088,5
"Birkenhead","All Saints Hall, 187 Hinemoa Street",8,4,0,30,0,1,228,9,204,2,701,82,0,2,2,1273,1
,"Chelsea Primary School, 2 Onetaunga Road",18,4,1,47,1,0,162,9,197,5,928,64,1,1,6,1444,3
,"North Shore Church of Christ, 3 Willow Avenue",6,0,2,28,0,1,76,6,110,2,290,24,0,0,2,547,0
,"Zion Hill Methodist Church Hall, corner Onewa Road & Birkenhead Avenue",22,4,1,83,1,0,194,12,314,6,788,108,0,3,3,1539,1
"Glenfield","Glenfield College, 52-60 Kaipatiki Road",9,2,0,19,0,0,20,6,122,0,220,41,0,0,4,443,0
,"Glenfield Community Centre, corner Glenfield Road & Bentley Avenue",31,3,1,45,0,0,71,19,293,1,421,60,0,2,1,948,7
,"Glenfield Primary School, 101 Chivalry Road",13,3,0,26,0,0,52,6,166,3,345,54,1,0,3,672,0
,"Manuka Primary School, 34 Manuka Road",0,3,0,1,0,0,8,0,22,0,32,5,0,0,1,72,1
,"Marlborough Primary School, 4 Wykeham Place",17,1,2,58,0,0,59,9,240,2,400,64,0,0,2,854,5
,"Target Road Primary School, 80 Target Road",0,0,0,6,0,0,5,0,7,0,16,4,0,0,2,40,1
,"Windy Ridge School, 50 Seaview Road",17,5,1,58,2,0,83,8,199,3,519,73,0,2,0,970,1
"Little Shoal Bay","Northcote Bowling Club, 9 Council Terrace",5,0,0,14,0,0,63,1,62,1,313,24,0,1,4,488,0
"Milford","North Shore Hospital, Shakespeare Road",1,0,0,3,0,0,4,0,19,0,15,2,0,0,0,44,0
"Northcote","Northbridge Retirement Village Hall, 45 Akoranga Drive",4,0,0,29,0,0,63,4,98,2,275,41,0,0,1,517,1
,"Northcote Intermediate, 145 Lake Road",68,7,0,69,1,0,157,8,451,7,749,111,1,0,4,1633,8
,"Northcote Primary School, corner Lake & Onewa Roads",15,1,0,31,0,0,130,4,189,5,603,51,0,0,3,1032,0
,"Sunnybrae Normal School, 36 Sunnybrae Road",51,3,0,51,0,0,126,8,257,10,717,106,2,1,5,1337,7
,"Tongan Methodist Church Hall, corner Queen Street & Stafford Road",10,2,0,23,2,0,77,3,108,4,428,31,0,0,1,689,1
,"Willow Park School, 13 Compton Street",30,3,0,112,3,0,238,12,333,5,1142,124,0,0,8,2010,2
"Sunnynook","Wairau Intermediate School, 113 Becroft Drive",2,0,0,2,0,0,1,0,4,0,18,3,0,0,0,30,0
"Takapuna","Takapuna Normal Intermediate School, 54b Taharoto Road",1,0,0,5,0,0,7,0,8,0,19,5,0,0,0,45,1
,"Takapuna School, 23 Auburn Street (or Anzac Street entrance)",2,1,0,4,0,0,12,0,9,0,48,6,0,0,0,82,1
,"Voting places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day",119,15,2,388,6,1,820,71,1755,38,4186,667,2,6,29,8105,37
,"Special Votes BEFORE polling day",11,8,1,36,0,0,146,15,242,6,474,68,0,0,2,1009,2
,"Special Votes On polling day",40,12,1,97,1,1,340,40,581,19,1163,169,0,1,9,2474,9
,"Overseas Special Votes including Defence Force",7,0,0,18,0,0,153,10,98,2,363,19,0,0,1,671,2
,"Votes Allowed for Party Only",13,7,0,17,0,0,67,18,146,3,242,42,1,0,3,559,7
,"Northcote Total",573,122,17,1522,20,4,4099,336,7803,162,17900,2584,10,26,121,35299,117
,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",35416
"Electorate Party Valid Votes for Northcote",,"National Party - .5070965183"
"ACT New Zealand",573,.0162327545
"Aotearoa Legalise Cannabis Party",122,.0034561886
"Ban1080",17,.0004816
"Conservative",1522,.0431173688
"Democrats for Social Credit",20,.0005665883
"Focus New Zealand",4,.0001133177
"Green Party",4099,.1161222698
"Internet MANA",336,.0095186832
"Labour Party",7803,.2210544208
"Māori Party",162,.0045893651
"National Party",17900,.5070965183
"New Zealand First Party",2584,.0732032069
"NZ Independent Coalition",10,.0002832941
"The Civilian Party",26,.0007365648
"United Future",121,.0034278591
