Party and Electorate Candidate Votes Recorded at each voting place
"Pakuranga 38","Party Vote Details"
,,"ACT New Zealand","Aotearoa Legalise Cannabis Party","Ban1080","Conservative","Democrats for Social Credit","Focus New Zealand","Green Party","Internet MANA","Labour Party","Māori Party","National Party","New Zealand First Party","NZ Independent Coalition","The Civilian Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Botany Downs","Botany Downs Primary School, 35 Mirrabooka Avenue",4,0,0,2,0,0,3,0,5,0,34,5,0,0,0,53,0
,"Botany Downs Secondary College, 575 Chapel Road",6,0,0,7,0,0,7,0,7,0,53,1,0,0,1,82,0
,"Elim Christian Centre, 159 Botany Road",2,0,0,24,0,0,14,2,24,0,94,6,0,0,1,167,0
,"St Columba Presbyterian Church, 480 Ti Rakau Drive",2,0,0,1,0,0,3,2,9,0,24,4,0,0,0,45,0
"Bucklands Beach","Bucklands Beach Intermediate School, 247 Bucklands Beach Road",88,3,0,78,0,0,77,5,191,4,973,56,0,0,8,1483,4
,"Bucklands Beach Primary School, 107 Clovelly Road",24,2,0,64,0,0,78,7,110,8,977,59,1,1,3,1334,7
,"Macleans College, 2 Macleans Road",37,5,0,65,0,0,110,10,121,1,847,54,0,0,8,1258,4
,"Macleans Primary School, 10 Wycherley Drive",33,6,0,54,0,1,66,5,168,3,540,80,0,0,2,958,3
,"Stand Children's Services , 1-9 Pigeon Mountain Road",16,1,0,35,0,0,44,1,51,2,619,42,0,0,1,812,1
"Burswood","East City Wesleyan Church, 219 Burswood Drive",0,1,0,7,0,0,4,0,8,0,20,1,0,0,0,41,0
"Cockle Bay","Cockle Bay Playcentre, 17 Pah Road",3,0,0,2,0,0,4,0,6,0,43,0,0,0,0,58,0
"Dannemora","Point View Primary School, 25 Kilkenny Drive",0,0,0,1,0,0,3,0,2,1,14,2,0,0,0,23,0
"Highland Park","Rockabye Early Learning Centre, 122 Aviemore Drive",32,3,0,30,1,0,27,3,94,0,340,29,0,0,1,560,4
"Howick","Cockle Bay School, 24 Sandspit Road",5,1,0,29,0,0,44,2,65,1,505,55,0,2,1,710,0
,"Howick Intermediate School, 1 Botany Road",29,4,1,62,0,0,55,3,136,3,488,68,0,1,0,850,2
,"Owairoa  Primary School, corner Wellington & Nelson Streets",18,3,0,90,2,0,123,6,227,7,1062,103,0,2,2,1645,9
"Meadowlands","Auckland Fiji Methodist Church, 128 Whitford Road",0,0,0,7,0,0,5,0,20,1,93,12,0,0,0,138,0
"Mellons Bay","Mellons Bay Primary School, 140 Mellons Bay Road",27,3,0,43,0,0,48,1,68,1,613,57,0,0,0,861,0
"Northpark","Our Lady Star of the Sea School, 14 Oakridge Way",0,0,0,5,0,0,2,0,4,0,22,1,0,0,0,34,0
"Pakuranga","Anchorage Park Primary School, 16 Swan Crescent",7,1,0,22,0,0,29,0,120,0,187,38,0,0,1,405,1
,"Dance Xpress, 135 Cascades Road",18,4,0,41,0,0,30,8,95,3,343,48,0,0,1,591,0
,"Edgewater College, 32 Edgewater Drive",13,3,0,18,0,0,33,3,168,1,236,47,0,0,0,522,3
,"Elm Park School, 46 Gossamer Drive",40,8,1,53,0,0,74,4,216,2,506,103,2,1,2,1012,4
,"Farm Cove Intermediate School, 14-16 Butley Drive",76,1,2,85,0,0,89,14,257,5,956,122,0,2,4,1613,1
,"Pakuranga College, 176-180 Pigeon Mountain Road",86,4,1,107,1,1,111,9,332,8,1015,110,0,1,5,1791,3
,"Pakuranga Heights Primary School, 77 Udys Road",35,5,1,43,0,0,80,10,266,0,562,88,0,0,1,1091,6
,"Pakuranga Recreation & Youth Centre, 13c Reeves Road",50,5,0,92,0,0,76,11,334,5,670,100,1,1,6,1351,10
,"Riverhills Primary School, 13 Waikaremoana Place",12,3,0,28,0,1,30,1,120,3,206,46,0,0,1,451,3
,"Sunnyhills Primary School, 17 The Crest",39,0,0,78,1,1,79,7,142,6,1021,88,1,0,0,1463,1
"Shelly Park","Shelly Park School, 11-13 Sunnyview Avenue",0,0,0,0,0,0,3,0,4,0,13,0,0,0,1,21,0
"Somerville","Somerville Intermediate School, 39 Somerville Road",0,1,0,2,0,0,4,0,2,0,28,1,0,0,0,38,0
,"Voting places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day",230,22,4,573,2,0,448,56,1437,27,5685,795,3,2,17,9301,26
,"Special Votes BEFORE polling day",21,5,1,41,0,0,76,17,167,0,429,46,0,0,4,807,2
,"Special Votes On polling day",49,11,0,91,1,0,194,17,356,3,1056,127,0,3,5,1913,2
,"Overseas Special Votes including Defence Force",6,0,0,27,0,0,87,4,46,1,353,20,0,0,1,545,2
,"Votes Allowed for Party Only",13,4,0,23,0,0,32,6,133,12,227,42,0,0,1,493,3
,"Pakuranga Total",1021,109,11,1930,8,4,2192,214,5511,108,20854,2456,8,16,78,34520,101
,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",34621
"Electorate Party Valid Votes for Pakuranga",,"National Party - .6041135574"
"ACT New Zealand",1021,.0295770568
"Aotearoa Legalise Cannabis Party",109,.0031575898
"Ban1080",11,.0003186559
"Conservative",1930,.0559096176
"Democrats for Social Credit",8,.0002317497
"Focus New Zealand",4,.0001158749
"Green Party",2192,.0634994206
"Internet MANA",214,.0061993048
"Labour Party",5511,.1596465817
"Māori Party",108,.0031286211
"National Party",20854,.6041135574
"New Zealand First Party",2456,.0711471611
"NZ Independent Coalition",8,.0002317497
"The Civilian Party",16,.0004634994
"United Future",78,.0022595597
