Party and Electorate Candidate Votes Recorded at each voting place
"Rotorua 47","Party Vote Details"
,,"ACT New Zealand","Aotearoa Legalise Cannabis Party","Ban1080","Conservative","Democrats for Social Credit","Focus New Zealand","Green Party","Internet MANA","Labour Party","Māori Party","National Party","New Zealand First Party","NZ Independent Coalition","The Civilian Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Broadlands","Broadlands School, 2986 Broadlands Road",1,3,0,5,0,0,2,0,17,1,92,12,0,0,0,133,0
"Hamurana","Hamurana Play Centre, 38 Tauranga Direct Road",0,0,6,16,1,0,25,1,41,1,220,41,0,0,1,353,0
"Horohoro","Horohoro School, 69 Apirana Road",0,1,0,10,0,0,2,0,12,2,62,14,0,0,0,103,1
"Kaharoa","Kaharoa School, 296 Kaharoa Road",4,0,0,9,0,0,12,0,10,1,115,20,0,0,2,173,1
"Kaingaroa Forest","Administration Building, Dun Road",1,1,0,1,0,0,3,0,9,1,6,8,0,0,1,31,1
"Koutu","Te Kura O Te Koutu, 41-45 Russell Road ",2,5,0,5,0,0,18,1,40,3,45,22,0,0,0,141,1
"Lake Okareka","Lake Okareka Community Hall, 75 Loop Road",0,1,0,5,0,0,37,1,25,8,141,13,0,0,0,231,0
"Lake Rerewhakaaitu","Lake Rerewhakaaitu School, 9 Ash Pit Road",0,1,5,4,0,0,7,2,13,0,125,5,0,0,0,162,0
"Lake Rotoma","Rotoma and Rotoehu Community Hall, 167 State Highway 30",0,0,0,2,0,0,10,0,30,4,46,13,0,0,0,105,2
"Lake Tarawera","Lake Tarawera Playcentre, 10 Alexander Road",4,0,1,4,0,0,14,0,10,0,77,8,0,0,0,118,0
"Lynmore","Lynmore School, corner Te Ngae & Iles Roads",6,7,3,43,0,0,81,7,198,17,848,88,0,0,3,1301,4
,"Lynmore Scout Hall, Lewis Road",1,0,1,18,0,0,59,7,68,5,363,54,0,0,2,578,0
"Mamaku","Mamaku School, 54 Tarena Street",0,3,5,9,0,0,10,2,64,5,160,50,0,0,0,308,1
"Ngakuru","Ngakuru School, 913 Whirinaki Valley Road",0,1,2,20,0,0,10,0,23,2,162,20,0,1,0,241,0
"Ngapuna","Hurunga Marae, 15 Hurunga Street",0,0,0,1,0,0,3,5,21,5,21,5,0,0,0,61,1
"Ngongotaha","Ngongotaha Community Hall, 5 School Road",5,5,7,44,0,0,86,2,242,35,760,211,0,0,4,1401,1
"Ohauiti","Ohauiti Settlers Hall, 459 Ohauiti Road",1,0,0,31,0,0,21,1,15,4,173,29,0,0,1,276,0
"Okere Falls","Whangamarino School, 637 State Highway 33",0,0,0,4,0,0,20,0,34,2,77,27,0,0,0,164,2
"Oropi","Oropi School, 1334 Oropi Road",0,0,0,6,0,0,10,0,7,3,76,19,0,0,0,121,0
"Owhata","Owhata School Hall, 29-37 Brent Road",3,2,4,13,1,1,15,3,113,4,168,54,0,0,1,382,2
,"St Mark's Anglican Hall, corner Sunrise Avenue & Te Ngae Road",2,4,1,15,0,0,26,4,124,11,189,69,0,1,1,447,2
"Papamoa","Shop 32, Palm Beach Plaza, 7 Gravatt Road",2,1,0,4,0,0,6,0,9,0,77,12,1,0,0,112,1
"Pyes Pa","Pyes Pa School, 978 Pyes Pa Road",1,1,2,9,0,0,11,0,22,1,115,32,2,0,2,198,1
"Reporoa","Mihi School, 76 Springs Road",3,0,2,10,0,0,3,0,13,0,77,8,0,0,0,116,1
,"Reporoa Primary School, 34 Massey Road",2,2,2,10,0,0,9,0,37,4,195,23,0,0,0,284,0
"Rotoiti","Te Kura Kaupapa Māori O Te Rotoiti, 1620 State Highway 30",0,0,0,3,0,0,5,2,17,2,23,4,0,0,1,57,0
"Rotokawa","Rotokawa School, 6 Rotokawa Road",3,2,1,9,0,0,22,0,39,6,179,43,1,0,1,306,1
"Rotorua","Aorangi School, 3 Gem Street",2,4,3,17,0,0,29,14,185,9,240,109,1,0,2,615,1
,"Electorate Headquarters, Zen Centre, Level 2, 1135 Arawa Street",2,4,1,11,0,0,23,5,102,7,149,33,0,0,1,338,5
,"Gandhi Hall, 14-16 Gibson Street",0,2,2,7,0,1,15,3,98,8,85,33,0,0,0,254,3
,"Glenholme School Hall, 149 Ranolf Street",4,1,3,27,1,0,51,4,202,12,407,111,1,0,0,824,2
,"Homedale Kindergarten, 50 Homedale Street",0,4,0,11,0,0,21,4,87,2,81,45,0,0,1,256,0
,"Kaitao Middle School, 30 Bell Road",1,7,0,9,0,0,14,9,78,5,59,29,0,0,4,215,0
,"Kawaha Point School, 72 Aquarius Drive",5,3,0,20,0,0,47,4,180,14,404,103,0,2,1,783,1
,"Malfroy School, 196 Malfroy Road",1,4,0,37,0,0,46,6,253,6,308,83,0,0,1,745,2
,"Otonga School Hall, 105 Otonga Road",6,6,1,37,0,0,120,2,182,11,663,131,1,1,4,1165,7
,"Rotorua Intermediate School, 93-95 Malfroy Road",2,3,0,11,1,0,36,4,185,9,251,70,0,0,0,572,5
,"Rotorua Primary School Hall, corner Rangiuru and Arawa Streets",6,3,0,16,0,0,29,4,95,14,170,49,0,0,0,386,3
,"Rotorua Public Hospital, Pukeroa Street",0,2,0,6,1,0,18,1,61,2,78,17,0,0,0,186,0
,"St Andrew's Church Hall, 309 Old Taupo Road",0,3,1,16,0,0,42,7,95,3,328,73,1,1,3,573,1
,"St Chad's Communication Centre, 2 Devon Street",1,2,2,19,0,0,32,3,81,6,255,51,0,0,0,452,2
,"St John's Ambulance Hall, 31 Pererika Street",1,1,1,13,0,0,27,2,117,4,180,51,0,0,1,398,2
,"St Michael's Catholic School Hall, 168 Clayton Road",2,3,0,7,0,0,13,3,113,3,115,64,0,0,0,323,3
,"Sunset Primary School Hall, 150 Sunset Road",0,4,4,24,0,0,37,10,218,11,295,100,1,0,0,704,2
,"Waiariki Institute of Technology Cafeteria, Mokoia Drive",0,0,0,13,0,0,21,2,44,4,145,23,0,0,1,253,0
,"Westbrook School Hall, 362 Malfroy Road",2,4,4,54,1,0,66,1,198,22,641,137,0,1,1,1132,3
,"Western Heights High School, 70 Old Quarry Road",1,5,0,19,1,0,22,4,166,5,137,47,0,0,1,408,1
"Te Puke","Te Puke Memorial Hall, 130 Jellicoe Street",6,5,5,87,0,0,66,3,250,7,836,190,8,1,3,1467,6
,"Te Puke Primary School, corner Cameron Road & Kowhai Avenue",4,2,1,44,0,1,20,4,126,5,418,109,0,0,2,736,0
"Te Ranga","Te Ranga Hall, 1492 Te Matai Road",0,0,2,7,0,0,5,1,7,1,79,7,0,0,2,111,0
"Upper Atiamuri","Upper Atiamuri School, 2613 State Highway 30",0,0,0,3,0,0,0,0,2,1,69,8,0,0,1,84,0
"Waikite Valley","Waikite Valley School, 1090 Waikite Valley Road",0,1,0,6,0,0,8,1,20,1,153,20,0,0,0,210,0
"Waitangi","Te Kura Kaupapa Māori o Te Matai, 309 State Highway 2",1,0,0,1,0,0,2,1,4,0,16,6,0,0,0,31,0
"Welcome Bay","Baden Powell Hall, 39 Welcome Bay Road",1,0,0,3,0,0,8,1,4,1,39,10,0,0,0,67,0
,"Welcome Bay School, 309 Welcome Bay Road",1,1,0,10,1,0,13,0,12,2,63,11,0,0,1,115,0
,"Voting places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day",37,18,15,403,7,0,529,71,1815,130,4826,1126,12,3,20,9012,37
,"Special Votes BEFORE polling day",4,5,5,42,1,0,99,14,243,12,468,123,1,0,1,1018,6
,"Special Votes On polling day",7,13,7,50,0,0,197,22,419,21,813,175,3,0,1,1728,2
,"Overseas Special Votes including Defence Force",2,0,0,11,0,0,70,8,56,3,193,23,0,0,0,366,1
,"Votes Allowed for Party Only",2,10,2,10,0,1,36,16,230,18,104,68,0,0,0,497,4
,"Rotorua Total",142,160,101,1361,16,4,2289,272,7181,486,17660,4139,33,11,72,33927,122
,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",34049
"Electorate Party Valid Votes for Rotorua",,"National Party - .5205293719"
"ACT New Zealand",142,.004185457
"Aotearoa Legalise Cannabis Party",160,.0047160079
"Ban1080",101,.00297698
"Conservative",1361,.0401155422
"Democrats for Social Credit",16,.0004716008
"Focus New Zealand",4,.0001179002
"Green Party",2289,.067468388
"Internet MANA",272,.0080172134
"Labour Party",7181,.2116603295
"Māori Party",486,.014324874
"National Party",17660,.5205293719
"New Zealand First Party",4139,.1219972293
"NZ Independent Coalition",33,.0009726766
"The Civilian Party",11,.0003242255
"United Future",72,.0021222036
