Party and Electorate Candidate Votes Recorded at each voting place
"Te Atatū 53","Party Vote Details"
,,"ACT New Zealand","Aotearoa Legalise Cannabis Party","Ban1080","Conservative","Democrats for Social Credit","Focus New Zealand","Green Party","Internet MANA","Labour Party","Māori Party","National Party","New Zealand First Party","NZ Independent Coalition","The Civilian Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Glendene","Glendene School, 60 Barrys Road",0,0,0,0,0,0,9,0,21,0,17,1,0,0,0,48,0
"Henderson","Bruce McLaren Intermediate School, 61-69 Bruce McLaren Road",0,0,0,11,0,0,11,3,118,0,47,12,0,0,0,202,0
,"Henderson High School, 31 Henderson Valley Road",14,3,1,16,0,0,47,7,180,1,163,50,0,0,2,484,8
,"Henderson North School, 14 Norval Road",15,3,0,19,1,0,49,10,221,3,234,35,0,0,4,594,5
,"Henderson Primary School, 13 Montel Avenue",19,4,0,24,0,0,30,5,258,2,241,66,1,1,2,653,7
,"Henderson South School, 24 Garelja Road",2,0,0,14,0,0,15,1,141,1,59,29,1,0,2,265,3
,"Montessori at the Children's House, 1 Clover Drive",3,0,0,1,0,0,12,1,94,3,43,14,0,0,0,171,5
,"Summerland School, 62 Summerland Drive",19,7,1,74,0,0,97,8,461,3,904,100,1,0,3,1678,9
,"The Church of Jesus Christ of Latter-Day Saints, 7 Harvest Drive",4,0,0,14,0,0,23,2,126,1,209,32,0,0,0,411,2
,"Waitakere College, 42 Rathgar Road",28,5,0,48,0,0,62,11,479,1,420,87,0,0,2,1143,16
,"Western Heights School, 126 Sturges Road",47,7,1,80,0,0,110,20,563,6,1365,150,2,0,6,2357,9
"Lincoln","Lincoln North Kindergarten, 47a Longburn Road",10,2,0,8,0,0,17,5,126,2,72,26,0,0,1,269,3
,"Pomaria Primary School, 33a Pomaria Road",19,4,0,37,0,0,53,4,428,4,292,67,0,0,0,908,16
"Massey","Don Buck School, 124 Don Buck Road",0,0,0,6,0,0,12,1,45,0,47,7,0,0,0,118,0
"Ranui","Birdwood School, 23 Karepo Crescent",4,1,2,25,1,0,31,4,245,2,103,45,0,0,0,463,9
,"Ranui Pacific Islanders Presbyterian Church, 35 Armada Drive",5,3,0,10,0,0,33,5,298,0,98,36,0,0,0,488,2
,"Ranui Primary School, 16a Ranui Station Road",5,2,0,31,1,0,71,10,419,2,274,102,0,1,2,920,4
"Sunnyvale","Kelston Community Centre, 126 Awaroa Road ",0,1,0,4,0,0,10,0,25,1,21,2,0,0,0,64,1
,"Sunnyvale Primary School, 34 Ribblesdale Road",0,0,0,3,0,0,11,0,53,0,45,18,0,0,0,130,0
"Swanson","Swanson School, 703 Swanson Road",2,4,3,28,2,0,94,8,199,4,329,83,1,0,0,757,3
"Te Atatu Peninsula","Congregational Church of Samoa, 472-478 Te Atatu Road",4,6,0,34,0,0,77,2,177,8,307,50,0,0,1,666,5
,"Matipo Primary School, 63b Matipo Road",7,3,0,33,1,0,143,13,217,5,354,55,0,0,1,832,2
,"Peninsula Primary School, 22 Waipani Road",4,3,0,36,0,0,144,9,272,5,353,77,0,1,3,907,4
,"Rutherford Primary School, 2 Kotuku Street",6,5,0,25,0,0,68,8,179,9,252,50,1,0,3,606,8
,"Te Atatu Intermediate School, 8-12 Harbour View Road",6,4,1,58,1,0,139,12,462,11,739,143,1,0,2,1579,10
"Te Atatu South","Edmonton Primary School, corner School & Edmonton Roads",34,5,0,41,0,0,87,13,443,5,509,73,0,1,2,1213,9
,"Flanshaw Road School, 51 Flanshaw Road",6,2,0,49,1,0,104,13,362,4,421,90,0,0,0,1052,7
,"Freyberg Community School, 60 Roberts Road",13,3,2,38,0,0,105,9,295,4,493,90,1,0,1,1054,6
,"Rangeview Intermediate School, 5 Keru Place",12,2,0,27,0,0,45,3,174,4,209,35,0,0,0,511,0
,"Tirimoana School, 34 Kokiri Street",37,2,0,36,0,0,87,9,315,0,572,107,1,0,1,1167,7
"Westgate","Massey Presbyterian Church, 510 Don Buck Road",1,1,0,1,0,0,2,4,30,0,24,2,0,0,0,65,1
,"Voting places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day",69,10,0,291,0,0,449,78,2353,19,2848,694,2,0,5,6818,42
,"Special Votes BEFORE polling day",7,3,0,29,0,0,100,25,363,5,321,82,0,0,1,936,3
,"Special Votes On polling day",41,19,0,64,1,0,226,44,1021,15,890,189,0,1,5,2516,12
,"Overseas Special Votes including Defence Force",3,0,1,11,0,0,56,3,76,2,149,16,0,0,2,319,0
,"Votes Allowed for Party Only",4,8,0,17,0,0,55,30,364,10,190,69,0,0,1,748,5
,"Te Atatū Total",450,122,12,1243,9,0,2684,380,11603,142,13614,2784,12,5,52,33112,223
,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",33335
"Electorate Party Valid Votes for Te Atatū",,"National Party - .4111500362"
"ACT New Zealand",450,.0135902392
"Aotearoa Legalise Cannabis Party",122,.0036844648
"Ban1080",12,.0003624064
"Conservative",1243,.0375392607
"Democrats for Social Credit",9,.0002718048
"Focus New Zealand",0,0
"Green Party",2684,.0810582266
"Internet MANA",380,.011476202
"Labour Party",11603,.3504167673
"Māori Party",142,.0042884755
"National Party",13614,.4111500362
"New Zealand First Party",2784,.0840782798
"NZ Independent Coalition",12,.0003624064
"The Civilian Party",5,.0001510027
"United Future",52,.0015704276
