Party and Electorate Candidate Votes Recorded at each voting place
"Tukituki 54","Party Vote Details"
,,"ACT New Zealand","Aotearoa Legalise Cannabis Party","Ban1080","Conservative","Democrats for Social Credit","Focus New Zealand","Green Party","Internet MANA","Labour Party","Māori Party","National Party","New Zealand First Party","NZ Independent Coalition","The Civilian Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Akina","Hastings Central School, 400 Karamu Road South (corner Southampton Street)",3,5,1,75,0,0,79,1,280,1,382,78,0,1,2,908,4
"Argyll East","Argyll East School, 1071 Argyll East Road",0,0,1,4,0,0,4,0,3,1,57,1,0,0,0,71,0
"Ashley Clinton","Sherwood School, 358 Makaretu Road",3,0,0,7,0,0,10,0,20,0,98,6,0,0,1,145,0
"Bridge Pa","Bridge Pa School, 40 Maraekakaho Road",0,0,1,10,0,0,10,2,22,1,176,9,0,0,0,231,0
"Camberley","Community Centre, 703 Kiwi Street",0,4,0,8,0,1,3,4,125,5,9,26,0,0,0,185,0
,"Hawkes Bay Regional Hospital, Main Entrance, Omahu Road",1,1,0,13,0,0,14,0,67,1,76,15,0,0,2,190,2
"Clive","Clive Community Hall, 162 Main Road",4,6,5,34,0,0,128,11,206,5,517,88,0,0,4,1008,5
"Elsthorpe","Elsthorpe School, 25 Kenderdine Road",0,0,0,3,0,0,6,0,22,0,89,8,0,0,0,128,0
"Flaxmere","Flaxmere Primary School Hall, 12 Whitby Crescent",1,5,2,29,0,0,25,10,288,7,143,60,0,0,0,570,3
,"Irongate School, 16 Walton Way",2,3,1,11,1,0,13,3,137,5,49,22,0,0,0,247,5
,"Kimi Ora Community School, 1 Boston Crescent",0,0,0,4,0,0,5,3,103,1,11,10,0,0,0,137,7
,"Peterhead School Hall, 10 Peterhead Avenue",3,2,0,32,0,0,23,6,234,5,82,48,0,0,2,437,4
"Frimley","Frimley School, 202 Frimley Road",4,5,0,84,0,0,70,5,298,2,642,85,0,0,1,1196,10
"Hastings City","District Courthouse, 106 Eastbourne Street West",4,3,0,24,3,0,34,0,125,2,199,56,0,0,0,450,5
,"St John Ambulance Hall, 107 Southland Road",2,6,0,47,2,0,51,5,201,4,334,78,0,0,2,732,3
,"Wesley Hall, 108 Hastings Street South",2,1,0,7,0,0,14,5,73,2,40,20,0,0,0,164,2
"Haumoana","Haumoana Public Hall, 50 Haumoana Road",0,9,3,27,1,0,114,5,143,3,269,51,0,0,1,626,0
"Havelock North","Havelock North Bridge Club, 53 Brookvale Road",4,1,0,34,0,0,37,2,60,3,381,31,0,0,1,554,0
,"Havelock North Function Centre, 30 Te Mata Road",4,1,4,64,0,1,109,10,127,3,658,39,0,0,0,1020,2
