Party and Electorate Candidate Votes Recorded at each voting place
"Waikato 56","Party Vote Details"
,,"ACT New Zealand","Aotearoa Legalise Cannabis Party","Ban1080","Conservative","Democrats for Social Credit","Focus New Zealand","Green Party","Internet MANA","Labour Party","Māori Party","National Party","New Zealand First Party","NZ Independent Coalition","The Civilian Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Aka Aka","Aka Aka School, 809 Aka Aka-Otaua Road",3,1,1,12,0,0,10,0,17,0,113,11,0,0,1,169,1
"Buckland","Buckland School, 72 George Crescent",1,2,0,15,0,0,17,0,17,0,211,28,0,0,0,291,1
"Cambridge","Cambridge East School, corner Bowen & Williams Streets",0,0,1,3,0,0,5,0,7,0,37,2,0,0,0,55,0
,"Cambridge Middle School, corner Clare & Grey Streets",0,0,0,3,0,0,4,0,3,0,17,2,0,0,0,29,0
,"Cambridge Primary School, corner Wilson & Duke Streets",1,0,0,7,0,0,6,0,10,0,62,11,0,0,1,98,1
"Chartwell","Chartwell Cooperating Parish Hall, corner Comries Road & Belmont Avenue",0,0,0,1,0,0,1,0,8,0,14,4,0,0,0,28,0
,"Hukanui School, corner Hukanui Road & Pickering Crescent",0,0,0,0,0,0,2,0,4,1,27,3,0,0,0,37,0
"Claudelands","Southwell School, 200 Peachgrove Road",0,0,0,1,0,0,1,0,2,0,17,1,0,0,0,22,0
"Fencourt","Goodwood School, 517 Fencourt Road",0,0,0,14,0,0,15,0,15,4,169,21,0,0,0,238,1
"Glen Murray","Glen Murray Community Hall, 2400 State Highway 22",1,0,0,13,0,0,7,0,5,1,82,12,0,0,1,122,0
"Gordonton","Gordonton School, 50 Woodlands Road",0,0,2,68,1,0,28,1,41,11,341,40,0,0,2,535,0
"Hamilton City","Electorate Headquarters, 12 Ward Street",0,0,0,1,0,0,3,0,6,0,20,2,0,0,0,32,0
"Hamilton East","Marian Catholic School, 119 Firth Street",0,0,0,0,0,0,2,1,2,0,12,0,0,0,0,17,0
"Harrisville","Harrisville School, 202 Harrisville Road",1,0,1,9,0,0,18,1,32,1,188,38,0,0,0,289,1
"Hautapu","Hautapu School, corner Forrest & Hautapu Roads",1,0,0,10,0,0,3,0,12,0,139,26,0,0,0,191,1
"Hillcrest","Hillcrest Normal School, 218 Cambridge Road",0,0,0,9,0,0,16,1,16,0,143,19,1,0,0,205,0
,"Knighton Normal School, 45 Knighton Road",1,0,0,1,0,0,9,1,10,0,13,5,0,0,0,40,0
"Hinuera","Hinuera School, corner Highway 29 & Hinuera Road",0,0,0,15,0,0,7,1,11,3,190,26,0,0,4,257,0
"Horotiu","Horotiu School, Horotiu Bridge Road",2,0,0,9,0,0,11,1,20,2,98,23,0,0,0,166,0
"Horsham Downs","Horsham Downs School, 4 Martin Lane",1,0,0,25,0,0,4,0,15,2,152,5,0,1,1,206,0
"Huntly","Civic Centre, Riverside Room, 148 Main Street",4,4,3,18,0,0,23,3,136,2,138,61,0,0,0,392,0
,"Huntly War Memorial Hall, corner Tahua & Wight Streets",2,0,0,13,0,0,21,1,148,3,132,72,0,0,1,393,1
,"Huntly West Kindergarten, 26 Smith Avenue",0,1,0,6,0,0,8,6,95,1,94,34,0,0,1,246,2
,"Huntly West Primary School, Paki Street",1,5,0,10,0,0,6,4,83,1,55,25,0,0,0,190,2
,"Kimihia School, Tamihana Avenue",1,2,2,22,1,1,14,1,77,4,102,52,0,0,2,281,1
,"St Anthonys Catholic School, 102 Bailey Street",4,2,0,2,0,0,10,2,89,0,94,35,0,0,0,238,0
"Karapiro","Karapiro School, 705 State Highway 1",1,0,0,21,0,0,20,2,15,1,170,13,0,0,0,243,0
"Kiwitahi","Kiwitahi School, 8 Chepmell Road",1,1,0,11,0,1,5,0,5,1,135,14,0,0,0,174,1
"Mangatawhiri","Mangatawhiri School, 15 McKenzie Road",1,2,0,20,0,0,13,1,16,1,158,29,0,0,0,241,0
"Maramarua","Maramarua School, 2200 State Highway 2",0,0,1,4,0,0,0,0,8,1,64,11,0,0,0,89,1
"Matamata","Matamata College, 121 Firth Street",2,2,0,35,0,0,19,2,49,0,270,55,0,0,0,434,3
,"Matamata Primary School, 115a  Broadway",8,3,5,51,0,0,34,0,100,3,567,95,0,0,0,866,1
,"Memorial Centre, Tainui Street",9,7,7,79,2,0,61,4,128,5,750,129,0,1,5,1187,6
"Matangi","Matangi School, 599 Matangi Road",5,3,1,31,1,0,90,1,118,4,622,67,0,0,0,943,1
"Mercer","Mercer School, 15 Glass Road",1,1,0,6,1,0,4,0,16,0,72,16,0,0,1,118,0
"Meremere","Meremere School, Heather Green Avenue",2,0,0,10,0,0,4,1,22,2,33,6,0,0,0,80,0
"Morrinsville","David Street School, 45 David Street",5,13,2,49,1,0,48,4,166,3,589,122,0,0,2,1004,2
,"Kai-a-te-mata Marae, Kereone Road",0,0,0,5,0,0,2,0,11,1,22,2,0,0,0,43,0
,"Methodist Church Hall, 318 Thames Street",6,4,1,72,1,1,35,3,186,8,617,112,1,0,4,1051,0
,"Morrinsville College, Alexandra Avenue",5,3,0,15,0,0,26,2,101,0,343,64,0,0,0,559,2
"Motumaoho","Motumaoho School, 2085 State Highway 26",0,1,0,17,0,0,5,0,15,1,178,23,0,0,1,241,2
"Naike","Naike Community Hall (old school), State Highway 22",0,0,0,7,0,0,3,0,5,0,53,5,0,0,0,73,0
"Newstead","Newstead School, 429 Morrinsville Road",1,2,0,35,0,0,31,6,64,1,343,35,0,0,2,520,0
"Ngaruawahia","Ngaruawahia Primary School, Galileo Street",2,3,3,18,0,1,37,5,147,5,206,111,0,0,0,538,4
,"Turangawaewae Marae, River Road",2,0,0,2,0,0,9,2,29,2,40,14,0,0,0,100,2
,"Waipa School, Kia Toa Road",1,3,1,12,0,0,30,5,163,7,112,74,0,0,1,409,1
"Ohinewai","Ohinewai School, 39 Ohinewai South Road",1,0,1,6,0,0,1,0,8,1,77,12,0,0,0,107,0
"Okauia","Okauia Hall, 375 Okauia Springs Road",0,0,1,23,0,0,5,1,12,1,92,14,0,0,0,149,0
"Onewhero","Onewhero Area School, Hall Road",1,1,2,35,0,0,38,1,58,2,211,57,0,1,2,409,1
"Orini","Orini Combined School, 1389 Orini Road ",1,0,0,9,0,0,8,0,22,2,145,12,0,0,0,199,0
"Otaua","Otaua School, 53 Maioro Road",2,0,0,9,0,0,12,0,20,0,165,16,0,0,0,224,1
"Pokeno","Pokeno School, 54 Pokeno Road",2,3,1,26,0,0,39,4,51,4,404,74,0,0,1,609,0
"Port Waikato","Port Waikato Community Hall, Sunset Beach Car Park, Maunsell Road",2,2,2,8,0,0,14,1,29,2,65,46,0,0,0,171,0
"Pukekawa","Pukekawa School, 803 Highway 22",4,2,1,32,0,0,24,1,43,2,313,51,0,1,2,476,1
"Pukekohe","Pukekohe East School, 137 Runciman Road",1,1,1,7,0,0,4,0,5,0,48,8,0,0,0,75,0
,"Pukekohe Hill School, corner Ward Street & Green Lane",0,0,0,1,0,0,1,0,4,0,22,4,0,0,0,32,0
,"Pukekohe Intermediate School, 44 Queen Street",0,1,1,3,0,0,6,0,17,0,84,18,0,0,1,131,0
,"Valley School, East Street",1,0,1,2,0,0,7,0,1,0,29,1,0,0,0,42,0
"Pukemiro","Pukemiro School, 4 John Avenue",0,0,0,6,0,0,5,1,27,0,20,15,0,0,0,74,1
"Pukeoware","Pukeoware School, 479 Baldhill Road",1,2,0,3,0,0,4,0,6,0,42,5,0,0,0,63,0
"Puketaha","Puketaha School, 395 Puketaha Road",1,2,0,19,0,0,19,1,32,0,268,17,0,0,2,361,0
"Puni","Puni School, 357 Waiuku Road",0,2,0,6,1,0,8,1,22,1,135,12,0,0,0,188,0
"Raglan","Raglan Town Hall, 41 Bow Street",0,0,0,0,0,0,3,0,2,0,6,2,0,0,0,13,0
"Rangiriri","Rangiriri School, 39 Rangiriri Road",1,0,0,3,0,0,1,0,7,0,39,11,1,0,0,63,0
"Rototuna","Rototuna Primary School, 23 Strathmore Drive",0,0,1,0,0,0,2,0,3,0,26,3,0,0,0,35,0
,"Waikato Waldorf School, 85 Barrington Drive ",0,0,0,0,0,0,4,0,1,0,7,1,0,0,0,13,0
"Rototuna North","Te Totara Primary School, 31 Hector Drive",0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,8,0
"Ruawaro","Central Districts Memorial Hall, 757 Hetherington Roads",2,0,0,13,0,0,9,0,17,0,118,16,0,0,1,176,1
"Silverdale","Hillcrest High School, Masters Avenue",2,0,0,4,1,0,3,2,12,0,41,7,0,0,0,72,1
"Tamahere","Tamahere School, 37 Devine Road",5,4,0,49,0,0,87,0,120,9,918,51,0,0,4,1247,0
"Tauhei","Tauhei Combined School, 860 Tauhei Road",1,1,1,9,0,0,3,0,6,0,105,8,0,0,0,134,1
"Taupiri","Taupiri School, Green Lane Road",1,0,1,26,1,0,12,1,45,3,223,54,0,0,3,370,0
"Tauwhare","Tauwhare School, 20 Scotmans Valley Road ",3,1,0,31,0,0,33,1,45,2,296,38,0,0,0,450,0
"Te Kauwhata","Te Kauwhata College, Waerenga Road",4,6,4,37,0,0,34,2,77,9,363,63,1,0,1,601,8
"Te Kohanga","Te Kohanga School, 976 Tuakau-Port Waikato Main Road",0,0,1,12,0,0,7,0,15,1,61,14,0,0,0,111,0
"Te Miro","Te Miro School, 443 Te Miro Road",1,0,0,8,2,0,27,2,12,1,94,7,0,0,0,154,0
"Te Poi","Te Poi School, 3 Stopford Road",1,0,0,13,3,0,8,0,16,1,123,15,0,0,0,180,0
"Te Rapa","The Base (between Briscoes and Rebel Sport), 1 Pacific Crescent",0,1,0,0,0,0,5,0,8,0,37,6,0,0,0,57,0
"Tuakau","Tuakau Primary School, 6 School Road",3,0,1,20,1,0,24,1,69,2,210,60,0,1,2,394,0
,"Tuakau Town Hall, George Street",3,5,6,31,2,0,57,2,145,5,448,127,1,0,1,833,8
"Waerenga","Waerenga School, 1066 Taniwha Road",3,2,0,19,0,0,10,1,13,0,164,22,0,0,0,234,0
"Waharoa","Waharoa School, 32 Ward Street",0,0,0,2,0,0,5,0,14,1,47,15,0,0,0,84,1
"Waikaretu","Waikaretu School, 1448 Waikaretu Valley Road",1,1,0,1,0,0,7,0,7,1,42,5,0,0,0,65,0
"Waikato Hospital","Meade Clinical Centre, Level One (adjacent to Reception A), Pembroke Street",0,0,0,3,0,0,1,0,7,0,20,5,0,0,0,36,0
"Waiterimu","Waiterimu School, 166 Waiu Road",0,1,2,8,0,0,4,0,6,0,62,6,0,0,0,89,0
"Waiuku","View Road School, 16 View Road  ",1,0,0,2,0,0,1,0,7,0,21,4,0,0,0,36,0
,"Waiuku College, 43 Constable Road",0,0,0,5,0,0,6,0,3,1,45,14,0,0,0,74,0
,"Waiuku Primary School, George Street",0,1,0,12,0,0,9,0,12,0,91,15,0,0,0,140,0
"Walton","Walton School, Main Road",0,1,0,13,0,0,13,1,12,0,169,12,1,0,2,224,1
"Wardville","Wairere School, Wardville Road",1,0,0,7,0,0,6,0,3,1,96,4,0,0,2,120,1
"Whangamata ","Whangamata Memorial Hall, 328 Port Road",0,0,0,3,0,0,3,0,4,0,32,1,0,0,0,43,0
"Whitikahu","Whitikahu School, 763 Whitikahu Road",1,0,0,9,0,0,12,2,22,0,162,19,0,0,0,227,0
,"Voting places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day",44,30,16,541,13,2,383,45,1276,34,5221,954,4,1,16,8580,43
,"Special Votes BEFORE polling day",4,9,3,40,1,0,61,5,137,1,440,69,0,0,1,771,2
,"Special Votes On polling day",11,19,8,114,3,0,195,22,334,13,1295,228,0,1,5,2248,12
