Party and Electorate Candidate Votes Recorded at each voting place
"Waimakariri 57","Party Vote Details"
,,"ACT New Zealand","Aotearoa Legalise Cannabis Party","Ban1080","Conservative","Democrats for Social Credit","Focus New Zealand","Green Party","Internet MANA","Labour Party","Māori Party","National Party","New Zealand First Party","NZ Independent Coalition","The Civilian Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Akaroa","Akaroa Area School Gymnasium, 141 Rue Jolie (Selwyn Avenue entrance)",0,1,0,0,0,0,1,0,0,0,11,4,0,0,0,17,0
"Belfast","Belfast Salvation Army, 794 Main North Road",2,0,2,23,1,0,49,5,165,0,393,64,0,1,1,706,0
,"Belfast School, 700 Main North Road",5,3,2,53,2,0,84,1,279,2,916,123,0,1,4,1475,4
"Bishopdale","Bishopdale School Hall, 465 Greers Road",0,0,0,2,0,0,7,0,13,0,53,2,0,0,0,77,0
,"Cotswold School Hall, 44 Cotswold Avenue",3,0,3,18,0,0,35,2,68,3,448,35,0,0,2,617,0
"Christchurch City","Christchurch Public Hospital, The Great Escape Cafe, First Floor, 2 Riccarton Avenue",0,0,0,3,1,0,9,0,13,0,25,4,0,0,1,56,0
,"St Michael's Church School Hall, corner Tuam & Durham Streets",0,0,0,1,0,0,3,0,3,0,15,1,0,0,0,23,0
"Clarkville","Clarkville School, 10 Heywards Road",3,0,0,20,0,0,49,0,53,0,369,24,0,0,1,519,2
"Cust","Cust School, 473 Earlys Road",2,1,1,23,0,0,81,4,56,0,369,61,0,0,1,599,0
"Eyreton","Eyreton Hall, corner Mandeville & South Eyre Roads",0,0,1,13,0,0,26,0,41,1,184,17,0,0,3,286,0
"Fernside","Fernside Preschool, 207 O'Roarkes Road",1,1,0,26,1,1,45,1,49,0,416,23,0,0,0,564,0
"Kaiapoi","Kaiapoi Co-operating Parish, Wesley Centre, 53 Fuller Street",0,9,1,25,5,1,91,3,342,3,517,134,0,0,3,1134,4
,"Kaiapoi High School Auditorium,  101 Ohoka Road",0,3,1,29,2,0,91,1,268,0,608,107,0,1,2,1113,6
,"Kaiapoi North School, 278 Williams Street",0,6,3,42,3,0,142,6,340,3,749,150,0,0,2,1446,7
"Kainga","Kainga Public Hall, Kainga Road",0,0,0,0,0,0,2,0,4,0,2,2,0,0,0,10,0
"Mairehau","Mairehau High School, 440 Hills Road",0,0,0,0,0,0,3,1,5,0,11,1,0,0,0,21,0
"Marshland","Marshland School, 329 Prestons Road",0,0,0,0,0,0,4,0,12,0,37,3,0,0,0,56,0
"Ohoka","Ohoka School, 261 Jacksons Road",1,1,0,29,0,0,74,2,64,4,571,28,0,0,2,776,0
"Ouruhia","Ouruhia School Library, 21 Turners Road",0,0,0,1,0,0,5,0,9,0,17,5,0,0,0,37,1
"Oxford","Jaycee's Room, 56 Main Street",1,6,9,114,7,0,188,7,245,4,774,136,0,0,4,1495,3
"Papanui","Casebrook Intermediate, 90 Veitches Road",6,4,2,45,0,0,113,5,239,6,555,61,0,0,3,1039,4
,"Northcity Church, 95a Sawyers Arms Road",0,0,0,2,0,0,9,0,10,2,37,7,0,0,0,67,0
,"Papanui High School, 30 Langdons Road",0,1,0,0,0,0,8,1,6,0,37,4,0,0,0,57,0
,"Papanui Primary School, 40 Winters Road",0,0,0,1,0,0,3,0,4,0,8,2,0,0,0,18,0
,"St Joseph's School, 4 Vagues Road",0,0,1,3,1,0,10,1,24,0,70,5,0,1,0,116,0
,"The Village Presbyterian Church Hall, corner Papanui Road & Frank Street",0,1,0,0,0,0,0,0,1,0,10,1,0,0,0,13,0
"Pegasus","Pegasus Bay School, 5 Solander Road",7,2,0,28,0,0,55,0,103,2,452,40,0,0,0,689,3
"Rangiora","Ashgrove School, 48 Seddon Street",1,3,0,47,1,0,97,4,205,2,675,82,0,0,3,1120,1
,"McAlpine Band Hall, 8a Good Street (in New World carpark)",2,10,5,86,3,0,106,5,260,4,749,133,0,0,0,1363,5
,"Rangiora Borough School, 157 King Street",1,8,3,92,5,0,140,6,354,6,868,147,0,2,5,1637,8
,"Rangiora High School, 125 East Belt (entry off Wales Street)",0,5,1,32,3,0,65,3,103,1,302,43,0,1,0,559,1
,"Rangiora New Life School, 2 Denchs Road",1,1,3,64,4,0,49,2,144,2,480,70,0,0,0,820,2
"Redwood","Northcote School, 26 Tuckers Road",0,0,0,12,0,0,9,0,37,0,63,8,1,0,0,130,0
,"Redwood Play Centre, 40 Dunedin Street",0,0,0,1,0,0,3,0,1,0,6,1,0,0,0,12,0
,"Redwood School, 51 Prestons Road",2,0,0,9,0,0,8,0,21,0,174,7,0,0,0,221,0
,"Redwood Scout Hall, 20 Sturrocks Road",3,0,0,13,1,0,21,0,39,0,185,15,1,0,1,279,2
"Swannanoa","Swannanoa School, 1305 Tram Road ",0,0,2,34,0,0,54,1,72,1,436,33,0,0,2,635,3
"Tuahiwi","Tuahiwi School, 206 Tuahiwi Road",0,0,0,9,1,0,34,0,42,4,109,21,0,0,0,220,0
"View Hill","View Hill School, 496 Island Road",1,0,1,11,0,0,15,0,14,1,75,6,0,0,0,124,0
"Waikuku Beach","Waikuku Beach Hall, corner Park Terrace & Domain Road",1,6,0,17,1,0,69,6,84,3,173,34,0,0,0,394,1
"West Eyreton","West Eyreton School, 1650 North Eyre Road",0,2,1,27,2,0,48,5,82,5,313,42,0,1,1,529,1
"Woodend","Woodend School, Main North Road",2,4,1,37,2,0,125,4,254,2,653,132,0,0,3,1219,10
,"Voting places where less than 6 votes were taken",0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,3,1
,"Ordinary Votes BEFORE polling day",23,19,10,443,21,3,715,37,2000,22,5794,950,4,4,12,10057,39
,"Special Votes BEFORE polling day",0,4,3,24,0,0,73,3,157,1,401,62,0,0,2,730,2
