Party and Electorate Candidate Votes Recorded at each voting place
"Wairarapa 58","Party Vote Details"
,,"ACT New Zealand","Aotearoa Legalise Cannabis Party","Ban1080","Conservative","Democrats for Social Credit","Focus New Zealand","Green Party","Internet MANA","Labour Party","Māori Party","National Party","New Zealand First Party","NZ Independent Coalition","The Civilian Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Alfredton","Alfredton School, corner Alfredton Road & Route 52",0,0,0,3,0,0,0,0,5,1,89,4,0,0,0,102,0
"Carterton","Carterton Kindergarten, 3 Victoria Street",6,1,3,22,0,0,63,4,221,5,432,155,0,0,0,912,1
,"Carterton School Hall, corner Holloway & Dixon Streets",0,3,3,49,1,1,150,7,239,7,582,176,0,0,4,1222,1
,"Dalefield School, corner Dalefield & Thomas Roads",0,2,5,17,0,0,22,1,40,1,163,21,0,0,2,274,0
,"South End School, 275 High Street South",1,5,2,49,0,0,87,6,171,3,363,107,0,1,0,795,2
,"West Taratahi Community Hall, 713 Chester Road",0,0,2,22,0,0,30,2,32,1,168,29,0,0,1,287,0
"Dannevirke","Dannevirke High School Canteen, Grant Street",0,2,0,6,0,0,25,0,33,1,146,24,0,0,0,237,1
,"Dannevirke South School Hall, corner Stairs & Hunter Streets",1,6,4,21,0,0,18,2,83,1,249,52,0,1,0,438,2
,"Dannevirke Sports Centre, Anderson Street",0,2,1,4,1,0,13,0,40,1,106,29,0,1,1,199,0
,"Huia Range School, corner Cole & High Streets",4,8,0,18,0,0,30,0,122,3,248,76,0,0,0,509,1
,"Ruahine School, 333 Maharahara Road",0,1,1,8,0,0,4,0,14,0,144,7,0,0,0,179,0
,"The Hub, Allardice Street",3,4,0,48,1,0,32,4,93,1,328,102,0,0,0,616,1
,"Totara College, 3 Ruahine Street",1,2,0,14,0,0,8,0,41,0,150,30,0,0,1,247,0
"Eketahuna","Eketahuna School, Albert Street",0,3,5,10,1,0,17,1,68,1,245,57,0,0,1,409,1
"Featherston","Featherston School Hall, corner Lyons & Revans Streets",3,5,10,35,0,0,140,5,319,6,341,151,0,2,2,1019,2
,"South Featherston School, South Featherston Road",0,1,0,6,0,0,18,2,26,0,88,25,0,0,0,166,0
"Gladstone","Gladstone School Hall, Te Whiti Road",2,1,4,7,0,0,34,1,30,1,263,22,0,0,3,368,1
"Greytown","Greytown School Hall, East Street",2,4,5,34,0,1,172,2,234,9,760,128,0,1,1,1353,1
,"Kuranui College Student Centre, Bidwells Cutting Road",2,1,1,20,0,0,41,0,44,1,149,21,0,1,2,283,1
"Kahutara","Kahutara School Sports Centre, 990 Kahutara Road",2,2,2,6,0,0,7,1,22,1,95,12,0,0,0,150,0
"Mangamaire","Mangamaire School, 192 Tutaekara Road",0,0,1,5,0,0,0,0,17,0,120,10,0,0,0,153,0
"Mangatainoka","Mangatainoka School, corner State Highway 2 & Makuri Street",0,0,1,9,0,0,7,1,20,0,113,21,0,0,1,173,1
