Party and Electorate Candidate Votes Recorded at each voting place
"Hauraki-Waikato 65","Party Vote Details"
,,"ACT New Zealand","Aotearoa Legalise Cannabis Party","Ban1080","Conservative","Democrats for Social Credit","Focus New Zealand","Green Party","Internet MANA","Labour Party","Māori Party","National Party","New Zealand First Party","NZ Independent Coalition","The Civilian Party","United Future","Total Valid Party Votes","Informal Party Votes"
,Auckland Central
"Waiheke Island","Matiatia Oneroa Ratepayers - Morra Hall, 115 Ocean View Road",0,0,0,0,0,0,8,1,4,0,4,8,0,0,0,25,0
,"Omiha Memorial Hall, 2 Glen Brook Road",0,0,0,0,0,0,4,2,3,2,1,0,0,0,0,12,0
,"Onetangi Residents Association Hall, corner Waiheke Road & Third Avenue",0,0,0,1,0,0,1,2,1,1,2,0,0,0,0,8,0
,"Ostend Memorial Hall, 76 Ostend Road",1,3,0,0,0,0,11,2,8,2,1,6,0,0,0,34,0
,"Palm Beach Hall, 64 Palm Road",0,0,0,0,0,0,0,0,2,0,1,4,0,0,0,7,0
,"Surfdale Community Hall, 6 Hamilton Road",0,1,0,0,0,0,1,1,5,0,1,3,0,0,0,12,0
,"Waiheke High School, 11 Donald Bruce Road",0,0,0,0,0,0,4,0,4,1,0,1,0,0,0,10,0
,Botany
"Flat Bush","Baverstock Oaks School, 21 Baverstock Road",0,0,0,1,0,0,1,0,10,2,3,6,0,0,0,23,0
,Coromandel
"Coromandel","Coromandel Area School Hall, 120 Woollams Avenue",0,2,0,0,0,0,8,7,19,9,7,9,0,0,0,61,1
"Kaiaua","Kaiaua School, 1061 East Coast Road",0,0,0,0,0,0,1,1,20,6,10,6,0,0,0,44,0
"Kennedy Bay","Te Kura Kaupapa Māori O Harataunga, 1416 Kennedy Bay Road",0,0,0,0,0,0,3,6,7,5,2,5,0,0,0,28,1
"Kerepehi","Kerepehi School, 11 McGowan Avenue ",0,1,0,0,0,0,1,2,18,4,0,6,0,0,0,32,1
"Manaia","Manaia School, 22 Goldfields Road",0,1,0,0,0,0,9,10,13,18,2,9,0,0,0,62,0
