Party and Electorate Candidate Votes Recorded at each voting place
"Dunedin North 8","Party Vote Details"
,,"ACT New Zealand","Aotearoa Legalise Cannabis Party","Ban1080","Conservative","Democrats for Social Credit","Focus New Zealand","Green Party","Internet MANA","Labour Party","Māori Party","National Party","New Zealand First Party","NZ Independent Coalition","The Civilian Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Bradford","Bradford School, 42a Bradford Street",0,1,1,5,0,0,31,2,102,1,72,22,0,0,0,237,2
"Brockville","Brockville School, 263 Brockville Road",2,6,2,20,1,0,78,9,357,3,162,86,1,0,2,729,2
"Careys Bay","Port Chalmers Fishermen's Co-Op Society Offices, 10 Macandrew Road",1,2,0,0,1,0,45,8,67,0,44,10,1,0,1,180,1
"Caversham","Carisbrook Main School (previously known as Caversham School), 217 South Road",0,3,0,3,2,0,23,1,63,0,35,7,0,0,0,137,2
"Dunback","Coronation Hall, 1238 Dunback-Morrisons Road (State Highway 85)",0,0,1,5,0,0,11,2,21,0,117,7,0,0,0,164,0
"Dunedin City","Age Concern Otago, Lower Octagon (beside Moran Building)",6,0,0,8,0,0,125,10,102,1,76,14,0,0,0,342,0
,"Arthur Street School, 26 Arthur Street",2,3,0,10,0,0,101,17,103,2,110,19,0,0,1,368,1
,"Dunedin Hospital, 1st Floor Foyer to Lecture Halls, 201 Great King Street",1,0,0,5,0,0,72,8,98,1,77,16,0,0,0,278,0
,"Malcam Trust, Jubilee Park (off Maori Road)",0,1,0,7,0,0,36,2,51,0,58,5,0,0,0,160,0
,"Salvation Army McMillan Lounge, 575 Princes Street",0,3,0,7,1,0,57,13,134,2,91,22,0,1,2,333,0
"Dunedin North","All Saints Church Hall, 786 Cumberland Street",3,3,1,12,0,0,115,7,116,5,161,24,0,2,0,449,1
,"George Street Normal School, 989 George Street",1,5,1,31,2,0,211,12,268,2,293,47,0,1,6,880,3
,"Kelsey Yaralla Kindergarten, 4 Trent Avenue",1,0,0,0,0,0,17,2,16,1,38,1,0,0,2,78,0
,"Knox Church Hall, 453 George Street ",2,2,0,11,1,0,121,10,147,7,171,23,0,1,3,499,2
,"University of Otago College of Education, 141 Union Street",2,3,0,1,0,0,37,3,43,0,55,5,0,0,0,149,1
,"University of Otago, ISB Link East, 630 Cumberland Street",7,4,1,11,0,0,130,13,116,1,201,16,0,0,2,502,0
,"University of Otago, ISB Link West, 630 Cumberland Street",1,7,2,7,0,0,101,8,90,1,106,12,0,0,1,336,0
"Forbury Corner","St Bernadette's School Hall, 16 Forbury Road",1,0,0,0,1,0,10,1,6,0,6,2,0,0,0,27,0
"Halfway Bush","Halfway Bush Community Hall, 54 Ashmore Street",0,1,0,15,1,0,62,2,264,2,144,73,0,3,2,569,1
"Hampden","Hampden Primary School, 41-47 Norwich Street",0,0,2,13,0,0,26,2,66,1,117,36,0,0,0,263,4
"Herbert","Public Hall, 17 Tain Street",2,0,3,19,0,0,21,1,20,1,105,11,0,0,0,183,0
