10 Dunedin North,"MARTIN, Willie (ACT New Zealand)","BILLOT, Victor (Alliance)","BAKER-SHERMAN, Jason (Aotearoa Legalise Cannabis Party)","JAMIESON, Philippa (Green Party)","BOYACK, James (Jim Anderton's Progressive)","HODGSON, Pete (Labour Party)","RICH, Katherine (National Party)","PETERS, Mark (United Future New Zealand)",Informal Candidate Votes,Party Vote Only,Total % 
 99 MP Party,  0.00,  0.00, 10.00, 10.00, 20.00, 10.00, 40.00,  0.00, 10.00,  0.00,100.00 
ACT New Zealand, 16.15,  0.00,  0.93,  3.11,  0.00, 10.56, 67.08,  0.62,  0.93,  0.62,100.00 
Alliance,  0.00, 38.46,  0.00,  7.69,  3.08, 33.85, 13.85,  1.54,  0.00,  1.54,100.00 
Aotearoa Legalise Cannabis Party,  1.05,  2.11, 51.58,  8.42,  0.00, 28.42,  6.32,  0.00,  2.11,  0.00,100.00 
Christian Heritage NZ,  8.57,  2.86,  0.00, 14.29,  0.00, 11.43, 20.00, 37.14,  2.86,  2.86,100.00 
Democrats for Social Credit, 19.05, 14.29,  0.00,  4.76,  4.76, 14.29, 28.57, 14.29,  0.00,  0.00,100.00 
Destiny New Zealand,  2.56,  3.85,  0.00,  1.28,  2.56, 24.36, 28.21, 28.21,  7.69,  1.28,100.00 
Direct Democracy Party, 25.00,  0.00, 25.00,  0.00,  0.00,  0.00, 50.00,  0.00,  0.00,  0.00,100.00 
Green Party,  0.20,  2.74,  2.77, 25.00,  0.51, 60.61,  6.82,  0.25,  0.34,  0.76,100.00 
Jim Anderton's Progressive,  0.00,  1.86,  0.93,  3.94, 17.40, 52.67, 19.95,  1.62,  1.39,  0.23,100.00 
Labour Party,  0.27,  0.51,  1.43,  7.46,  0.83, 80.51,  7.08,  0.59,  0.48,  0.84,100.00 
Libertarianz, 14.29,  7.14,  0.00, 14.29,  0.00, 42.86, 14.29,  0.00,  7.14,  0.00,100.00 
Mâori Party,  0.00,  2.08,  6.25, 13.54,  3.13, 37.50, 23.96,  2.08,  4.17,  7.29,100.00 
National Party,  0.75,  0.13,  0.57,  1.06,  0.39,  4.72, 89.85,  1.61,  0.34,  0.57,100.00 
New Zealand Family Rights Protection Party,  0.00,  0.00,  0.00,  0.00,  0.00, 66.67, 33.33,  0.00,  0.00,  0.00,100.00 
New Zealand First Party,  0.86,  2.26,  3.33,  2.15,  4.30, 24.06, 51.34,  6.02,  4.40,  1.29,100.00 
OneNZ Party,  0.00,  0.00,  0.00, 25.00,  0.00,  0.00, 25.00, 25.00, 25.00,  0.00,100.00 
The Republic of New Zealand Party, 25.00,  0.00,  0.00, 25.00,  0.00,  0.00, 25.00,  0.00, 25.00,  0.00,100.00 
United Future New Zealand,  0.55,  0.55,  0.11,  1.33,  0.67, 21.64, 41.51, 32.63,  0.55,  0.44,100.00 
Informal Party Votes,  0.00,  0.00,  0.00,  1.41,  1.41, 19.72, 11.27,  5.63, 60.56,  0.00,100.00 
Overall Percentage,  0.60,  0.82,  1.52,  7.34,  1.01, 54.25, 30.96,  1.99,  0.74,  0.77,100.00 
