11 Dunedin South,"WILDEN, Alan (ACT New Zealand)","FORD, Chris (Alliance)","DAGLISH, Brent (Destiny New Zealand)","THOMLINSON, Peter (Green Party)","VAUGHAN, Martin (Jim Anderton's Progressive)","BENSON-POPE, David Henry (Labour Party)","POWELL, Conway (National Party)","HEWARD, Alan (New Zealand First Party)","WANSINK, Robert (Restore All Things in Christ)","MOFFAT, Pauline (United Future New Zealand)",Informal Candidate Votes,Party Vote Only,Total % 
 99 MP Party,  0.00,  0.00,  0.00,  0.00,  0.00, 25.00, 75.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
ACT New Zealand, 20.30,  0.38,  1.13,  1.50,  0.00, 11.28, 59.77,  1.88,  0.38,  0.75,  1.88,  0.75,100.00 
Alliance,  0.00, 42.31,  1.92,  3.85,  3.85, 36.54,  5.77,  3.85,  0.00,  0.00,  1.92,  0.00,100.00 
Aotearoa Legalise Cannabis Party,  1.11,  1.11,  3.33, 36.67,  0.00, 37.78, 10.00,  2.22,  0.00,  1.11,  3.33,  3.33,100.00 
Christian Heritage NZ,  2.86,  0.00, 17.14,  0.00,  0.00, 11.43, 20.00,  0.00, 25.71, 20.00,  2.86,  0.00,100.00 
Democrats for Social Credit,  0.00,  0.00,  3.33, 10.00, 13.33, 36.67,  0.00,  6.67, 10.00, 10.00, 10.00,  0.00,100.00 
Destiny New Zealand,  0.78,  0.78, 78.13,  0.78,  0.78,  7.81,  5.47,  0.00,  0.78,  3.91,  0.78,  0.00,100.00 
Direct Democracy Party,  0.00,  0.00,  0.00, 12.50, 12.50, 12.50,  0.00, 25.00,  0.00, 12.50, 25.00,  0.00,100.00 
Green Party,  0.10,  1.19,  0.42, 32.09,  0.78, 60.02,  2.75,  0.21,  0.16,  0.62,  0.57,  1.09,100.00 
Jim Anderton's Progressive,  0.40,  0.60,  1.00,  2.20, 32.20, 54.60,  4.20,  1.40,  0.40,  2.40,  0.60,  0.00,100.00 
Labour Party,  0.25,  0.54,  0.40,  6.60,  1.77, 85.16,  1.47,  1.27,  0.11,  0.99,  0.81,  0.62,100.00 
Libertarianz, 12.50,  0.00, 12.50, 12.50,  0.00, 12.50, 25.00,  0.00, 12.50,  0.00, 12.50,  0.00,100.00 
Mâori Party,  0.00,  0.00,  1.30, 23.38,  6.49, 33.77,  6.49,  9.09,  1.30,  1.30,  9.09,  7.79,100.00 
National Party,  1.01,  0.21,  0.90,  1.28,  0.59,  6.40, 84.81,  1.54,  0.27,  1.84,  0.80,  0.36,100.00 
New Zealand Family Rights Protection Party,  0.00,  0.00,  0.00,  0.00,  0.00, 25.00, 25.00, 25.00,  0.00,  0.00, 25.00,  0.00,100.00 
New Zealand First Party,  0.77,  0.26,  2.37,  1.41,  2.82, 21.05, 23.86, 44.21,  0.26,  1.34,  1.34,  0.32,100.00 
OneNZ Party,  0.00,  0.00,  0.00,  0.00,  0.00, 16.67,  0.00, 16.67, 33.33,  0.00, 33.33,  0.00,100.00 
The Republic of New Zealand Party,  0.00,  0.00,  0.00,100.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
United Future New Zealand,  0.57,  0.57,  7.28,  1.48,  2.16, 18.20, 25.48,  1.37,  1.59, 39.70,  1.37,  0.23,100.00 
Informal Party Votes,  0.00,  0.00,  0.79,  3.15,  1.57, 21.26,  5.51,  0.79,  0.79,  1.57, 63.78,  0.79,100.00 
Overall Percentage,  0.64,  0.53,  1.12,  6.15,  1.88, 56.04, 26.28,  3.20,  0.25,  2.22,  1.12,  0.56,100.00 
