13 East Coast Bays,"STONE, Andrew (ACT New Zealand)","STEEMSON, John (Democrats for Social Credit)","FAHY, Patrick (Direct Democracy Party)","ELLEY, Jeanette (Green Party)","BEAZLEY, Fiona (Jim Anderton's Progressive)","McCRACKEN, Hamish (Labour Party)","KAPA, Rahuia (Mâori Party)","McCULLY, Murray (National Party)","MARTIN, Anne (New Zealand First Party)","DROMGOOL, Steven (United Future New Zealand)","ADAMS, Paul (Independent)",Informal Candidate Votes,Party Vote Only,Total % 
 99 MP Party,  0.00,  0.00,  0.00, 33.33,  0.00,  0.00,  0.00, 16.67, 33.33,  0.00,  0.00,  0.00, 16.67,100.00 
ACT New Zealand, 17.26,  0.42,  0.21,  0.84,  0.21,  5.02,  0.10, 55.75,  0.42,  0.31, 16.84,  2.09,  0.52,100.00 
Alliance,  6.67,  0.00,  0.00, 13.33, 13.33, 26.67,  0.00,  6.67,  0.00,  6.67, 20.00,  6.67,  0.00,100.00 
Aotearoa Legalise Cannabis Party,  2.70,  0.00,  0.00, 31.08,  1.35, 10.81,  4.05, 24.32,  4.05,  0.00, 17.57,  1.35,  2.70,100.00 
Christian Heritage NZ,  0.00,  0.00,  0.00,  4.55,  2.27,  6.82,  0.00,  6.82,  0.00,  6.82, 70.45,  0.00,  2.27,100.00 
Democrats for Social Credit,  0.00, 78.57,  0.00,  7.14,  0.00,  0.00,  0.00,  7.14,  7.14,  0.00,  0.00,  0.00,  0.00,100.00 
Destiny New Zealand,  0.27,  0.00,  0.27,  0.27,  0.00,  1.08,  0.81,  1.89,  0.00,  0.54, 92.70,  0.27,  1.89,100.00 
Direct Democracy Party,  3.57,  0.00, 75.00,  0.00,  0.00,  7.14,  0.00,  7.14,  0.00,  0.00,  3.57,  0.00,  3.57,100.00 
Green Party,  0.31,  0.62,  0.85, 28.60,  0.69, 46.41,  0.46,  6.86,  0.39,  0.23, 11.26,  0.93,  2.39,100.00 
Jim Anderton's Progressive,  0.59,  0.30,  0.59,  1.78, 25.15, 43.79,  0.30,  5.62,  1.48,  0.59, 18.05,  1.18,  0.59,100.00 
Labour Party,  0.49,  0.03,  0.10,  5.67,  0.90, 72.02,  0.37,  5.27,  1.07,  0.59, 11.47,  0.91,  1.10,100.00 
Libertarianz, 14.29,  0.00,  7.14,  7.14,  0.00,  0.00,  0.00, 21.43,  0.00,  0.00, 50.00,  0.00,  0.00,100.00 
Mâori Party,  1.05,  0.00,  1.05,  4.21,  0.00, 22.11, 35.79,  7.37,  1.05,  1.05, 17.89,  1.05,  7.37,100.00 
National Party,  1.45,  0.04,  0.07,  0.81,  0.16,  1.37,  0.05, 77.78,  1.11,  0.80, 15.09,  0.55,  0.73,100.00 
New Zealand Family Rights Protection Party,  0.00,  0.00,  0.00, 16.67,  0.00,  0.00,  0.00, 50.00,  0.00,  0.00, 33.33,  0.00,  0.00,100.00 
New Zealand First Party,  0.56,  0.06,  0.28,  1.75,  0.39, 12.11,  0.73, 30.76, 32.45,  0.45, 18.25,  0.90,  1.30,100.00 
OneNZ Party,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 40.00, 20.00,  0.00, 40.00,  0.00,  0.00,100.00 
The Republic of New Zealand Party, 14.29,  0.00, 14.29,  0.00, 28.57,  0.00,  0.00, 28.57,  0.00,  0.00, 14.29,  0.00,  0.00,100.00 
United Future New Zealand,  0.45,  0.00,  0.11,  0.45,  0.56,  9.55,  0.45, 24.49,  0.11, 17.64, 45.17,  0.56,  0.45,100.00 
Informal Party Votes,  4.00,  2.00,  1.00,  3.00,  1.00, 13.00,  0.00, 16.00,  2.00,  0.00,  7.00, 50.00,  1.00,100.00 
Overall Percentage,  1.44,  0.10,  0.20,  3.45,  0.68, 26.63,  0.32, 46.17,  2.53,  1.09, 15.58,  0.87,  0.95,100.00 
