17 Helensville,"LANGFORD-TEBBY, Stephen (ACT New Zealand)","KOSTER, Helen (Direct Democracy Party)","AARON, Julian (Jim Anderton's Progressive)","LAWLEY, Judy (Labour Party)","HUDSON, Awa (Mâori Party)","KEY, John (National Party)","JONES, Dail (New Zealand First Party)","DEETH, Andrea (United Future New Zealand)",Informal Candidate Votes,Party Vote Only,Total % 
 99 MP Party,  0.00, 20.00,  0.00, 40.00,  0.00, 40.00,  0.00,  0.00,  0.00,  0.00,100.00 
ACT New Zealand, 18.64,  0.12,  0.37,  3.05,  0.12, 75.15,  0.97,  0.61,  0.49,  0.49,100.00 
Alliance,  0.00, 11.11, 22.22, 33.33,  0.00, 22.22, 11.11,  0.00,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,  0.00,  4.55,  1.52, 33.33,  1.52, 43.94,  7.58,  1.52,  3.03,  3.03,100.00 
Christian Heritage NZ,  6.25,  0.00,  0.00, 16.67,  2.08, 41.67,  6.25, 14.58, 10.42,  2.08,100.00 
Democrats for Social Credit,  0.00,  0.00,  0.00, 25.00,  0.00, 37.50, 12.50,  0.00, 25.00,  0.00,100.00 
Destiny New Zealand,  1.99,  0.66,  0.66,  7.28,  5.30, 59.60,  3.31, 19.87,  1.32,  0.00,100.00 
Direct Democracy Party,  0.00, 53.85,  0.00,  0.00,  0.00, 46.15,  0.00,  0.00,  0.00,  0.00,100.00 
Green Party,  0.43,  0.64,  1.78, 66.45,  3.55, 19.05,  3.13,  1.35,  2.06,  1.56,100.00 
Jim Anderton's Progressive,  0.00,  0.36, 26.69, 49.82,  1.42, 16.01,  3.20,  1.07,  0.00,  1.42,100.00 
Labour Party,  0.43,  0.08,  1.78, 78.62,  1.71, 11.33,  2.43,  1.04,  0.87,  1.70,100.00 
Libertarianz,  6.25,  0.00,  0.00, 18.75,  6.25, 56.25,  6.25,  0.00,  0.00,  6.25,100.00 
Mâori Party,  0.70,  0.70,  0.70, 13.38, 54.93, 16.20,  2.11,  0.70,  0.00, 10.56,100.00 
National Party,  0.86,  0.06,  0.12,  0.50,  0.10, 95.09,  1.30,  0.83,  0.26,  0.87,100.00 
New Zealand Family Rights Protection Party,  0.00,  0.00,  0.00, 62.50,  0.00,  0.00,  0.00,  0.00, 12.50, 25.00,100.00 
New Zealand First Party,  0.49,  0.20,  0.39, 10.04,  1.22, 45.49, 39.83,  0.88,  0.39,  1.07,100.00 
OneNZ Party,  0.00,  0.00,  0.00,  0.00,  0.00, 75.00, 25.00,  0.00,  0.00,  0.00,100.00 
The Republic of New Zealand Party,  0.00,  0.00, 40.00, 20.00,  0.00, 40.00,  0.00,  0.00,  0.00,  0.00,100.00 
United Future New Zealand,  0.35,  0.23,  0.12,  6.60,  0.35, 63.50,  1.62, 26.30,  0.35,  0.58,100.00 
Informal Party Votes,  0.91,  0.00,  1.82, 18.18,  0.91, 14.55,  1.82,  0.00, 56.36,  5.45,100.00 
Overall Percentage,  1.11,  0.17,  0.91, 26.37,  1.03, 62.87,  4.00,  1.64,  0.74,  1.18,100.00 
