21 Kaikoura,"O'SULLIVAN, Pat (ACT New Zealand)","KLEIS, Greg (Alliance)","BROWNING, Steffan (Green Party)","MAURICE, John (Jim Anderton's Progressive)","BURNS, Brendon (Labour Party)","COWAN, Brett (Mâori Party)","KING, Colin (National Party)","WESTLEY, Robin (United Future New Zealand)","HOWARD, Ted (Independent)",Informal Candidate Votes,Party Vote Only,Total % 
 99 MP Party,  0.00,  0.00, 20.00,  0.00, 10.00,  0.00, 30.00, 20.00, 10.00, 10.00,  0.00,100.00 
ACT New Zealand, 10.69,  0.00,  1.98,  0.20,  8.51,  0.00, 76.44,  0.20,  1.19,  0.20,  0.59,100.00 
Alliance,  0.00, 22.50,  0.00,  5.00, 42.50,  2.50, 22.50,  0.00,  2.50,  2.50,  0.00,100.00 
Aotearoa Legalise Cannabis Party,  2.94,  0.00, 20.59,  2.94, 33.82,  2.94, 25.00,  1.47,  4.41,  2.94,  2.94,100.00 
Christian Heritage NZ,  2.33,  0.00,  2.33,  2.33, 16.28,  0.00, 60.47,  9.30,  4.65,  0.00,  2.33,100.00 
Democrats for Social Credit,  0.00,  4.17, 25.00,  8.33, 16.67,  0.00, 20.83,  4.17, 16.67,  4.17,  0.00,100.00 
Destiny New Zealand,  1.44,  0.00,  3.60,  4.32,  8.63,  0.72, 56.12, 12.95,  2.88,  8.63,  0.72,100.00 
Direct Democracy Party,  0.00,  0.00, 25.00, 25.00, 25.00,  0.00, 25.00,  0.00,  0.00,  0.00,  0.00,100.00 
Green Party,  0.20,  0.15, 32.92,  0.45, 53.72,  0.70,  9.03,  0.30,  1.25,  0.50,  0.80,100.00 
Jim Anderton's Progressive,  0.36,  0.36,  4.48, 25.81, 50.54,  0.18, 15.23,  1.43,  1.25,  0.36,  0.00,100.00 
Labour Party,  0.40,  0.13,  7.21,  1.02, 83.75,  0.50,  4.90,  0.44,  0.26,  0.60,  0.81,100.00 
Libertarianz, 22.22,  0.00, 22.22,  0.00,  0.00,  0.00, 33.33,  0.00, 11.11, 11.11,  0.00,100.00 
Mâori Party,  0.00,  0.75,  9.02,  2.26, 30.08, 37.59, 15.04,  0.00,  0.00,  1.50,  3.76,100.00 
National Party,  0.74,  0.08,  1.09,  0.24,  2.21,  0.12, 94.01,  0.68,  0.21,  0.35,  0.27,100.00 
New Zealand Family Rights Protection Party,  0.00,  0.00,  0.00, 66.67,  0.00,  0.00, 33.33,  0.00,  0.00,  0.00,  0.00,100.00 
New Zealand First Party,  1.57,  0.93,  4.57,  3.83, 27.11,  1.18, 51.33,  2.65,  2.11,  4.17,  0.54,100.00 
OneNZ Party, 15.38,  0.00,  0.00,  7.69, 23.08,  0.00, 38.46,  0.00,  0.00, 15.38,  0.00,100.00 
The Republic of New Zealand Party, 14.29,  0.00, 28.57,  0.00, 14.29,  0.00, 28.57,  0.00,  0.00, 14.29,  0.00,100.00 
United Future New Zealand,  0.71,  0.00,  1.94,  1.12, 16.82,  0.00, 55.56, 22.83,  0.51,  0.31,  0.20,100.00 
Informal Party Votes,  0.68,  0.68,  2.04,  0.68, 17.69,  0.00, 20.41,  0.00,  2.04, 55.10,  0.68,100.00 
Overall Percentage,  0.79,  0.18,  5.53,  1.23, 37.50,  0.50, 50.91,  1.38,  0.49,  0.96,  0.53,100.00 
