24 Manukau East,"STEVENS, Hamish (ACT New Zealand)","OVENS, Jill (Alliance)","LEWIS, Richard (Destiny New Zealand)","PERESE, Seira (Direct Democracy Party)","BENTLEY, Irene (Green Party)","BARNARD, Trevor (Jim Anderton's Progressive)","ROBERTSON, Ross (Labour Party)","TAHERE, Mama Tere Strickland (Mâori Party)","YEE, Ken (National Party)","PO-WIHONGI, Tapu Anne (New Zealand Family Rights Protection Party)","PARKASH, Ram (United Future New Zealand)","SUBRAMANIAN, Raj (Independent)",Informal Candidate Votes,Party Vote Only,Total % 
 99 MP Party,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 25.00, 12.50, 50.00,  0.00, 12.50,  0.00,  0.00,  0.00,100.00 
ACT New Zealand, 24.48,  0.16,  0.95,  0.00,  1.43,  1.27, 12.88,  0.64, 44.67,  0.16,  0.48,  3.18,  6.68,  3.02,100.00 
Alliance,  0.00, 43.75,  0.00,  0.00,  0.00,  0.00, 40.63,  0.00,  3.13,  0.00,  6.25,  0.00,  3.13,  3.13,100.00 
Aotearoa Legalise Cannabis Party,  3.23,  0.00,  3.23,  0.00, 27.42,  1.61, 40.32,  6.45,  9.68,  0.00,  0.00,  3.23,  0.00,  4.84,100.00 
Christian Heritage NZ,  0.00,  0.00, 50.00,  0.00,  2.27,  0.00, 31.82,  2.27,  6.82,  0.00,  2.27,  0.00,  0.00,  4.55,100.00 
Democrats for Social Credit,  0.00, 16.67, 33.33,  0.00,  0.00, 33.33,  0.00,  0.00, 16.67,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
Destiny New Zealand,  0.42,  0.21, 83.69,  0.21,  0.42,  0.21,  9.32,  0.00,  1.48,  0.00,  0.21,  0.00,  0.42,  3.39,100.00 
Direct Democracy Party,  0.00,  0.00,  0.00, 77.78,  0.00,  0.00, 22.22,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
Green Party,  2.40,  0.17,  1.20,  0.00, 30.02,  0.69, 57.12,  1.54,  4.12,  0.00,  0.00,  0.17,  0.69,  1.89,100.00 
Jim Anderton's Progressive,  0.57,  0.76,  1.14,  0.19,  1.14, 21.71, 67.62,  0.19,  1.52,  0.19,  0.38,  0.57,  0.38,  3.62,100.00 
Labour Party,  0.42,  0.09,  1.03,  0.11,  1.64,  0.93, 87.76,  0.76,  1.51,  0.47,  0.34,  0.11,  1.28,  3.55,100.00 
Libertarianz,  6.67,  0.00,  0.00,  6.67,  6.67,  0.00, 33.33,  0.00, 26.67,  6.67,  0.00, 13.33,  0.00,  0.00,100.00 
Mâori Party,  0.49,  0.00,  3.43,  0.49,  4.90,  0.49, 25.49, 44.12,  0.98,  2.45,  0.49,  0.00,  0.49, 16.18,100.00 
National Party,  4.14,  0.11,  3.13,  0.04,  0.87,  0.51, 10.10,  0.22, 76.27,  0.11,  1.40,  0.23,  1.05,  1.83,100.00 
New Zealand Family Rights Protection Party,  1.38,  1.38,  2.07,  1.38,  0.69,  0.00, 21.38,  1.38,  0.69, 66.90,  0.00,  0.00,  1.38,  1.38,100.00 
New Zealand First Party,  2.65,  0.70,  6.76,  0.28,  2.51,  3.21, 46.58,  2.16, 27.06,  1.46,  0.70,  0.14,  3.70,  2.09,100.00 
OneNZ Party,  0.00, 12.50,  0.00,  0.00,  0.00, 12.50, 62.50,  0.00,  0.00,  0.00,  0.00,  0.00, 12.50,  0.00,100.00 
The Republic of New Zealand Party, 12.50,  0.00, 12.50,  0.00,  0.00,  0.00, 12.50,  0.00, 25.00, 12.50,  0.00, 12.50, 12.50,  0.00,100.00 
United Future New Zealand,  1.44,  0.21, 11.32,  0.00,  0.62,  0.82, 38.07,  0.21, 22.02,  0.00, 22.43,  0.00,  0.82,  2.06,100.00 
Informal Party Votes,  0.49,  0.00,  0.98,  0.49,  0.98,  1.96, 34.80,  0.00,  3.92,  0.98,  0.49,  0.49, 50.98,  3.43,100.00 
Overall Percentage,  2.18,  0.19,  3.35,  0.13,  1.95,  1.23, 56.65,  0.91, 26.86,  0.68,  1.01,  0.23,  1.69,  2.94,100.00 
