27 Mt Albert,"SEYMOUR, David (ACT New Zealand)","WHITMORE, Daphna Kaye (Anti-Capitalist Alliance)","WILLIAMSON, Anne (Destiny New Zealand)","PONGA, Howard (Direct Democracy Party)","CARAPIET, Jon (Green Party)","RAVLICH, Anthony George (Human Rights)","WILSON, Jenny (Jim Anderton's Progressive)","CLARK, Helen Elizabeth (Labour Party)","MUSUKU, Ravi (National Party)","BATCHELOR, Julian (New Zealand First Party)","GORDON, Tony (United Future New Zealand)","BAGNALL, James (Independent)","TAYLOR, Erik John (Independent)",Informal Candidate Votes,Party Vote Only,Total % 
 99 MP Party,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 16.67, 66.67, 16.67,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
ACT New Zealand, 35.18,  0.31,  0.61,  0.15,  1.84,  0.00,  0.15, 29.03, 27.19,  1.08,  0.92,  0.77,  0.15,  1.54,  1.08,100.00 
Alliance,  4.55, 22.73,  0.00,  0.00,  0.00,  0.00,  4.55, 59.09,  0.00,  9.09,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,  0.00,  0.00,  0.00,  2.33, 18.60,  2.33,  0.00, 44.19, 11.63,  9.30,  0.00,  2.33,  2.33,  0.00,  6.98,100.00 
Christian Heritage NZ,  2.50,  0.00, 32.50,  0.00,  5.00,  0.00,  2.50, 15.00, 20.00,  5.00, 10.00,  2.50,  0.00,  2.50,  2.50,100.00 
Democrats for Social Credit,  0.00,  0.00,  0.00,  0.00, 33.33,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 66.67,  0.00,  0.00,  0.00,100.00 
Destiny New Zealand,  0.00,  0.64, 78.34,  0.00,  0.64,  0.00,  1.91,  7.01,  5.73,  2.55,  0.00,  0.00,  0.00,  0.00,  3.18,100.00 
Direct Democracy Party,  0.00, 10.00,  0.00, 40.00, 10.00,  0.00,  0.00, 30.00, 10.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
Green Party,  0.30,  0.94,  0.27,  0.10, 21.27,  0.20,  0.77, 72.60,  0.94,  0.27,  0.23,  0.10,  0.03,  0.34,  1.64,100.00 
Jim Anderton's Progressive,  0.28,  0.28,  2.25,  0.28,  2.25,  0.28, 22.75, 64.89,  3.37,  1.12,  0.84,  0.00,  0.00,  0.28,  1.12,100.00 
Labour Party,  0.22,  0.09,  0.21,  0.02,  3.22,  0.04,  0.39, 91.94,  0.53,  0.31,  0.21,  0.08,  0.03,  0.67,  2.06,100.00 
Libertarianz, 10.53,  5.26,  0.00, 10.53,  0.00,  5.26,  5.26, 26.32, 15.79,  0.00,  0.00,  0.00,  5.26, 10.53,  5.26,100.00 
Mâori Party,  0.60,  2.38,  1.19,  0.00,  5.95,  1.19,  1.19, 63.69,  2.38,  3.57,  0.60,  1.19,  0.00,  4.17, 11.90,100.00 
National Party,  5.21,  0.19,  1.07,  0.09,  2.50,  0.25,  0.37, 17.67, 64.46,  2.40,  2.79,  0.51,  0.18,  1.01,  1.31,100.00 
New Zealand Family Rights Protection Party,  0.00,  0.00,  5.00,  0.00,  0.00,  5.00,  5.00, 60.00,  5.00,  5.00,  0.00,  0.00,  5.00,  5.00,  5.00,100.00 
New Zealand First Party,  1.38,  0.37,  1.84,  0.64,  2.11,  0.37,  1.10, 31.31, 17.17, 39.12,  0.92,  0.64,  0.18,  1.10,  1.74,100.00 
OneNZ Party,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
The Republic of New Zealand Party,  0.00,  0.00,  0.00,  0.00, 20.00,  0.00,  0.00, 20.00,  0.00,  0.00,  0.00, 40.00, 20.00,  0.00,  0.00,100.00 
United Future New Zealand,  1.08,  0.15,  4.16,  0.00,  1.23,  0.46,  0.77, 26.66, 24.96,  3.24, 34.36,  0.46,  0.15,  1.08,  1.23,100.00 
Informal Party Votes,  0.00,  0.00,  3.08,  0.00,  0.00,  0.00,  1.54, 35.38,  5.38,  2.31,  0.77,  0.00,  0.00, 47.69,  3.85,100.00 
Overall Percentage,  2.31,  0.24,  1.04,  0.09,  4.59,  0.15,  0.72, 64.68, 19.07,  2.31,  1.64,  0.26,  0.09,  0.99,  1.82,100.00 
