28 Mt Roskill,"WANG, Kenneth (ACT New Zealand)","ANE, Brian Kosena (Destiny New Zealand)","SCOTT, Barry (Direct Democracy Party)","AMIRAPU, Suki (Jim Anderton's Progressive)","GOFF, Phil (Labour Party)","BLUE, Jackie (National Party)","BARTER, Richard (United Future New Zealand)",Informal Candidate Votes,Party Vote Only,Total % 
 99 MP Party, 11.11,  0.00,  0.00,  0.00, 66.67, 11.11,  0.00,  0.00, 11.11,100.00 
ACT New Zealand, 59.64,  0.24,  0.12,  0.00, 12.48, 24.24,  0.97,  1.09,  1.21,100.00 
Alliance,  4.55,  0.00,  9.09, 18.18, 50.00,  4.55,  0.00, 13.64,  0.00,100.00 
Aotearoa Legalise Cannabis Party,  2.78,  2.78,  0.00,  0.00, 66.67, 22.22,  2.78,  2.78,  0.00,100.00 
Christian Heritage NZ,  1.67, 18.33,  0.00,  0.00, 26.67, 21.67, 21.67,  5.00,  5.00,100.00 
Democrats for Social Credit,  0.00,  0.00, 28.57,  0.00, 42.86, 14.29, 14.29,  0.00,  0.00,100.00 
Destiny New Zealand,  1.05, 69.63,  0.52,  0.00, 14.14,  8.90,  2.62,  1.05,  2.09,100.00 
Direct Democracy Party,  0.00,  0.00, 33.33,  0.00, 61.11,  0.00,  0.00,  0.00,  5.56,100.00 
Green Party,  1.74,  0.29,  0.43,  2.96, 85.32,  5.42,  1.16,  0.87,  1.81,100.00 
Jim Anderton's Progressive,  2.05,  0.77,  0.51, 15.09, 75.19,  3.07,  2.30,  0.77,  0.26,100.00 
Labour Party,  3.10,  0.23,  0.05,  0.56, 92.10,  0.75,  0.42,  1.04,  1.76,100.00 
Libertarianz, 38.89,  0.00, 11.11,  0.00, 11.11, 38.89,  0.00,  0.00,  0.00,100.00 
Mâori Party,  2.48,  6.61,  1.65,  2.48, 59.50,  7.44,  5.79,  3.31, 10.74,100.00 
National Party,  6.70,  0.74,  0.45,  0.17, 14.66, 73.11,  2.88,  0.52,  0.77,100.00 
New Zealand Family Rights Protection Party,  1.56,  6.25,  4.69,  0.00, 56.25, 18.75,  0.00, 12.50,  0.00,100.00 
New Zealand First Party,  3.67,  3.41,  0.68,  2.56, 41.94, 36.83,  4.35,  5.03,  1.53,100.00 
OneNZ Party,  0.00,  0.00, 20.00, 20.00, 40.00, 20.00,  0.00,  0.00,  0.00,100.00 
The Republic of New Zealand Party,  0.00,  0.00, 14.29,  0.00, 28.57, 42.86,  0.00, 14.29,  0.00,100.00 
United Future New Zealand,  1.09,  1.09,  0.12,  0.24, 27.48, 26.63, 41.65,  0.85,  0.85,100.00 
Informal Party Votes,  2.59,  0.00,  0.00,  2.07, 40.93,  3.63,  1.55, 49.22,  0.00,100.00 
Overall Percentage,  5.64,  1.01,  0.29,  0.77, 58.32, 28.69,  2.58,  1.31,  1.38,100.00 
