29 Napier,"SINNOTT, Stephen (Destiny New Zealand)","CREIGHTON, Terry (Green Party)","FAIRBROTHER, Russell (Labour Party)","TREMAIN, Chris (National Party)","MIST, James (New Zealand First Party)","TURNER, Graham (United Future New Zealand)",Informal Candidate Votes,Party Vote Only,Total % 
 99 MP Party, 12.50,  0.00, 12.50, 50.00,  0.00, 12.50, 12.50,  0.00,100.00 
ACT New Zealand,  0.26,  1.79,  9.74, 80.00,  2.31,  3.33,  2.05,  0.51,100.00 
Alliance,  0.00, 10.34, 55.17, 17.24,  6.90, 10.34,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,  0.00, 33.75, 32.50, 22.50,  2.50,  1.25,  2.50,  5.00,100.00 
Christian Heritage NZ, 29.55,  0.00, 13.64, 27.27,  0.00, 25.00,  4.55,  0.00,100.00 
Democrats for Social Credit, 12.50, 18.75, 25.00, 31.25, 12.50,  0.00,  0.00,  0.00,100.00 
Destiny New Zealand, 53.10,  0.00,  8.28, 31.03,  1.38,  0.69,  0.69,  4.83,100.00 
Direct Democracy Party,  0.00, 27.27, 36.36,  9.09, 18.18,  0.00,  0.00,  9.09,100.00 
Green Party,  0.11, 24.68, 62.23, 10.73,  0.64,  0.32,  0.54,  0.75,100.00 
Jim Anderton's Progressive,  0.32,  5.38, 57.28, 23.42,  5.38,  4.11,  2.53,  1.58,100.00 
Labour Party,  0.16,  4.84, 81.22, 10.19,  1.12,  0.75,  0.86,  0.88,100.00 
Libertarianz,  0.00, 18.18, 27.27, 45.45,  0.00,  9.09,  0.00,  0.00,100.00 
Mâori Party,  1.33, 14.00, 60.67, 10.00,  6.00,  1.33,  2.67,  4.00,100.00 
National Party,  0.21,  0.67,  2.62, 94.32,  0.80,  0.67,  0.31,  0.40,100.00 
New Zealand Family Rights Protection Party,  0.00,  0.00, 33.33, 50.00, 16.67,  0.00,  0.00,  0.00,100.00 
New Zealand First Party,  1.26,  1.61, 20.46, 49.12, 24.99,  0.96,  1.16,  0.45,100.00 
OneNZ Party,  0.00,  0.00,  9.09, 54.55,  9.09,  0.00, 18.18,  9.09,100.00 
The Republic of New Zealand Party,  0.00, 40.00, 20.00, 20.00,  0.00, 20.00,  0.00,  0.00,100.00 
United Future New Zealand,  1.61,  0.34, 13.65, 60.78,  1.38, 21.67,  0.46,  0.11,100.00 
Informal Party Votes,  0.78,  2.33, 20.16, 18.60,  2.33,  1.55, 52.71,  1.55,100.00 
Overall Percentage,  0.54,  3.89, 40.15, 50.19,  2.39,  1.32,  0.86,  0.67,100.00 
