30 Nelson,"HEINE, Mike (ACT New Zealand)","BARBER, Nick (Christian Heritage NZ)","THOMSON, Jason (Destiny New Zealand)","NEWEY, Rex (Direct Democracy Party)","WARD, Mike (Green Party)","McALPINE, Jacqueline M (Jim Anderton's Progressive)","McCUTCHEON, Jen (Labour Party)","FITZSIMON, Anne (Mâori Party)","SMITH, Nick (National Party)","WELLS, Dennis (United Future New Zealand)",Informal Candidate Votes,Party Vote Only,Total % 
 99 MP Party,  0.00,  0.00,  0.00,  0.00, 16.67, 16.67,  0.00,  0.00, 50.00,  0.00, 16.67,  0.00,100.00 
ACT New Zealand,  9.02,  1.29,  0.26,  0.26,  2.58,  0.52,  3.87,  0.00, 78.35,  2.06,  1.55,  0.26,100.00 
Alliance,  6.06,  0.00,  0.00,  0.00, 15.15,  3.03, 39.39,  3.03, 27.27,  6.06,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,  0.96,  0.00,  1.92,  1.92, 37.50,  1.92, 15.38,  0.00, 33.65,  2.88,  0.96,  2.88,100.00 
Christian Heritage NZ,  0.00, 43.26,  2.13,  0.71,  2.84,  0.00,  0.71,  0.00, 45.39,  0.71,  2.84,  1.42,100.00 
Democrats for Social Credit,  0.00,  8.33,  0.00,  4.17, 16.67,  4.17, 12.50,  4.17, 37.50,  8.33,  0.00,  4.17,100.00 
Destiny New Zealand,  0.28,  2.49, 60.11,  0.00,  1.11,  0.28,  1.94,  0.00, 32.69,  0.55,  0.55,  0.00,100.00 
Direct Democracy Party,  2.00,  0.00,  2.00, 32.00, 20.00,  0.00, 10.00,  0.00, 30.00,  2.00,  0.00,  2.00,100.00 
Green Party,  0.18,  0.07,  0.25,  0.07, 46.42,  0.32, 36.48,  1.09, 13.80,  0.18,  0.21,  0.95,100.00 
Jim Anderton's Progressive,  0.24,  1.44,  1.20,  0.00,  9.59, 15.83, 30.46,  0.96, 35.25,  4.56,  0.24,  0.24,100.00 
Labour Party,  0.13,  0.27,  0.17,  0.07, 15.61,  0.71, 53.38,  0.43, 27.10,  0.84,  0.59,  0.70,100.00 
Libertarianz,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 88.89,  0.00, 11.11,  0.00,100.00 
Mâori Party,  0.00,  3.37,  0.00,  0.00, 14.61,  2.25, 20.22, 35.96, 14.61,  1.12,  1.12,  6.74,100.00 
National Party,  0.51,  0.35,  0.52,  0.04,  1.57,  0.10,  0.76,  0.10, 94.44,  0.95,  0.27,  0.40,100.00 
New Zealand Family Rights Protection Party,  0.00,  0.00, 14.29, 42.86, 14.29,  0.00,  0.00,  0.00, 28.57,  0.00,  0.00,  0.00,100.00 
New Zealand First Party,  0.38,  1.07,  1.57,  1.32,  5.59,  2.32, 12.05,  0.88, 67.67,  3.95,  2.51,  0.69,100.00 
OneNZ Party,  9.09,  0.00,  0.00,  0.00,  9.09,  0.00,  9.09,  0.00, 72.73,  0.00,  0.00,  0.00,100.00 
The Republic of New Zealand Party,  0.00, 25.00,  0.00,  0.00,  0.00,  0.00, 25.00,  0.00, 25.00,  0.00, 25.00,  0.00,100.00 
United Future New Zealand,  0.08,  1.01,  1.78,  0.23,  3.18,  0.23,  6.13,  0.08, 70.83, 15.28,  0.70,  0.47,100.00 
Informal Party Votes,  0.88,  0.88,  0.00,  0.00,  3.54,  0.88, 12.39,  0.00, 29.20,  0.88, 49.56,  1.77,100.00 
Overall Percentage,  0.39,  0.57,  1.04,  0.18, 11.56,  0.68, 27.29,  0.45, 54.99,  1.54,  0.71,  0.61,100.00 
