31 New Lynn,"STEINIJANS, Barbara (ACT New Zealand)","PENNEY, Karen (Destiny New Zealand)","BURCH, Gary (Direct Democracy Party)","GREEN, Richard A (Green Party)","KAZEMI YAZDI, Seyed Mohammed (Jim Anderton's Progressive)","CUNLIFFE, David (Labour Party)","HARRIS, Mita (National Party)","DRAKE, Anne (United Future New Zealand)",Informal Candidate Votes,Party Vote Only,Total % 
 99 MP Party,  0.00, 14.29,  0.00, 14.29, 14.29,  0.00, 57.14,  0.00,  0.00,  0.00,100.00 
ACT New Zealand, 34.67,  0.54,  0.54,  1.61,  0.13, 20.62, 34.81,  1.07,  5.62,  0.40,100.00 
Alliance,  0.00,  0.00,  0.00,  4.76,  9.52, 71.43,  4.76,  0.00,  9.52,  0.00,100.00 
Aotearoa Legalise Cannabis Party,  5.88,  1.96,  1.96, 27.45,  1.96, 41.18, 13.73,  0.00,  0.00,  5.88,100.00 
Christian Heritage NZ,  1.79, 26.79,  0.00,  3.57,  0.00, 17.86, 32.14, 17.86,  0.00,  0.00,100.00 
Democrats for Social Credit,  0.00,  0.00, 40.00, 20.00,  0.00, 20.00,  0.00, 20.00,  0.00,  0.00,100.00 
Destiny New Zealand,  0.00, 77.85,  0.00,  1.27,  0.00, 10.76,  5.70,  1.27,  0.63,  2.53,100.00 
Direct Democracy Party,  0.00,  0.00, 52.63,  0.00,  0.00, 36.84,  5.26,  0.00,  2.63,  2.63,100.00 
Green Party,  0.22,  0.11,  0.11, 27.30,  0.76, 66.81,  2.76,  0.32,  0.32,  1.30,100.00 
Jim Anderton's Progressive,  0.25,  1.23,  0.00,  3.19, 18.43, 67.08,  4.42,  3.19,  1.72,  0.49,100.00 
Labour Party,  0.59,  0.17,  0.11,  4.89,  0.71, 89.36,  0.80,  0.58,  1.20,  1.59,100.00 
Libertarianz, 27.27,  0.00,  0.00,  9.09,  0.00, 36.36, 18.18,  0.00,  9.09,  0.00,100.00 
Mâori Party,  1.56,  3.91,  0.78, 15.63,  0.78, 47.66, 10.94,  2.34,  1.56, 14.84,100.00 
National Party,  2.58,  1.58,  0.21,  1.76,  0.26,  8.77, 79.80,  3.43,  0.91,  0.71,100.00 
New Zealand Family Rights Protection Party,  0.00, 14.29,  0.00,  0.00, 14.29, 71.43,  0.00,  0.00,  0.00,  0.00,100.00 
New Zealand First Party,  2.53,  4.05,  1.58,  4.56,  2.72, 37.09, 37.09,  5.00,  4.30,  1.08,100.00 
OneNZ Party,  0.00,  0.00,  0.00,  0.00,  0.00, 28.57, 42.86,  0.00, 28.57,  0.00,100.00 
The Republic of New Zealand Party,  0.00,  0.00,  0.00, 25.00,  0.00, 25.00,  0.00,  0.00, 25.00, 25.00,100.00 
United Future New Zealand,  0.73,  5.38,  0.12,  1.34,  0.00, 24.94, 23.35, 42.91,  0.61,  0.61,100.00 
Informal Party Votes,  2.19,  1.09,  0.55,  2.19,  0.00, 22.95,  1.09,  1.09, 64.48,  4.37,100.00 
Overall Percentage,  2.11,  1.41,  0.30,  4.95,  0.85, 54.48, 30.15,  2.84,  1.68,  1.24,100.00 
